game_idx,hand_idx,seed,a_team,dealer,redeals,forced,bidder,bidder_is_a,bid_value,decl_id,team_a_pts,team_b_pts,made,marks_a_after,marks_b_after
0,0,2838872612,0,0,0,0,0,1,31,0,19,23,0,0,1
0,1,2502813031,0,1,0,0,0,1,31,0,31,11,1,1,1
0,2,1313814587,0,2,0,0,2,1,32,3,31,11,0,1,2
0,3,172434156,0,3,0,0,3,0,32,0,17,25,0,2,2
0,4,3278403008,0,0,0,0,0,1,31,9,34,8,1,3,2
0,5,2942343427,0,1,0,0,1,0,32,2,1,41,1,3,3
0,6,458800198,0,2,0,0,2,1,31,4,32,10,1,4,3
0,7,611964552,0,3,0,0,1,0,30,6,1,41,1,4,4
0,8,2423388619,0,0,0,0,1,0,30,0,0,42,1,4,5
0,9,3381873823,0,1,0,0,1,0,31,6,19,23,0,5,5
0,10,898330594,0,2,0,0,1,0,31,2,24,18,0,6,5
0,11,1051494948,0,3,0,0,3,0,31,0,0,42,1,6,6
0,12,715435367,0,0,0,0,1,0,30,4,6,36,1,6,7
0,0,2838872612,1,0,0,0,0,0,31,0,17,25,0,1,0
0,1,2502813031,1,1,0,0,0,0,31,0,27,15,0,2,0
0,2,1313814587,1,2,0,0,2,0,32,3,0,42,1,2,1
0,3,172434156,1,3,0,0,3,1,32,0,20,22,0,2,2
0,4,3278403008,1,0,0,0,0,0,31,9,12,30,0,3,2
0,5,2942343427,1,1,0,0,1,1,32,2,41,1,1,4,2
0,6,458800198,1,2,0,0,2,0,31,4,5,37,1,4,3
0,7,611964552,1,3,0,0,1,1,30,6,42,0,1,5,3
0,8,2423388619,1,0,0,0,1,1,30,0,31,11,1,6,3
0,9,3381873823,1,1,0,0,1,1,31,6,34,8,1,7,3
