game_idx,hand_idx,seed,a_team,dealer,redeals,forced,bidder,bidder_is_a,bid_value,decl_id,team_a_pts,team_b_pts,made,marks_a_after,marks_b_after
0,0,2019398498,0,0,0,0,2,1,31,6,8,34,0,0,1
0,1,3830822565,0,1,0,0,3,0,30,5,0,42,1,0,2
0,2,113733842,0,3,1,0,2,1,31,9,41,1,1,1,2
0,3,2305764540,0,0,0,0,0,1,30,9,42,0,1,2,2
0,4,1969704959,0,1,0,0,3,0,30,1,6,36,1,2,3
0,5,4270352961,0,2,0,0,1,0,31,4,23,19,0,3,3
0,6,3934293380,0,3,0,0,0,1,30,4,29,13,0,3,4
0,7,2745294936,0,0,0,0,2,1,30,2,35,7,1,4,4
0,8,2409235355,0,1,0,0,1,0,31,2,7,35,1,4,5
0,9,1267854924,0,2,0,0,0,1,30,1,13,29,0,4,6
0,10,78856480,0,3,0,0,3,0,31,5,11,31,1,4,7
1,0,1036136997,0,0,0,0,3,0,31,4,8,34,1,0,1
1,1,2847561064,0,1,0,0,3,0,30,2,17,25,0,1,1
1,2,3000725418,0,2,0,0,3,0,30,5,14,28,0,2,1
1,3,517182189,0,3,0,0,2,1,31,5,26,16,0,2,2
1,4,181122608,0,0,0,0,0,1,31,6,41,1,1,3,2
1,5,3287091460,0,1,0,0,3,0,30,4,6,36,1,3,3
1,6,2951031879,0,2,0,0,1,0,32,1,7,35,1,3,4
1,7,3104196233,0,3,0,0,1,0,30,3,6,36,1,3,5
1,8,620653004,0,0,0,0,3,0,30,2,11,31,1,3,6
1,9,3726621856,0,1,0,0,0,1,34,1,25,17,0,3,7
2,0,2539263094,0,0,0,0,1,0,30,1,7,35,1,0,1
2,1,55719865,0,1,0,0,1,0,31,0,1,41,1,0,2
2,2,1014205069,0,2,0,0,0,1,30,4,22,20,0,0,3
2,3,2345683618,0,0,1,0,3,0,30,1,2,40,1,0,4
2,4,1684248705,0,1,0,0,1,0,33,2,28,14,0,1,4
2,5,2642733909,0,2,0,0,2,1,30,5,20,22,0,1,5
2,6,159190680,0,3,0,0,1,0,30,1,11,31,1,1,6
2,7,3265159532,0,0,0,0,3,0,31,0,0,42,1,1,7
3,0,972162557,0,0,0,0,2,1,31,1,42,0,1,1,0
3,1,636102976,0,1,0,0,0,1,31,4,31,11,1,2,0
3,2,300043395,0,2,0,0,0,1,30,1,26,16,0,2,1
3,3,2600691397,0,3,0,0,1,0,31,0,7,35,1,2,2
3,4,2264631816,0,0,0,0,1,0,30,1,11,31,1,2,3
3,5,1075633372,0,1,0,0,0,1,31,4,39,3,1,3,3
3,6,739573791,0,2,0,0,3,0,30,5,1,41,1,3,4
3,7,3040221793,0,3,0,0,1,0,30,9,12,30,1,3,5
3,8,2704162212,0,0,0,0,3,0,31,5,2,40,1,3,6
3,9,220618983,0,1,0,0,0,1,30,0,36,6,1,4,6
3,10,1179104187,0,2,0,0,2,1,30,5,25,17,0,4,7
4,0,2475288654,0,0,0,0,1,0,30,5,0,42,1,0,1
4,1,2139229073,0,1,0,0,2,1,30,1,35,7,1,1,1
4,2,3851314253,0,2,0,0,2,1,31,2,19,23,0,1,2
4,3,614171048,0,3,0,0,1,0,31,4,6,36,1,1,3
4,4,1520935378,0,0,0,0,3,0,30,1,11,31,1,1,4
4,5,2578759469,0,1,0,0,0,1,30,4,22,20,0,1,5
4,6,2242699888,0,2,0,0,2,1,31,5,25,17,0,1,6
4,7,1053701444,0,3,0,0,3,0,31,3,12,30,0,2,6
4,8,1960465774,0,0,0,0,3,0,31,1,0,42,1,2,7
5,0,2536913066,0,0,0,0,1,0,30,4,22,20,0,1,0
5,1,2200853485,0,1,0,0,2,1,30,3,36,6,1,2,0
5,2,206534191,0,2,0,0,1,0,30,4,6,36,1,2,1
5,3,4165441906,0,3,0,0,1,0,31,4,13,29,0,3,1
5,4,3829382325,0,0,0,0,3,0,30,5,0,42,1,3,2
5,5,2640383881,0,1,0,0,3,0,30,3,2,40,1,3,3
5,6,1499003450,0,2,0,0,3,0,30,0,16,26,0,4,3
5,7,310005006,0,3,0,0,2,1,31,4,28,14,0,4,4
5,8,4268912721,0,0,0,0,0,1,31,2,31,11,1,5,4
5,9,1785369492,0,1,0,0,1,0,30,2,1,41,1,5,5
5,10,1938533846,0,2,0,0,3,0,30,4,1,41,1,5,6
5,11,1602474265,0,3,0,0,0,1,30,2,42,0,1,6,6
5,12,413475821,0,0,0,0,0,1,31,4,41,1,1,7,6
6,0,2895814363,0,0,0,0,3,0,32,5,17,25,0,1,0
6,1,412271134,0,1,0,0,3,0,30,4,2,40,1,1,1
6,2,1370756338,0,2,0,0,3,0,30,2,12,30,1,1,2
