game_idx,a_team,n_hands,marks_a,marks_b,a_won
0,0,11,7,4,1
1,0,10,3,7,0
2,0,13,7,6,1
3,0,12,7,5,1
4,0,11,4,7,0
5,0,13,7,6,1
6,0,12,5,7,0
7,0,11,4,7,0
8,0,13,6,7,0
9,0,11,7,4,1
10,0,12,5,7,0
11,0,9,2,7,0
12,0,13,7,6,1
13,0,13,6,7,0
14,0,11,4,7,0
15,0,11,4,7,0
16,0,9,2,7,0
17,0,8,7,1,1
18,0,12,5,7,0
19,0,13,6,7,0
20,0,12,7,5,1
21,0,12,5,7,0
22,0,11,4,7,0
23,0,9,2,7,0
24,0,11,4,7,0
25,0,8,1,7,0
26,0,13,7,6,1
27,0,9,7,2,1
28,0,13,6,7,0
29,0,12,5,7,0
30,0,12,5,7,0
31,0,12,7,5,1
32,0,12,7,5,1
33,0,11,7,4,1
34,0,8,7,1,1
35,0,12,5,7,0
36,0,8,7,1,1
37,0,8,7,1,1
38,0,11,7,4,1
39,0,11,7,4,1
40,0,10,3,7,0
41,0,10,3,7,0
42,0,13,6,7,0
43,0,11,7,4,1
44,0,10,7,3,1
45,0,9,7,2,1
46,0,10,7,3,1
47,0,12,5,7,0
48,0,10,7,3,1
49,0,9,2,7,0
50,0,12,5,7,0
51,0,11,7,4,1
52,0,8,1,7,0
53,0,8,7,1,1
54,0,11,7,4,1
55,0,8,7,1,1
56,0,10,7,3,1
57,0,11,7,4,1
58,0,12,7,5,1
59,0,11,4,7,0
60,0,12,7,5,1
61,0,13,6,7,0
62,0,11,7,4,1
63,0,10,3,7,0
0,1,11,4,7,0
1,1,9,7,2,1
2,1,12,5,7,0
3,1,10,7,3,1
4,1,9,7,2,1
5,1,13,6,7,0
6,1,11,4,7,0
7,1,9,2,7,0
8,1,12,7,5,1
9,1,11,4,7,0
10,1,12,5,7,0
11,1,11,7,4,1
12,1,12,5,7,0
13,1,12,7,5,1
14,1,13,6,7,0
15,1,10,7,3,1
16,1,10,7,3,1
17,1,9,2,7,0
18,1,11,7,4,1
19,1,11,7,4,1
20,1,12,5,7,0
21,1,12,7,5,1
22,1,10,3,7,0
23,1,10,7,3,1
24,1,12,7,5,1
25,1,9,7,2,1
26,1,12,7,5,1
27,1,9,2,7,0
28,1,10,3,7,0
29,1,10,7,3,1
30,1,11,7,4,1
31,1,13,6,7,0
32,1,13,6,7,0
33,1,10,3,7,0
34,1,12,5,7,0
35,1,10,3,7,0
36,1,12,7,5,1
37,1,10,3,7,0
38,1,11,4,7,0
39,1,9,2,7,0
40,1,9,7,2,1
41,1,12,5,7,0
42,1,12,7,5,1
43,1,11,4,7,0
44,1,12,5,7,0
45,1,9,2,7,0
46,1,8,1,7,0
47,1,13,7,6,1
48,1,10,3,7,0
49,1,12,5,7,0
50,1,10,7,3,1
51,1,10,3,7,0
52,1,10,7,3,1
53,1,13,7,6,1
54,1,13,7,6,1
55,1,9,2,7,0
56,1,10,3,7,0
57,1,11,4,7,0
58,1,13,7,6,1
59,1,11,4,7,0
60,1,12,7,5,1
61,1,11,4,7,0
62,1,11,4,7,0
63,1,12,5,7,0
