game_idx,hand_idx,seed,a_team,dealer,redeals,forced,bidder,bidder_is_a,bid_value,decl_id,team_a_pts,team_b_pts,made,marks_a_after,marks_b_after
0,0,2019398498,0,0,0,0,3,0,30,3,19,23,0,1,0
0,1,3830822565,0,1,0,0,3,0,31,1,0,42,1,1,1
0,2,2641824121,0,2,0,0,1,0,32,6,18,24,0,2,1
0,3,2305764540,0,3,0,0,3,0,31,4,28,14,0,3,1
0,4,1969704959,0,0,0,0,3,0,31,4,6,36,1,3,2
0,5,4270352961,0,1,0,0,0,1,30,2,35,7,1,4,2
0,6,3934293380,0,2,0,0,1,0,31,6,7,35,1,4,3
0,7,2745294936,0,3,0,0,1,0,31,4,17,25,0,5,3
0,8,2409235355,0,0,0,0,1,0,30,4,18,24,0,6,3
0,9,1267854924,0,1,0,0,0,1,30,1,13,29,0,6,4
0,10,78856480,0,2,0,0,2,1,32,0,42,0,1,7,4
1,0,1036136997,0,0,0,0,3,0,30,2,2,40,1,0,1
1,1,2847561064,0,1,0,0,1,0,30,1,17,25,0,1,1
1,2,3000725418,0,2,0,0,1,0,30,6,6,36,1,1,2
1,3,517182189,0,3,0,0,2,1,32,4,24,18,0,1,3
1,4,181122608,0,0,0,0,0,1,30,6,41,1,1,2,3
1,5,3287091460,0,1,0,0,3,0,31,4,2,40,1,2,4
1,6,2951031879,0,2,0,0,3,0,30,4,19,23,0,3,4
1,7,3104196233,0,3,0,0,2,1,31,1,24,18,0,3,5
1,8,620653004,0,0,0,0,3,0,30,4,11,31,1,3,6
1,9,3726621856,0,1,0,0,3,0,31,6,6,36,1,3,7
2,0,4206801224,0,1,1,0,3,0,30,4,12,30,1,0,1
2,1,55719865,0,2,0,0,1,0,31,0,1,41,1,0,2
2,2,1014205069,0,3,0,0,0,1,30,6,24,18,0,0,3
2,3,2345683618,0,1,1,0,1,0,31,0,24,18,0,1,3
2,4,1684248705,0,2,0,0,3,0,30,4,0,42,1,1,4
2,5,2642733909,0,3,0,0,3,0,31,4,0,42,1,1,5
2,6,159190680,0,0,0,0,1,0,30,5,8,34,1,1,6
2,7,3265159532,0,1,0,0,1,0,32,2,23,19,0,2,6
2,8,2123779101,0,2,0,0,2,1,30,0,42,0,1,3,6
2,9,3082264305,0,3,0,0,3,0,30,1,13,29,0,4,6
2,10,598721076,0,0,0,0,0,1,31,5,42,0,1,5,6
2,11,262661495,0,1,0,0,1,0,32,5,22,20,0,6,6
2,12,2563309497,0,2,0,0,1,0,30,0,34,8,0,7,6
3,0,972162557,0,0,0,0,0,1,31,5,30,12,0,0,1
3,1,636102976,0,1,0,0,0,1,30,3,41,1,1,1,1
3,2,4214404060,0,3,1,0,1,0,31,4,23,19,0,2,1
3,3,2600691397,0,0,0,0,0,1,30,1,30,12,1,3,1
3,4,2264631816,0,1,0,0,2,1,30,6,20,22,0,3,2
3,5,1075633372,0,2,0,0,0,1,30,4,36,6,1,4,2
3,6,739573791,0,3,0,0,0,1,30,0,23,19,0,4,3
3,7,3040221793,0,0,0,0,2,1,30,6,29,13,0,4,4
3,8,2323555581,0,2,1,0,1,0,30,1,18,24,0,5,4
3,9,220618983,0,3,0,0,3,0,30,5,12,30,1,5,5
3,10,798497556,0,1,1,0,2,1,30,4,39,3,1,6,5
3,11,37723756,0,2,0,0,1,0,30,4,13,29,0,7,5
4,0,2475288654,0,0,0,0,3,0,32,6,17,25,0,1,0
4,1,2139229073,0,1,0,0,1,0,32,4,11,31,0,2,0
4,2,3851314253,0,2,0,0,1,0,30,4,2,40,1,2,1
4,3,614171048,0,3,0,0,1,0,31,4,6,36,1,2,2
4,4,1520935378,0,0,0,0,0,1,30,2,24,18,0,2,3
4,5,2578759469,0,1,0,0,1,0,31,4,39,3,0,3,3
4,6,2242699888,0,2,0,0,1,0,31,6,0,42,1,3,4
4,7,1053701444,0,3,0,0,3,0,30,3,1,41,1,3,5
4,8,1579859143,0,1,1,0,1,0,30,2,17,25,0,4,5
4,9,1624406193,0,2,0,0,1,0,30,0,0,42,1,4,6
4,10,2682230284,0,3,0,0,2,1,32,1,18,24,0,4,7
5,0,2536913066,0,0,0,0,2,1,30,1,36,6,1,1,0
5,1,2200853485,0,1,0,0,1,0,31,6,12,30,0,2,0
5,2,206534191,0,2,0,0,1,0,31,4,1,41,1,2,1
5,3,4165441906,0,3,0,0,1,0,30,4,8,34,1,2,2
5,4,3829382325,0,0,0,0,2,1,30,6,24,18,0,2,3
5,5,2259777250,0,2,1,0,2,1,31,1,42,0,1,3,3
5,6,1499003450,0,3,0,0,3,0,30,0,16,26,0,4,3
5,7,310005006,0,0,0,0,3,0,31,6,17,25,0,5,3
5,8,4268912721,0,1,0,0,0,1,31,3,42,0,1,6,3
5,9,1785369492,0,2,0,0,1,0,31,4,6,36,1,6,4
5,10,1938533846,0,3,0,0,3,0,31,4,1,41,1,6,5
5,11,1602474265,0,0,0,0,3,0,31,0,7,35,1,6,6
5,12,413475821,0,1,0,0,0,1,30,4,41,1,1,7,6
6,0,2895814363,0,0,0,0,0,1,31,4,25,17,0,0,1
6,1,412271134,0,1,0,0,3,0,30,4,7,35,1,0,2
6,2,1370756338,0,2,0,0,1,0,31,1,23,19,0,1,2
6,3,654090126,0,0,1,0,0,1,31,5,25,17,0,1,3
6,4,2040799974,0,1,0,0,3,0,31,0,1,41,1,1,4
6,5,851801530,0,2,0,0,0,1,30,4,41,1,1,2,4
6,6,515741949,0,3,0,0,2,1,31,1,24,18,0,2,5
6,7,1093620522,0,1,1,0,2,1,30,1,41,1,1,3,5
6,8,2480330370,0,2,0,0,2,1,31,2,20,22,0,3,6
6,9,1291331926,0,3,0,0,2,1,30,5,42,0,1,4,6
6,10,94720196,0,2,2,0,2,1,30,3,30,12,1,5,6
6,11,619212764,0,3,0,0,3,0,31,0,0,42,1,5,7
7,0,909294014,0,0,0,0,3,0,30,3,8,34,1,0,1
7,1,1435451713,0,2,1,0,2,1,32,4,31,11,0,0,2
7,2,2873882435,0,3,0,0,3,0,32,4,28,14,0,1,2
7,3,390339206,0,0,0,0,1,0,30,2,13,29,0,2,2
7,4,54279625,0,1,0,0,3,0,31,5,0,42,1,2,3
7,5,207443979,0,2,0,0,2,1,32,6,36,6,1,3,3
7,6,3686406176,0,0,1,0,3,0,31,5,1,41,1,3,4
7,7,349924084,0,2,1,0,2,1,31,3,36,6,1,4,4
7,8,2161348151,0,0,1,0,0,1,31,4,19,23,0,4,5
7,9,2314512505,0,2,1,0,2,1,30,4,23,19,0,4,6
7,10,1978452924,0,0,1,0,3,0,30,1,0,42,1,4,7
8,0,2831839923,0,0,0,0,3,0,31,3,12,30,0,1,0
8,1,2495780342,0,1,0,0,0,1,30,5,31,11,1,2,0
8,2,2159720761,0,2,0,0,0,1,30,4,42,0,1,3,0
8,3,590115686,0,0,1,0,0,1,31,5,15,27,0,3,1
8,4,3743702551,0,2,1,0,2,1,32,6,42,0,1,4,1
8,5,2935310738,0,3,0,0,0,1,30,5,1,41,0,4,2
8,6,2218644526,0,1,1,0,1,0,30,6,8,34,1,4,3
8,7,2697184212,0,0,2,0,0,1,31,6,42,0,1,5,3
8,8,268872282,0,1,0,0,0,1,31,2,30,12,0,5,4
8,9,3847173366,0,3,1,0,3,0,32,0,23,19,0,6,4
8,10,3038781553,0,0,0,0,2,1,31,4,20,22,0,6,5
8,11,555238324,0,1,0,0,0,1,31,4,24,18,0,6,6
8,12,327796047,0,3,1,0,3,0,30,6,0,42,1,6,7
9,0,845319574,0,0,0,0,3,0,31,2,0,42,1,0,1
9,1,3998906439,0,1,0,0,0,1,30,1,35,7,1,1,1
9,2,1416024323,0,2,0,0,1,0,30,2,17,25,0,2,1
9,3,2473848414,0,3,0,0,3,0,31,5,0,42,1,2,2
9,4,2137788833,0,0,0,0,0,1,31,4,36,6,1,3,2
9,5,3577884686,0,3,2,0,0,1,30,6,36,6,1,4,2
9,6,4102377254,0,0,0,0,3,0,30,2,7,35,1,4,3
9,7,2913378810,0,1,0,0,3,0,31,3,40,2,0,5,3
9,8,2577319229,0,2,0,0,2,1,30,6,42,0,1,6,3
9,9,93776000,0,3,0,0,2,1,31,5,19,23,0,6,4
9,10,246940354,0,0,0,0,0,1,31,6,34,8,1,7,4
10,0,1204220871,0,0,0,0,0,1,31,6,41,1,1,1,0
10,1,3015644938,0,1,0,0,1,0,31,1,27,15,0,2,0
10,2,3974130142,0,2,0,0,0,1,30,0,35,7,1,3,0
10,3,685266063,0,3,0,0,3,0,32,5,17,25,0,4,0
10,4,349206482,0,0,0,0,0,1,32,1,24,18,0,4,1
10,5,3455175334,0,1,0,0,3,0,30,1,6,36,1,4,2
10,6,3119115753,0,2,0,0,2,1,32,4,29,13,0,4,3
10,7,1930117309,0,3,0,0,3,0,31,6,1,41,1,4,4
10,8,788736878,0,0,0,0,1,0,30,5,12,30,1,4,5
10,9,452677297,0,1,0,0,3,0,30,1,7,35,1,4,6
10,10,3558646149,0,2,0,0,2,1,30,4,34,8,1,5,6
10,11,3222586568,0,3,0,0,3,0,32,0,3,39,1,5,7
11,0,885238652,0,1,1,0,1,0,30,4,3,39,1,0,1
11,1,2271948500,0,2,0,0,1,0,30,5,18,24,0,1,1
11,2,3230433704,0,3,0,0,2,1,30,6,24,18,0,1,2
11,3,746890475,0,0,0,0,0,1,31,5,23,19,0,1,3
11,4,410830894,0,1,0,0,1,0,31,6,7,35,1,1,4
11,5,2711478896,0,2,0,0,1,0,30,3,21,21,0,2,4
11,6,2375419315,0,3,0,0,3,0,32,5,0,42,1,2,5
11,7,1186420871,0,0,0,0,2,1,31,0,23,19,0,2,6
11,8,850361290,0,1,0,0,1,0,30,1,0,42,1,2,7
12,0,2388364749,0,1,1,0,1,0,31,2,6,36,1,0,1
12,1,285428151,0,2,0,0,2,1,30,0,42,0,1,1,1
12,2,438592505,0,3,0,0,1,0,30,4,12,30,1,1,2
12,3,1770071054,0,1,1,0,0,1,30,6,41,1,1,2,2
12,4,1913956991,0,2,0,0,2,1,31,1,29,13,0,2,3
12,5,724958547,0,3,0,0,3,0,31,2,22,20,0,3,3
12,6,1251116246,0,1,1,0,3,0,30,1,0,42,1,3,4
12,7,161456689,0,3,1,0,3,0,30,3,7,35,1,3,5
12,8,2353487387,0,0,0,0,0,1,30,5,24,18,0,3,6
12,9,1164488943,0,1,0,0,1,0,30,2,23,19,0,4,6
12,10,23108512,0,2,0,0,2,1,32,6,36,6,1,5,6
12,11,3982016227,0,3,0,0,3,0,32,0,28,14,0,6,6
12,12,2412411152,0,1,1,0,0,1,30,1,36,6,1,7,6
13,0,1201870843,0,0,0,0,0,1,31,0,35,7,1,1,0
13,1,60490412,0,1,0,0,2,1,30,1,26,16,0,1,1
13,2,4019398127,0,2,0,0,2,1,31,4,41,1,1,2,1
13,3,2830399683,0,3,0,0,0,1,30,1,42,0,1,3,1
13,4,2494340102,0,0,0,0,1,0,30,5,6,36,1,3,2
13,5,500020808,0,1,0,0,0,1,30,3,30,12,1,4,2
13,6,163961227,0,2,0,0,2,1,31,6,30,12,0,4,3
13,7,3269930079,0,3,0,0,1,0,31,0,6,36,1,4,4
13,8,2933870498,0,0,0,0,1,0,30,4,2,40,1,4,5
13,9,3939973715,0,1,0,0,1,0,32,4,12,30,0,5,5
13,10,603491623,0,2,0,0,1,0,31,6,19,23,0,6,5
13,11,2414915690,0,3,0,0,2,1,31,6,6,36,0,6,6
13,12,3373400894,0,0,0,0,0,1,31,5,30,12,0,6,7
14,0,280800179,0,2,2,0,1,0,30,4,12,30,1,0,1
14,1,3814993675,0,0,1,0,2,1,31,6,35,7,1,1,1
14,2,958457101,0,1,0,0,1,0,31,5,34,8,0,2,1
14,3,622397520,0,2,0,0,1,0,30,4,12,30,1,2,2
14,4,3728366372,0,3,0,0,2,1,31,4,42,0,1,3,2
14,5,3392306791,0,0,0,0,0,1,31,4,13,29,0,3,3
14,6,4103825,0,1,0,0,0,1,31,5,18,24,0,3,4
14,7,1061927916,0,2,0,0,3,0,30,3,1,41,1,3,5
14,8,2873351983,0,3,0,0,1,0,30,0,13,29,0,4,5
14,9,3831837187,0,0,0,0,0,1,30,5,24,18,0,4,6
14,10,3977388255,0,3,2,0,1,0,30,4,6,36,1,4,7
15,0,3063898237,0,0,0,0,0,1,31,2,20,22,0,0,1
15,1,580355008,0,1,0,0,1,0,30,2,11,31,1,0,2
15,2,1538840212,0,2,0,0,2,1,31,5,42,0,1,1,2
15,3,3350264279,0,3,0,0,1,0,30,5,23,19,0,2,2
15,4,386775532,0,1,1,0,1,0,31,6,6,36,1,2,3
15,5,539939886,0,3,1,0,1,0,31,4,7,35,1,2,4
15,6,683825823,0,0,0,0,2,1,30,3,26,16,0,2,5
15,7,3789794675,0,1,0,0,2,1,30,4,36,6,1,3,5
15,8,3453735094,0,2,0,0,1,0,30,6,17,25,0,4,5
15,9,2312354663,0,3,0,0,3,0,32,5,0,42,1,4,6
15,10,1123356219,0,0,0,0,2,1,30,6,29,13,0,4,7
16,0,1077377888,0,0,0,0,1,0,30,6,1,41,1,0,1
16,1,2888801955,0,1,0,0,2,1,30,5,19,23,0,0,2
16,2,795143774,0,2,0,0,2,1,31,6,42,0,1,1,2
