game_idx,hand_idx,seed,a_team,dealer,redeals,forced,bidder,bidder_is_a,bid_value,decl_id,team_a_pts,team_b_pts,made,marks_a_after,marks_b_after
0,0,1528626745,0,1,1,0,2,1,30,2,21,21,0,0,1
0,1,767852945,0,2,0,0,3,0,30,2,1,41,1,0,2
0,2,51186733,0,0,1,0,0,1,32,4,34,8,1,1,2
0,3,3537762216,0,1,0,0,1,0,32,5,1,41,1,1,3
0,4,3201702635,0,2,0,0,3,0,30,2,0,42,1,1,4
0,5,1207383341,0,3,0,0,2,1,31,0,30,12,0,1,5
0,6,490717129,0,1,1,0,2,1,30,4,41,1,1,2,5
0,7,3977292612,0,2,0,0,0,1,31,6,14,28,0,2,6
0,8,3641233031,0,3,0,0,2,1,31,3,31,11,1,3,6
0,9,2499852600,0,0,0,0,1,0,30,3,0,42,1,3,7
1,0,3412359473,0,0,0,0,1,0,30,4,8,34,1,0,1
1,1,3076299892,0,1,0,0,3,0,31,5,16,26,0,1,1
1,2,3983064222,0,2,0,0,0,1,31,5,40,2,1,2,1
1,3,745921017,0,3,0,0,2,1,30,1,41,1,1,3,1
1,4,409861436,0,0,0,0,3,0,31,0,2,40,1,3,2
1,5,3515830288,0,1,0,0,3,0,31,1,6,36,1,3,3
1,6,3179770707,0,2,0,0,2,1,31,1,25,17,0,3,4
1,7,1185451413,0,3,0,0,1,0,30,1,0,42,1,3,5
1,8,849391832,0,0,0,0,0,1,31,4,41,1,1,4,5
1,9,2660815899,0,1,0,0,1,0,31,5,18,24,0,5,5
1,10,3619301103,0,2,0,0,2,1,32,6,41,1,1,6,5
1,11,231098137,0,3,0,0,1,0,30,2,1,41,1,6,6
1,12,1288922228,0,0,0,0,0,1,31,4,42,0,1,7,6
2,0,2668663035,0,0,0,0,0,1,31,2,29,13,0,0,1
2,1,2332603454,0,1,0,0,0,1,31,6,34,8,1,1,1
2,2,1143605010,0,2,0,0,2,1,31,6,35,7,1,2,1
2,3,807545429,0,3,0,0,2,1,31,4,40,2,1,3,1
2,4,3961132294,0,0,0,0,2,1,31,0,31,11,1,4,1
2,5,2772133850,0,1,0,0,1,0,31,1,22,20,0,5,1
2,6,2436074269,0,2,0,0,0,1,30,1,30,12,1,6,1
2,7,1247075825,0,3,0,0,3,0,31,4,29,13,0,7,1
3,0,1954501361,0,0,0,0,0,1,31,0,26,16,0,0,1
3,1,864841804,0,1,0,0,1,0,31,3,6,36,1,0,2
3,2,2676265871,0,2,0,0,0,1,30,2,18,24,0,0,3
3,3,582607690,0,3,0,0,1,0,30,2,6,36,1,0,4
3,4,2394031757,0,0,0,0,0,1,31,1,18,24,0,0,5
3,5,1304372200,0,1,0,0,2,1,30,5,24,18,0,0,6
3,6,3115796267,0,2,0,0,2,1,31,3,15,27,0,0,7
4,0,1041043983,0,0,0,0,0,1,31,1,42,0,1,1,0
4,1,2852468050,0,1,0,0,0,1,31,1,42,0,1,2,0
4,2,3810953254,0,2,0,0,1,0,31,2,16,26,0,3,0
4,3,522089175,0,3,0,0,2,1,31,6,25,17,0,3,1
4,4,186029594,0,0,0,0,0,1,31,0,19,23,0,3,2
4,5,3291998446,0,1,0,0,3,0,30,3,7,35,1,3,3
