game_idx,a_team,n_hands,marks_a,marks_b,a_won
0,0,11,7,4,1
1,0,9,7,2,1
2,0,10,3,7,0
3,0,11,7,4,1
4,0,10,7,3,1
5,0,12,7,5,1
6,0,12,5,7,0
7,0,9,2,7,0
8,0,13,7,6,1
9,0,10,7,3,1
10,0,10,3,7,0
11,0,10,3,7,0
12,0,9,7,2,1
13,0,10,3,7,0
14,0,11,7,4,1
15,0,13,7,6,1
16,0,13,7,6,1
17,0,12,7,5,1
18,0,12,7,5,1
19,0,11,7,4,1
20,0,8,7,1,1
21,0,12,7,5,1
22,0,10,7,3,1
23,0,11,4,7,0
24,0,9,2,7,0
25,0,8,1,7,0
26,0,12,5,7,0
27,0,13,6,7,0
28,0,13,6,7,0
29,0,13,7,6,1
30,0,12,7,5,1
31,0,13,6,7,0
32,0,10,7,3,1
33,0,9,2,7,0
34,0,7,7,0,1
35,0,11,4,7,0
36,0,13,6,7,0
37,0,10,3,7,0
38,0,12,5,7,0
39,0,7,7,0,1
40,0,11,7,4,1
41,0,11,7,4,1
42,0,12,7,5,1
43,0,12,7,5,1
44,0,12,7,5,1
45,0,11,4,7,0
46,0,12,5,7,0
47,0,12,5,7,0
48,0,13,7,6,1
49,0,9,2,7,0
50,0,11,4,7,0
51,0,11,4,7,0
52,0,11,4,7,0
53,0,11,4,7,0
54,0,10,7,3,1
55,0,13,7,6,1
56,0,13,6,7,0
57,0,11,4,7,0
58,0,11,4,7,0
59,0,12,7,5,1
60,0,9,7,2,1
61,0,7,0,7,0
62,0,13,6,7,0
63,0,12,5,7,0
64,0,13,6,7,0
65,0,12,7,5,1
66,0,11,7,4,1
67,0,12,7,5,1
68,0,9,7,2,1
69,0,12,5,7,0
70,0,12,7,5,1
71,0,11,4,7,0
72,0,7,0,7,0
73,0,12,5,7,0
74,0,9,7,2,1
75,0,12,7,5,1
76,0,11,7,4,1
77,0,7,0,7,0
78,0,10,7,3,1
79,0,12,5,7,0
80,0,13,7,6,1
81,0,10,3,7,0
82,0,10,7,3,1
83,0,13,6,7,0
84,0,13,6,7,0
85,0,12,5,8,0
86,0,10,7,3,1
87,0,11,4,7,0
88,0,11,7,4,1
89,0,12,7,5,1
90,0,8,7,1,1
91,0,13,7,6,1
92,0,13,6,7,0
93,0,13,6,7,0
94,0,11,7,4,1
95,0,13,7,6,1
96,0,9,2,7,0
97,0,8,1,7,0
98,0,12,7,5,1
99,0,10,3,7,0
100,0,9,7,2,1
101,0,12,5,7,0
102,0,11,4,7,0
103,0,11,4,7,0
104,0,12,7,5,1
105,0,13,6,7,0
106,0,11,7,4,1
107,0,11,4,7,0
108,0,13,7,6,1
109,0,11,4,7,0
110,0,11,7,4,1
111,0,11,7,4,1
112,0,13,7,6,1
113,0,12,7,5,1
114,0,11,7,4,1
115,0,10,7,3,1
116,0,10,7,3,1
117,0,12,5,7,0
118,0,10,7,3,1
119,0,10,7,3,1
120,0,13,6,7,0
121,0,10,3,7,0
122,0,13,7,6,1
123,0,12,7,5,1
124,0,13,6,7,0
125,0,11,7,4,1
126,0,13,6,7,0
127,0,10,7,3,1
128,0,11,7,4,1
129,0,10,3,7,0
130,0,13,7,6,1
131,0,12,7,5,1
132,0,13,6,7,0
133,0,12,5,7,0
134,0,9,7,2,1
135,0,11,7,4,1
136,0,12,7,5,1
137,0,9,7,2,1
138,0,9,7,2,1
139,0,12,7,5,1
140,0,12,7,5,1
141,0,12,5,7,0
142,0,12,5,7,0
143,0,12,5,7,0
144,0,10,3,7,0
145,0,11,7,4,1
146,0,11,4,7,0
147,0,9,7,2,1
148,0,11,4,7,0
149,0,10,3,7,0
150,0,11,7,4,1
151,0,10,7,3,1
152,0,9,2,7,0
153,0,13,6,7,0
154,0,12,7,5,1
155,0,8,1,7,0
156,0,9,2,7,0
157,0,10,3,7,0
158,0,10,7,3,1
159,0,12,7,5,1
160,0,12,5,7,0
161,0,13,6,7,0
162,0,12,5,7,0
163,0,11,7,4,1
164,0,13,7,6,1
165,0,10,7,3,1
166,0,9,2,7,0
167,0,11,4,7,0
168,0,11,4,7,0
169,0,10,7,3,1
170,0,12,5,7,0
171,0,12,5,7,0
172,0,13,7,6,1
173,0,10,3,7,0
174,0,8,7,1,1
175,0,8,1,7,0
176,0,11,7,4,1
177,0,10,7,3,1
178,0,10,7,3,1
179,0,13,7,6,1
180,0,9,7,2,1
181,0,12,7,5,1
182,0,9,7,2,1
183,0,12,7,5,1
184,0,12,7,5,1
185,0,12,7,5,1
186,0,8,1,7,0
187,0,11,4,7,0
188,0,11,4,7,0
189,0,11,4,7,0
190,0,13,6,7,0
191,0,12,5,7,0
192,0,13,6,7,0
193,0,9,7,2,1
194,0,13,7,6,1
195,0,11,4,7,0
196,0,11,7,4,1
197,0,12,5,7,0
198,0,13,6,7,0
199,0,11,7,4,1
200,0,13,6,7,0
201,0,9,7,2,1
202,0,10,7,3,1
203,0,13,6,7,0
204,0,12,7,5,1
205,0,9,7,2,1
206,0,12,7,5,1
207,0,13,6,7,0
208,0,12,7,5,1
209,0,9,2,7,0
210,0,12,5,7,0
211,0,12,5,7,0
212,0,12,7,5,1
213,0,12,7,5,1
214,0,10,7,3,1
215,0,11,7,4,1
216,0,12,5,7,0
217,0,13,6,7,0
218,0,13,7,6,1
219,0,8,7,1,1
220,0,11,7,4,1
221,0,11,7,4,1
222,0,9,7,2,1
223,0,12,5,7,0
224,0,13,7,6,1
225,0,12,7,5,1
226,0,10,7,3,1
227,0,13,7,6,1
228,0,9,7,2,1
229,0,13,7,6,1
230,0,12,7,5,1
231,0,10,7,3,1
232,0,12,7,5,1
233,0,11,7,4,1
234,0,8,7,1,1
235,0,10,7,3,1
236,0,11,4,7,0
237,0,9,2,7,0
238,0,11,4,7,0
239,0,10,3,7,0
240,0,12,5,7,0
241,0,8,1,7,0
242,0,9,7,2,1
243,0,13,6,7,0
244,0,10,7,3,1
245,0,10,7,3,1
246,0,11,4,7,0
247,0,12,5,7,0
248,0,11,4,7,0
249,0,13,7,6,1
250,0,13,7,6,1
251,0,12,5,7,0
252,0,13,7,6,1
253,0,10,7,3,1
254,0,9,7,2,1
255,0,11,4,7,0
0,1,13,7,6,1
1,1,12,5,7,0
2,1,13,7,6,1
3,1,10,7,3,1
