game_idx,hand_idx,seed,a_team,dealer,redeals,forced,bidder,bidder_is_a,bid_value,decl_id,team_a_pts,team_b_pts,made,marks_a_after,marks_b_after
0,0,3653443310,0,0,0,0,0,1,30,1,30,12,1,1,0
0,1,316961218,0,1,0,0,3,0,31,0,1,41,1,1,1
0,2,3470548083,0,2,0,0,2,1,31,4,35,7,1,2,1
0,3,2281549639,0,3,0,0,3,0,32,3,0,42,1,2,2
0,4,3613028188,0,1,1,0,0,1,31,0,42,0,1,3,2
0,5,756491614,0,2,0,0,2,1,31,2,28,14,0,3,3
0,6,1282649313,0,0,1,0,0,1,31,6,36,6,1,4,3
0,7,946589732,0,2,1,0,3,0,30,5,24,18,0,5,3
0,8,2385020454,0,3,0,0,3,0,30,6,0,42,1,5,4
0,9,4196444521,0,0,0,0,0,1,30,5,22,20,0,5,5
0,10,1722179709,0,2,1,0,0,1,31,4,42,0,1,6,5
0,11,1866065646,0,3,0,0,3,0,31,0,16,26,0,7,5
1,0,3823685026,0,1,1,0,2,1,30,5,19,23,0,0,1
1,1,3868232076,0,2,0,0,0,1,30,4,41,1,1,1,1
1,2,3532172495,0,3,0,0,3,0,31,4,0,42,1,1,2
1,3,295029290,0,0,0,0,3,0,31,5,18,24,0,2,2
1,4,1201793620,0,1,0,0,1,0,31,1,7,35,1,2,3
1,5,12795176,0,2,0,0,1,0,30,2,1,41,1,2,4
1,6,3971702891,0,3,0,0,0,1,30,5,30,12,1,3,4
1,7,1488159662,0,0,0,0,1,0,30,4,21,21,0,4,4
1,8,1260717385,0,2,1,0,3,0,30,4,6,36,1,4,5
1,9,3452748083,0,3,0,0,3,0,32,5,12,30,0,5,5
1,10,116265991,0,0,0,0,3,0,30,4,0,42,1,5,6
1,11,1927690058,0,1,0,0,1,0,31,6,33,9,0,6,6
1,12,2080854412,0,2,0,0,1,0,31,6,14,28,0,7,6
2,0,1172885395,0,0,0,0,1,0,30,2,11,31,1,0,1
2,1,2079649725,0,1,0,0,3,0,31,5,11,31,1,0,2
2,2,1743590144,0,2,0,0,1,0,31,4,23,19,0,1,2
2,3,2801414235,0,3,0,0,0,1,30,2,40,2,1,2,2
2,4,2465354654,0,0,0,0,2,1,31,6,31,11,1,3,2
2,5,1276356210,0,1,0,0,3,0,30,6,28,14,0,4,2
2,6,2183120540,0,2,0,0,0,1,31,4,17,25,0,4,3
2,7,613515465,0,0,1,0,2,1,30,3,42,0,1,5,3
2,8,2904885050,0,1,0,0,1,0,31,4,21,21,0,6,3
2,9,2568825469,0,2,0,0,3,0,30,0,6,36,1,6,4
2,10,2622650936,0,3,0,0,3,0,31,4,21,21,0,7,4
3,0,2576672605,0,0,0,0,3,0,30,2,24,18,0,1,0
3,1,93129376,0,1,0,0,1,0,32,5,11,31,0,2,0
3,2,4052037091,0,2,0,0,0,1,31,6,41,1,1,3,0
3,3,2057717797,0,3,0,0,3,0,31,3,0,42,1,3,1
3,4,1721658216,0,0,0,0,0,1,30,5,40,2,1,4,1
3,5,532659772,0,1,0,0,0,1,32,5,42,0,1,5,1
3,6,196600191,0,2,0,0,3,0,30,2,22,20,0,6,1
3,7,2497248193,0,3,0,0,2,1,30,4,40,2,1,7,1
4,0,4079798702,0,0,0,0,0,1,31,6,35,7,1,1,0
4,1,1596255473,0,1,0,0,2,1,30,3,42,0,1,2,0
4,2,4222278807,0,3,1,0,3,0,30,4,1,41,1,2,1
4,3,71197448,0,0,0,0,0,1,31,5,41,1,1,3,1
4,4,977961778,0,1,0,0,1,0,31,5,13,29,0,4,1
4,5,1555840351,0,3,1,0,3,0,30,1,17,25,0,5,1
4,6,1699726288,0,0,0,0,2,1,30,4,35,7,1,6,1
4,7,510727844,0,1,0,0,2,1,30,6,41,1,1,7,1
5,0,3365637028,0,0,0,0,0,1,31,1,35,7,1,1,0
5,1,2176638584,0,1,0,0,1,0,32,6,21,21,0,2,0
5,2,3988062651,0,2,0,0,1,0,31,3,8,34,1,2,1
5,3,4141227005,0,3,0,0,1,0,31,4,1,41,1,2,2
5,4,3805167424,0,0,0,0,3,0,30,6,1,41,1,2,3
5,5,2616168980,0,1,0,0,1,0,31,5,13,29,0,3,3
5,6,132625751,0,2,0,0,1,0,31,5,6,36,1,3,4
5,7,3286212616,0,3,0,0,3,0,31,4,0,42,1,3,5
5,8,4244697820,0,0,0,0,0,1,31,0,41,1,1,4,5
5,9,1761154591,0,1,0,0,3,0,30,5,17,25,0,5,5
5,10,2719639795,0,2,0,0,2,1,31,7,36,6,1,6,5
5,11,236096566,0,3,0,0,0,1,30,1,42,0,1,7,5
6,0,2352840763,0,0,0,0,2,1,30,4,41,1,1,1,0
6,1,2016781182,0,1,0,0,2,1,30,3,31,11,1,2,0
6,2,3074605273,0,2,0,0,1,0,31,5,16,26,0,3,0
6,3,491723157,0,3,0,0,1,0,30,2,11,31,1,3,1
6,4,1497826374,0,0,0,0,0,1,30,1,41,1,1,4,1
6,5,2456311578,0,1,0,0,3,0,31,2,13,29,0,5,1
6,6,4267735645,0,2,0,0,2,1,32,3,36,6,1,6,1
6,7,1837578421,0,2,3,0,2,1,30,1,19,23,0,6,2
6,8,1937356770,0,3,0,0,2,1,30,0,30,12,1,7,2
7,0,3032562761,0,0,0,0,3,0,32,6,12,30,0,1,0
7,1,69074014,0,2,1,0,0,1,31,4,41,1,1,2,0
7,2,2360443599,0,3,0,0,1,0,30,3,7,35,1,2,1
7,3,366124305,0,0,0,0,0,1,30,0,17,25,0,2,2
7,4,30064724,0,1,0,0,1,0,32,0,1,41,1,2,3
7,5,3136033576,0,2,0,0,1,0,31,4,17,25,0,3,3
7,6,2799973995,0,3,0,0,3,0,31,6,34,8,0,4,3
7,7,325709183,0,1,1,0,0,1,30,6,42,0,1,5,3
7,8,2137133250,0,3,1,0,3,0,32,6,0,42,1,5,4
7,9,133535539,0,0,0,0,2,1,30,2,42,0,1,6,4
7,10,3239504391,0,1,0,0,0,1,30,0,42,0,1,7,4
8,0,141382675,0,0,0,0,0,1,31,7,18,24,0,0,1
8,1,1952806742,0,1,0,0,3,0,30,2,12,30,1,0,2
8,2,1616747161,0,2,0,0,1,0,32,4,6,36,1,0,3
8,3,427748717,0,3,0,0,0,1,30,7,24,18,0,0,4
8,4,3581335582,0,0,0,0,3,0,31,3,29,13,0,1,4
8,5,2392337138,0,1,0,0,2,1,30,5,42,0,1,2,4
8,6,1675670926,0,3,1,0,3,0,31,6,1,41,1,2,5
8,7,867279113,0,0,0,0,0,1,31,6,35,7,1,3,5
8,8,4020865978,0,1,0,0,1,0,31,2,35,7,0,4,5
8,9,3684806397,0,2,0,0,2,1,30,4,41,1,1,5,5
8,10,2115201322,0,0,1,0,3,0,31,1,0,42,1,5,6
8,11,1779141741,0,2,1,0,2,1,30,1,39,3,1,6,6
8,12,970749928,0,3,0,0,0,1,30,6,28,14,0,6,7
9,0,1574704649,0,0,0,0,3,0,30,4,0,42,1,0,1
9,1,485045092,0,1,0,0,1,0,31,1,18,24,0,1,1
9,2,49646624,0,2,0,0,1,0,31,6,17,25,0,2,1
9,3,202810978,0,3,0,0,2,1,31,2,36,6,1,3,1
9,4,2014235045,0,0,0,0,0,1,31,6,31,11,1,4,1
9,5,924575488,0,1,0,0,2,1,30,5,41,1,1,5,1
9,6,2735999555,0,2,0,0,2,1,32,0,31,11,0,5,2
9,7,3642763885,0,3,0,0,0,1,30,1,29,13,0,5,3
9,8,306281793,0,0,0,0,0,1,31,2,34,8,1,6,3
9,9,2117705860,0,1,0,0,1,0,31,4,11,31,1,6,4
9,10,3175529951,0,2,0,0,2,1,31,3,14,28,0,6,5
9,11,4082294281,0,3,0,0,2,1,31,6,24,18,0,6,6
9,12,745812189,0,0,0,0,2,1,30,5,31,11,1,7,6
10,0,661247271,0,0,0,0,0,1,31,0,41,1,1,1,0
10,1,2472671338,0,1,0,0,1,0,31,3,1,41,1,1,1
