game_idx,a_team,n_hands,marks_a,marks_b,a_won
0,0,12,5,7,0
1,0,13,6,7,0
2,0,10,3,7,0
3,0,12,5,7,0
4,0,10,7,3,1
5,0,12,7,5,1
6,0,11,4,7,0
7,0,12,7,5,1
8,0,11,7,4,1
9,0,12,5,7,0
10,0,10,7,3,1
11,0,11,4,7,0
12,0,12,5,7,0
13,0,8,7,1,1
14,0,13,7,6,1
15,0,8,7,1,1
16,0,8,7,1,1
17,0,9,7,2,1
18,0,13,6,7,0
19,0,11,4,7,0
20,0,9,7,2,1
21,0,12,5,7,0
22,0,8,1,7,0
23,0,11,7,4,1
24,0,12,7,5,1
25,0,9,2,7,0
26,0,10,3,7,0
27,0,11,7,4,1
28,0,10,7,3,1
29,0,8,7,1,1
30,0,13,6,7,0
31,0,11,4,7,0
0,1,10,7,3,1
1,1,11,7,4,1
2,1,12,7,5,1
3,1,10,3,7,0
4,1,8,7,1,1
5,1,13,6,7,0
6,1,9,7,2,1
7,1,11,7,4,1
8,1,11,7,4,1
9,1,9,2,7,0
10,1,13,7,6,1
11,1,13,6,7,0
12,1,7,0,7,0
13,1,12,5,7,0
14,1,10,3,7,0
15,1,12,5,7,0
16,1,10,7,3,1
17,1,11,7,4,1
18,1,10,7,3,1
19,1,10,7,3,1
20,1,8,7,1,1
21,1,13,7,6,1
22,1,13,6,7,0
23,1,9,7,2,1
24,1,11,7,4,1
25,1,7,7,0,1
26,1,13,6,7,0
27,1,13,6,7,0
28,1,13,7,6,1
29,1,11,7,4,1
30,1,10,7,3,1
31,1,12,7,5,1
