game_idx,a_team,n_hands,marks_a,marks_b,a_won
0,0,12,7,5,1
1,0,12,7,5,1
2,0,8,7,1,1
3,0,12,5,7,0
4,0,7,7,0,1
5,0,13,6,7,0
6,0,13,6,7,0
7,0,12,7,5,1
8,0,11,7,4,1
9,0,8,7,1,1
10,0,11,7,4,1
11,0,12,5,7,0
12,0,10,7,3,1
13,0,12,5,7,0
14,0,13,6,7,0
15,0,10,7,3,1
16,0,10,3,7,0
17,0,10,7,3,1
18,0,10,7,3,1
19,0,13,7,6,1
20,0,13,6,7,0
21,0,10,7,3,1
22,0,12,5,7,0
23,0,11,4,7,0
24,0,12,7,5,1
25,0,13,6,7,0
26,0,13,6,7,0
27,0,10,7,3,1
28,0,7,7,0,1
29,0,13,7,6,1
30,0,13,6,7,0
31,0,9,2,7,0
32,0,10,3,7,0
33,0,11,7,4,1
34,0,13,7,6,1
35,0,12,5,7,0
36,0,13,7,6,1
37,0,13,7,6,1
38,0,13,7,6,1
39,0,13,6,7,0
40,0,11,7,4,1
41,0,11,4,7,0
42,0,11,4,7,0
43,0,7,7,0,1
44,0,12,7,5,1
45,0,10,3,7,0
46,0,10,7,3,1
47,0,13,7,6,1
48,0,7,0,7,0
49,0,10,7,3,1
50,0,10,3,7,0
51,0,12,7,5,1
52,0,12,7,5,1
53,0,12,5,7,0
54,0,11,7,4,1
55,0,11,7,4,1
56,0,11,4,7,0
57,0,9,7,2,1
58,0,13,6,7,0
59,0,11,7,4,1
60,0,12,7,5,1
61,0,13,7,6,1
62,0,11,7,4,1
63,0,9,7,2,1
64,0,13,7,6,1
65,0,12,7,5,1
66,0,9,7,2,1
67,0,10,7,3,1
68,0,9,7,2,1
69,0,10,7,3,1
70,0,13,7,6,1
71,0,11,4,7,0
72,0,13,7,6,1
73,0,12,5,7,0
74,0,12,7,5,1
75,0,11,7,4,1
76,0,10,7,3,1
77,0,9,2,7,0
78,0,10,7,3,1
79,0,11,7,4,1
80,0,13,6,7,0
81,0,12,5,7,0
82,0,12,5,7,0
83,0,12,5,7,0
84,0,8,1,7,0
85,0,11,4,7,0
86,0,11,7,4,1
87,0,11,7,4,1
88,0,13,6,7,0
89,0,12,5,7,0
90,0,9,7,2,1
91,0,13,6,7,0
92,0,13,7,6,1
93,0,11,4,7,0
94,0,13,6,7,0
95,0,13,7,6,1
0,1,13,6,7,0
1,1,11,7,4,1
2,1,8,7,1,1
3,1,13,6,7,0
4,1,10,7,3,1
5,1,8,7,1,1
6,1,13,7,6,1
7,1,9,2,7,0
8,1,10,3,7,0
9,1,11,7,4,1
10,1,12,5,7,0
11,1,11,7,4,1
12,1,10,3,7,0
13,1,10,3,7,0
14,1,8,7,1,1
15,1,8,7,1,1
16,1,7,7,0,1
17,1,8,1,7,0
18,1,10,7,3,1
19,1,11,7,4,1
20,1,7,7,0,1
21,1,9,2,7,0
22,1,10,3,7,0
23,1,9,7,2,1
24,1,12,5,7,0
25,1,13,7,6,1
26,1,13,7,6,1
27,1,13,7,6,1
28,1,13,7,6,1
29,1,12,5,7,0
30,1,12,5,7,0
31,1,11,7,4,1
32,1,10,7,3,1
33,1,11,7,4,1
34,1,11,7,4,1
35,1,13,6,7,0
36,1,10,7,3,1
37,1,13,7,6,1
38,1,13,6,7,0
39,1,12,5,7,0
40,1,12,5,7,0
41,1,13,7,6,1
42,1,13,7,6,1
43,1,11,7,4,1
44,1,7,7,0,1
45,1,9,7,2,1
46,1,8,7,1,1
47,1,12,5,7,0
48,1,13,7,6,1
49,1,10,3,7,0
50,1,13,7,6,1
51,1,9,2,7,0
52,1,9,7,2,1
53,1,12,5,7,0
54,1,10,7,3,1
55,1,13,6,7,0
56,1,12,5,7,0
57,1,10,3,7,0
58,1,10,3,7,0
59,1,10,7,3,1
60,1,9,7,2,1
61,1,10,7,3,1
62,1,12,7,5,1
63,1,12,5,7,0
64,1,13,7,6,1
65,1,7,0,7,0
66,1,12,5,7,0
67,1,12,7,5,1
68,1,13,7,6,1
69,1,9,2,7,0
70,1,10,7,3,1
71,1,10,3,7,0
72,1,12,5,7,0
73,1,11,7,4,1
74,1,12,7,5,1
75,1,12,5,7,0
76,1,10,7,3,1
77,1,12,5,7,0
78,1,12,5,7,0
79,1,13,7,6,1
80,1,13,6,7,0
81,1,9,7,2,1
82,1,13,7,6,1
83,1,13,6,7,0
84,1,9,7,2,1
85,1,11,7,4,1
86,1,12,5,7,0
87,1,13,7,6,1
88,1,12,7,5,1
89,1,12,7,5,1
90,1,12,5,7,0
91,1,13,6,7,0
92,1,12,7,5,1
93,1,9,2,7,0
94,1,10,7,3,1
95,1,11,7,4,1
