game_idx,hand_idx,seed,a_team,dealer,redeals,forced,bidder,bidder_is_a,bid_value,decl_id,team_a_pts,team_b_pts,made,marks_a_after,marks_b_after
0,0,4045842241,0,0,0,0,1,0,30,4,18,24,0,1,0
0,1,1562299012,0,1,0,0,2,1,30,4,24,18,0,1,1
0,2,420918581,0,2,0,0,2,1,31,3,25,17,0,1,2
0,3,3526887433,0,3,0,0,1,0,30,4,1,41,1,1,3
0,4,3190827852,0,0,0,0,0,1,31,1,41,1,1,2,3
0,5,2001829408,0,1,0,0,2,1,30,4,34,8,1,3,3
0,6,860448977,0,2,0,0,0,1,31,6,41,1,1,4,3
0,7,3966417829,0,3,0,0,1,0,30,2,13,29,0,5,3
0,8,3630358248,0,0,0,0,2,1,31,4,30,12,0,5,4
0,9,3294298667,0,1,0,0,3,0,30,4,23,19,0,6,4
0,10,2105300223,0,2,0,0,0,1,31,4,30,12,0,6,5
0,11,963919792,0,3,0,0,2,1,31,4,36,6,1,7,5
1,0,2257259890,0,0,0,0,0,1,31,2,36,6,1,1,0
1,1,1921200309,0,1,0,0,2,1,30,4,19,23,0,1,1
1,2,3732624376,0,2,0,0,3,0,30,4,25,17,0,2,1
1,3,2642964819,0,3,0,0,2,1,31,4,42,0,1,3,1
1,4,1402245501,0,0,0,0,1,0,30,4,40,2,0,4,1
1,5,2360730705,0,1,0,0,2,1,30,1,42,0,1,5,1
1,6,4172154772,0,2,0,0,2,1,31,4,20,22,0,5,2
1,7,3082495215,0,3,0,0,2,1,31,5,41,1,1,6,2
1,8,3989259545,0,0,0,0,1,0,30,2,7,35,1,6,3
1,9,1505716316,0,1,0,0,2,1,30,1,25,17,0,6,4
1,10,316717872,0,2,0,0,0,1,31,5,24,18,0,6,5
1,11,4275625587,0,3,0,0,2,1,31,1,42,0,1,7,5
2,0,270739541,0,0,0,0,0,1,31,5,31,11,1,1,0
2,1,4229647256,0,1,0,0,0,1,31,0,36,6,1,2,0
2,2,2235327962,0,2,0,0,3,0,30,5,24,18,0,3,0
2,3,1899268381,0,3,0,0,1,0,30,5,19,23,0,4,0
2,4,3710692448,0,0,0,0,2,1,31,5,31,11,1,5,0
2,5,374210356,0,1,0,0,3,0,30,5,13,29,0,6,0
2,6,3527797221,0,2,0,0,2,1,32,4,30,12,0,6,1
2,7,2338798777,0,3,0,0,2,1,31,3,42,0,1,7,1
3,0,3046224313,0,0,0,0,0,1,31,5,24,18,0,0,1
3,1,1857225869,0,1,0,0,3,0,30,6,6,36,1,0,2
3,2,1521166288,0,2,0,0,2,1,31,6,18,24,0,0,3
3,3,332167844,0,3,0,0,0,1,30,1,19,23,0,0,4
3,4,4291075559,0,0,0,0,1,0,30,4,17,25,0,1,4
3,5,2296756265,0,1,0,0,0,1,31,2,41,1,1,2,4
3,6,1960696684,0,2,0,0,0,1,31,4,35,7,1,3,4
3,7,1624637103,0,3,0,0,0,1,30,6,42,0,1,4,4
3,8,435638659,0,0,0,0,1,0,30,4,30,12,0,5,4
3,9,3589225524,0,1,0,0,0,1,31,3,14,28,0,5,5
3,10,2400227080,0,2,0,0,3,0,30,1,0,42,1,5,6
3,11,2064167499,0,3,0,0,1,0,30,6,8,34,1,5,7
4,0,2354248749,0,0,0,0,2,1,31,4,41,1,1,1,0
4,1,4165672816,0,1,0,0,2,1,30,4,42,0,1,2,0
