game_idx,hand_idx,seed,a_team,dealer,redeals,forced,bidder,bidder_is_a,bid_value,decl_id,team_a_pts,team_b_pts,made,marks_a_after,marks_b_after
0,0,1871551216,0,0,0,0,1,0,30,4,34,8,0,1,0
0,1,682552772,0,1,0,0,2,1,30,4,18,24,0,1,1
0,2,346493191,0,2,0,0,3,0,30,4,25,17,0,2,1
0,3,1404317282,0,3,0,0,0,1,30,4,14,28,0,2,2
0,4,2311081612,0,0,0,0,1,0,30,5,11,31,1,2,3
0,5,4122505679,0,1,0,0,2,1,30,3,26,16,0,2,4
0,6,786023587,0,2,0,0,3,0,30,4,6,36,1,2,5
0,7,2597447654,0,3,0,0,0,1,30,6,9,33,0,2,6
0,8,1507788097,0,0,0,0,1,0,30,4,28,14,0,3,6
0,9,267068779,0,1,0,0,2,1,30,4,25,17,0,3,7
1,0,2551273214,0,0,0,0,1,0,30,6,36,6,0,1,0
1,1,1362274770,0,1,0,0,2,1,30,2,36,6,1,2,0
1,2,1026215189,0,2,0,0,3,0,30,5,14,28,0,3,0
1,3,1932979519,0,3,0,0,0,1,30,4,30,12,1,4,0
1,4,2990803610,0,0,0,0,1,0,30,2,23,19,0,5,0
1,5,2654744029,0,1,0,0,2,1,30,5,42,0,1,6,0
1,6,1465745585,0,2,0,0,3,0,30,5,41,1,0,7,0
2,0,2612897626,0,0,0,0,1,0,30,5,31,11,0,1,0
2,1,2766061980,0,1,0,0,2,1,30,2,41,1,1,2,0
2,2,282518751,0,2,0,0,3,0,30,4,7,35,1,2,1
2,3,3388487603,0,3,0,0,0,1,30,1,30,12,1,3,1
2,4,3052428022,0,0,0,0,1,0,30,4,41,1,0,4,1
2,5,1911047591,0,1,0,0,2,1,30,0,42,0,1,5,1
2,6,722049147,0,2,0,0,3,0,30,5,26,16,0,6,1
2,7,385989566,0,3,0,0,0,1,30,5,18,24,0,6,2
2,8,3491958418,0,0,0,0,1,0,30,4,35,7,0,7,2
3,0,824315275,0,0,0,0,1,0,30,4,25,17,0,1,0
3,1,1782800479,0,1,0,0,2,1,30,0,18,24,0,1,1
3,2,3594224546,0,2,0,0,3,0,30,4,19,23,0,2,1
3,3,3747388900,0,3,0,0,0,1,30,5,16,26,0,2,2
3,4,3411329319,0,0,0,0,1,0,30,4,24,18,0,3,2
3,5,927786090,0,1,0,0,2,1,30,6,38,4,1,4,2
3,6,4033754942,0,2,0,0,3,0,30,6,31,11,0,5,2
3,7,2892374511,0,3,0,0,0,1,30,4,40,2,1,6,2
3,8,3850859715,0,0,0,0,1,0,30,0,40,2,0,7,2
4,0,179957724,0,0,0,0,1,0,30,3,40,2,0,1,0
4,1,3285926576,0,1,0,0,2,1,30,5,18,24,0,1,1
4,2,2949866995,0,2,0,0,3,0,30,4,3,39,1,1,2
4,3,1760868551,0,3,0,0,0,1,30,5,24,18,0,1,3
4,4,619488120,0,0,0,0,1,0,30,2,29,13,0,2,3
4,5,2430912187,0,1,0,0,2,1,30,4,29,13,0,2,4
4,6,3389397391,0,2,0,0,3,0,30,2,11,31,1,2,5
4,7,905854162,0,3,0,0,0,1,30,4,35,7,1,3,5
4,8,1059018516,0,0,0,0,1,0,30,4,40,2,0,4,5
4,9,2870442583,0,1,0,0,2,1,30,5,20,22,0,4,6
4,10,3828927787,0,2,0,0,3,0,30,1,30,12,0,5,6
4,11,1345384558,0,3,0,0,0,1,30,4,35,7,1,6,6
4,12,204004127,0,0,0,0,1,0,30,4,25,17,0,7,6
5,0,2907824483,0,0,0,0,1,0,30,4,8,34,1,0,1
5,1,1718826039,0,1,0,0,2,1,30,6,20,22,0,0,2
5,2,1382766458,0,2,0,0,3,0,30,5,29,13,0,1,2
5,3,241386027,0,3,0,0,0,1,30,2,14,28,0,1,3
