game_idx,hand_idx,seed,a_team,dealer,redeals,forced,bidder,bidder_is_a,bid_value,decl_id,team_a_pts,team_b_pts,made,marks_a_after,marks_b_after
0,0,1909233376,0,0,0,0,1,0,30,5,22,20,0,1,0
0,1,767852945,0,1,0,0,2,1,30,4,23,19,0,1,1
0,2,431793364,0,2,0,0,3,0,30,6,42,0,0,2,1
0,3,3537762216,0,3,0,0,0,1,30,4,7,35,0,2,2
0,4,3201702635,0,0,0,0,1,0,30,5,40,2,0,3,2
0,5,1207383341,0,1,0,0,2,1,30,0,36,6,1,4,2
0,6,871323760,0,2,0,0,3,0,30,4,14,28,0,5,2
0,7,3977292612,0,3,0,0,0,1,30,5,41,1,1,6,2
0,8,3641233031,0,0,0,0,1,0,30,5,18,24,0,7,2
1,0,3412359473,0,0,0,0,1,0,30,5,7,35,1,0,1
1,1,3076299892,0,1,0,0,2,1,30,1,31,11,1,1,1
1,2,3983064222,0,2,0,0,3,0,30,5,35,7,0,2,1
1,3,745921017,0,3,0,0,0,1,30,5,18,24,0,2,2
1,4,409861436,0,0,0,0,1,0,30,4,24,18,0,3,2
1,5,3515830288,0,1,0,0,2,1,30,0,36,6,1,4,2
1,6,3179770707,0,2,0,0,3,0,30,5,12,30,1,4,3
1,7,1185451413,0,3,0,0,0,1,30,5,31,11,1,5,3
1,8,849391832,0,0,0,0,1,0,30,3,23,19,0,6,3
1,9,2660815899,0,1,0,0,2,1,30,4,30,12,1,7,3
2,0,2668663035,0,0,0,0,1,0,30,5,36,6,0,1,0
2,1,2332603454,0,1,0,0,2,1,30,2,41,1,1,2,0
2,2,1143605010,0,2,0,0,3,0,30,5,29,13,0,3,0
2,3,807545429,0,3,0,0,0,1,30,4,31,11,1,4,0
2,4,3961132294,0,0,0,0,1,0,30,1,22,20,0,5,0
2,5,2772133850,0,1,0,0,2,1,30,5,30,12,1,6,0
2,6,2436074269,0,2,0,0,3,0,30,2,23,19,0,7,0
3,0,1954501361,0,0,0,0,1,0,30,5,30,12,0,1,0
3,1,864841804,0,1,0,0,2,1,30,4,39,3,1,2,0
3,2,2676265871,0,2,0,0,3,0,30,5,16,26,0,3,0
3,3,582607690,0,3,0,0,0,1,30,5,30,12,1,4,0
3,4,2394031757,0,0,0,0,1,0,30,6,18,24,0,5,0
3,5,1304372200,0,1,0,0,2,1,30,4,13,29,0,5,1
3,6,3115796267,0,2,0,0,3,0,30,4,30,12,0,6,1
3,7,4022560597,0,3,0,0,0,1,30,5,12,30,0,6,2
3,8,2833562153,0,0,0,0,1,0,30,4,40,2,0,7,2
4,0,1041043983,0,0,0,0,1,0,30,5,42,0,0,1,0
4,1,2852468050,0,1,0,0,2,1,30,5,35,7,1,2,0
4,2,3810953254,0,2,0,0,3,0,30,5,21,21,0,3,0
4,3,522089175,0,3,0,0,0,1,30,0,25,17,0,3,1
4,4,186029594,0,0,0,0,1,0,30,4,13,29,0,4,1
4,5,3291998446,0,1,0,0,2,1,30,5,29,13,0,4,2
4,6,2955938865,0,2,0,0,3,0,30,4,24,18,0,5,2
4,7,3109103219,0,3,0,0,0,1,30,2,31,11,1,6,2
4,8,625559990,0,0,0,0,1,0,30,2,39,3,0,7,2
5,0,3768910742,0,0,0,0,1,0,30,5,11,31,1,0,1
5,1,3432851161,0,1,0,0,2,1,30,3,41,1,1,1,1
5,2,2291470730,0,2,0,0,3,0,30,4,40,2,0,2,1
5,3,1102472286,0,3,0,0,0,1,30,4,30,12,1,3,1
5,4,766412705,0,0,0,0,1,0,30,3,16,26,0,4,1
5,5,3872381557,0,1,0,0,2,1,30,4,26,16,0,4,2
5,6,2731001126,0,2,0,0,3,0,30,5,25,17,0,5,2
5,7,1542002682,0,3,0,0,0,1,30,5,28,14,0,5,3
5,8,1205943101,0,0,0,0,1,0,30,5,20,22,0,6,3
5,9,3017367168,0,1,0,0,2,1,30,0,25,17,0,6,4
5,10,3170531522,0,2,0,0,3,0,30,5,30,12,0,7,4
6,0,977069543,0,0,0,0,1,0,30,5,24,18,0,1,0
6,1,641009962,0,1,0,0,2,1,30,4,25,17,0,1,1
6,2,304950381,0,2,0,0,3,0,30,4,31,11,0,2,1
6,3,3410919233,0,3,0,0,0,1,30,5,29,13,0,2,2
6,4,2269538802,0,0,0,0,1,0,30,2,30,12,0,3,2
6,5,1080540358,0,1,0,0,2,1,30,1,42,0,1,4,2
6,6,744480777,0,2,0,0,3,0,30,6,23,19,0,5,2
6,7,3850449629,0,3,0,0,0,1,30,4,34,8,1,6,2
6,8,2709069198,0,0,0,0,1,0,30,0,40,2,0,7,2
7,0,262907869,0,0,0,0,1,0,30,5,30,12,0,1,0
7,1,3368876721,0,1,0,0,2,1,30,2,12,30,0,1,1
7,2,2227496290,0,2,0,0,3,0,30,5,24,18,0,2,1
7,3,3185981494,0,3,0,0,0,1,30,4,35,7,1,3,1
7,4,702438265,0,0,0,0,1,0,30,4,24,18,0,4,1
7,5,3808407117,0,1,0,0,2,1,30,4,23,19,0,4,2
7,6,3472347536,0,2,0,0,3,0,30,5,7,35,1,4,3
7,7,2330967105,0,3,0,0,0,1,30,5,41,1,1,5,3
7,8,1141968661,0,0,0,0,1,0,30,5,24,18,0,6,3
7,9,805909080,0,1,0,0,2,1,30,4,1,41,0,6,4
7,10,3911877932,0,2,0,0,3,0,30,5,34,8,0,7,4
8,0,3644417787,0,0,0,0,1,0,30,5,25,17,0,1,0
8,1,3209019319,0,1,0,0,2,1,30,4,41,1,1,2,0
8,2,4266843410,0,2,0,0,3,0,30,4,1,41,1,2,1
8,3,878640444,0,3,0,0,0,1,30,4,21,21,0,2,2
8,4,542580863,0,0,0,0,1,0,30,5,35,7,0,3,2
8,5,1600404954,0,1,0,0,2,1,30,4,18,24,0,3,3
8,6,3312490134,0,2,0,0,3,0,30,4,39,3,0,4,3
8,7,1318170840,0,3,0,0,0,1,30,5,21,21,0,4,4
8,8,982111259,0,0,0,0,1,0,30,4,34,8,0,5,4
8,9,2039935350,0,1,0,0,2,1,30,5,36,6,1,6,4
8,10,1703875769,0,2,0,0,3,0,30,4,40,2,0,7,4
9,0,2900721349,0,0,0,0,1,0,30,4,25,17,0,1,0
9,1,417178120,0,1,0,0,2,1,30,3,42,0,1,2,0
9,2,1375663324,0,2,0,0,3,0,30,0,41,1,0,3,0
9,3,3187087391,0,3,0,0,0,1,30,4,29,13,0,3,1
9,4,2045706960,0,0,0,0,1,0,30,6,24,18,0,4,1
9,5,856708516,0,1,0,0,2,1,30,5,41,1,1,5,1
9,6,520648935,0,2,0,0,3,0,30,5,30,12,0,6,1
9,7,3626617787,0,3,0,0,0,1,30,6,17,25,0,6,2
9,8,3290558206,0,0,0,0,1,0,30,5,35,7,0,7,2
10,0,1333620812,0,0,0,0,1,0,30,2,11,31,1,0,1
10,1,997561231,0,1,0,0,2,1,30,4,29,13,0,0,2
10,2,2808985298,0,2,0,0,3,0,30,2,16,26,0,1,2
10,3,2962149652,0,3,0,0,0,1,30,5,31,11,1,2,2
10,4,2626090071,0,0,0,0,1,0,30,5,29,13,0,3,2
10,5,1437091627,0,1,0,0,2,1,30,1,42,0,1,4,2
10,6,1101032046,0,2,0,0,3,0,30,1,41,1,0,5,2
10,7,3401680048,0,3,0,0,0,1,30,5,2,40,0,5,3
10,8,3065620467,0,0,0,0,1,0,30,4,28,14,0,6,3
10,9,582077238,0,1,0,0,2,1,30,4,35,7,1,7,3
11,0,3642067759,0,0,0,0,1,0,30,6,23,19,0,1,0
11,1,2500687328,0,1,0,0,2,1,30,6,31,11,1,2,0
11,2,2164627747,0,2,0,0,3,0,30,4,31,11,0,3,0
11,3,975629303,0,3,0,0,0,1,30,5,29,13,0,3,1
11,4,639569722,0,0,0,0,1,0,30,5,23,19,0,4,1
11,5,2940217724,0,1,0,0,2,1,30,6,15,27,0,4,2
11,6,2604158143,0,2,0,0,3,0,30,5,41,1,0,5,2
11,7,1415159699,0,3,0,0,0,1,30,2,36,6,1,6,2
11,8,1079100118,0,0,0,0,1,0,30,4,12,30,1,6,3
11,9,2085203335,0,1,0,0,2,1,30,4,25,17,0,6,4
11,10,3043688539,0,2,0,0,3,0,30,5,34,8,0,7,4
12,0,2122585235,0,0,0,0,1,0,30,4,23,19,0,1,0
12,1,933586791,0,1,0,0,2,1,30,5,31,11,1,2,0
12,2,597527210,0,2,0,0,3,0,30,3,0,42,1,2,1
12,3,3703496062,0,3,0,0,0,1,30,5,24,18,0,2,2
12,4,2562115631,0,0,0,0,1,0,30,4,29,13,0,3,2
12,5,1373117187,0,1,0,0,2,1,30,4,17,25,0,3,3
12,6,1037057606,0,2,0,0,3,0,30,5,29,13,0,4,3
12,7,700998025,0,3,0,0,0,1,30,1,30,12,1,5,3
12,8,3001646027,0,0,0,0,1,0,30,2,33,9,0,6,3
12,9,2665586446,0,1,0,0,2,1,30,4,8,34,0,6,4
12,10,1476588002,0,2,0,0,3,0,30,4,41,1,0,7,4
13,0,1209127857,0,0,0,0,1,0,30,6,35,7,0,1,0
13,1,773729389,0,1,0,0,2,1,30,5,25,17,0,1,1
13,2,3979037128,0,2,0,0,3,0,30,0,27,15,0,2,1
13,3,1495493899,0,3,0,0,0,1,30,4,30,12,1,3,1
13,4,2402258229,0,0,0,0,1,0,30,5,31,11,0,4,1
13,5,3460082320,0,1,0,0,2,1,30,4,9,33,0,4,2
13,6,877200204,0,2,0,0,3,0,30,6,30,12,0,5,2
13,7,1935024295,0,3,0,0,0,1,30,5,42,0,1,6,2
13,8,2841788625,0,0,0,0,1,0,30,4,23,19,0,7,2
14,0,3936994616,0,0,0,0,1,0,30,5,18,24,0,1,0
14,1,3600935035,0,1,0,0,2,1,30,4,41,1,1,2,0
14,2,1117391806,0,2,0,0,3,0,30,4,34,8,0,3,0
14,3,1270556160,0,3,0,0,0,1,30,2,41,1,1,4,0
14,4,934496579,0,0,0,0,1,0,30,4,23,19,0,5,0
14,5,4040465431,0,1,0,0,2,1,30,5,31,11,1,6,0
14,6,1556922202,0,2,0,0,3,0,30,4,25,17,0,7,0
15,0,3193298178,0,0,0,0,1,0,30,4,23,19,0,1,0
15,1,2857238597,0,1,0,0,2,1,30,4,34,8,1,2,0
15,2,373695368,0,2,0,0,3,0,30,4,40,2,0,3,0
15,3,1332180572,0,3,0,0,0,1,30,5,19,23,0,3,1
15,4,190800141,0,0,0,0,1,0,30,4,6,36,1,3,2
15,5,3296768993,0,1,0,0,2,1,30,5,25,17,0,3,3
15,6,2960709412,0,2,0,0,3,0,30,4,19,23,0,4,3
15,7,4018533503,0,3,0,0,0,1,30,4,41,1,1,5,3
15,8,3583135035,0,0,0,0,1,0,30,4,40,2,0,6,3
15,9,2441754604,0,1,0,0,2,1,30,4,29,13,0,6,4
15,10,3400239808,0,2,0,0,3,0,30,4,40,2,0,7,4
16,0,1206777829,0,0,0,0,1,0,30,5,24,18,0,1,0
16,1,870718248,0,1,0,0,2,1,30,4,34,8,1,2,0
16,2,4024305113,0,2,0,0,3,0,30,5,42,0,0,3,0
16,3,2835306669,0,3,0,0,0,1,30,5,26,16,0,3,1
16,4,2499247088,0,0,0,0,1,0,30,0,41,1,0,4,1
16,5,1310248644,0,1,0,0,2,1,30,5,17,25,0,4,2
16,6,168868213,0,2,0,0,3,0,30,2,40,2,0,5,2
16,7,3274837065,0,3,0,0,0,1,30,4,20,22,0,5,3
16,8,2938777484,0,0,0,0,1,0,30,5,8,34,1,5,4
16,9,455234255,0,1,0,0,2,1,30,3,42,0,1,6,4
16,10,608398609,0,2,0,0,3,0,30,2,25,17,0,7,4
17,0,3713162774,0,0,0,0,1,0,30,5,40,2,0,1,0
17,1,3377103193,0,1,0,0,2,1,30,4,19,23,0,1,1
17,2,2188104749,0,2,0,0,3,0,30,4,42,0,0,2,1
17,3,1852045168,0,3,0,0,0,1,30,5,19,23,0,2,2
17,4,710664737,0,0,0,0,1,0,30,0,6,36,1,2,3
17,5,3816633589,0,1,0,0,2,1,30,4,19,23,0,2,4
17,6,3480574008,0,2,0,0,3,0,30,6,29,13,0,3,4
17,7,2291575564,0,3,0,0,0,1,30,4,35,7,1,4,4
17,8,1150195133,0,0,0,0,1,0,30,4,36,6,0,5,4
17,9,814135552,0,1,0,0,2,1,30,4,9,33,0,5,5
17,10,3920104404,0,2,0,0,3,0,30,5,26,16,0,6,5
17,11,3584044823,0,3,0,0,0,1,30,6,41,1,1,7,5
18,0,1726642425,0,0,0,0,1,0,30,4,42,0,0,1,0
18,1,2633406755,0,1,0,0,2,1,30,4,29,13,0,1,1
18,2,1543747198,0,2,0,0,3,0,30,4,30,12,0,2,1
18,3,3355171265,0,3,0,0,0,1,30,0,9,33,0,2,2
18,4,3019111684,0,0,0,0,1,0,30,0,35,7,0,3,2
18,5,1024792390,0,1,0,0,2,1,30,6,30,12,1,4,2
18,6,2736877570,0,2,0,0,3,0,30,5,29,13,0,5,2
18,7,3794701661,0,3,0,0,0,1,30,6,24,18,0,5,3
18,8,3458642080,0,0,0,0,1,0,30,4,41,1,0,6,3
18,9,2269643636,0,1,0,0,2,1,30,5,30,12,1,7,3
19,0,1501704686,0,0,0,0,1,0,30,4,14,28,0,1,0
19,1,1165645105,0,1,0,0,2,1,30,0,41,1,1,2,0
19,2,2977069172,0,2,0,0,3,0,30,5,32,10,0,3,0
19,3,3935554376,0,3,0,0,0,1,30,0,40,2,1,4,0
19,4,2794173945,0,0,0,0,1,0,30,4,24,18,0,5,0
19,5,1605175501,0,1,0,0,2,1,30,5,26,16,0,5,1
19,6,3416599568,0,2,0,0,3,0,30,4,29,13,0,6,1
19,7,3080539987,0,3,0,0,0,1,30,6,19,23,0,6,2
19,8,3233704341,0,0,0,0,1,0,30,4,41,1,0,7,2
20,0,3810151633,0,0,0,0,1,0,30,1,29,13,0,1,0
20,1,3474092052,0,1,0,0,2,1,30,4,35,7,1,2,0
20,2,85889086,0,2,0,0,3,0,30,4,9,33,1,2,1
20,3,3191857938,0,3,0,0,0,1,30,0,42,0,1,3,1
20,4,708314709,0,0,0,0,1,0,30,6,31,11,0,4,1
20,5,3913622448,0,1,0,0,2,1,30,6,24,18,0,4,2
20,6,525419482,0,2,0,0,3,0,30,5,26,16,0,5,2
20,7,1583243573,0,3,0,0,0,1,30,5,12,30,0,5,3
20,8,1147845105,0,0,0,0,1,0,30,5,40,2,0,6,3
20,9,811785524,0,1,0,0,2,1,30,3,34,8,1,7,3
21,0,3650294231,0,0,0,0,1,0,30,2,32,10,0,1,0
21,1,1166751002,0,1,0,0,2,1,30,4,19,23,0,1,1
21,2,1319915356,0,2,0,0,3,0,30,4,40,2,0,2,1
21,3,983855775,0,3,0,0,0,1,30,3,24,18,0,2,2
21,4,4089824627,0,0,0,0,1,0,30,4,34,8,0,3,2
21,5,3753765046,0,1,0,0,2,1,30,6,35,7,1,4,2
21,6,464900967,0,2,0,0,3,0,30,6,28,14,0,5,2
21,7,1423386171,0,3,0,0,0,1,30,5,19,23,0,5,3
21,8,3234810238,0,0,0,0,1,0,30,3,41,1,0,6,3
21,9,4193295442,0,1,0,0,2,1,30,4,30,12,1,7,3
22,0,2083193694,0,0,0,0,1,0,30,4,17,25,0,1,0
22,1,941813263,0,1,0,0,2,1,30,2,41,1,1,2,0
22,2,4047782115,0,2,0,0,3,0,30,6,34,8,0,3,0
22,3,3711722534,0,3,0,0,0,1,30,6,42,0,1,4,0
22,4,3375662953,0,0,0,0,1,0,30,0,13,29,0,5,0
22,5,1381343659,0,1,0,0,2,1,30,5,9,33,0,5,1
22,6,1045284078,0,2,0,0,3,0,30,5,40,2,0,6,1
22,7,4151252930,0,3,0,0,0,1,30,4,34,8,1,7,1
23,0,3586319791,0,0,0,0,1,0,30,4,34,8,0,1,0
23,1,3250260210,0,1,0,0,2,1,30,5,36,6,1,2,0
23,2,3403424564,0,2,0,0,3,0,30,5,35,7,0,3,0
23,3,919881335,0,3,0,0,0,1,30,2,36,6,1,4,0
23,4,583821754,0,0,0,0,1,0,30,4,41,1,0,5,0
23,5,3689790606,0,1,0,0,2,1,30,4,35,7,1,6,0
23,6,3353731025,0,2,0,0,3,0,30,5,25,17,0,7,0
24,0,4166702902,0,0,0,0,1,0,30,2,6,36,1,0,1
24,1,3025322471,0,1,0,0,2,1,30,6,25,17,0,0,2
24,2,541779242,0,2,0,0,3,0,30,6,0,42,1,0,3
24,3,1500264446,0,3,0,0,0,1,30,4,42,0,1,1,3
24,4,3311688513,0,0,0,0,1,0,30,5,23,19,0,2,3
24,5,3464852867,0,1,0,0,2,1,30,5,42,0,1,3,3
24,6,981309638,0,2,0,0,3,0,30,4,19,23,0,4,3
24,7,645250057,0,3,0,0,0,1,30,6,24,18,0,4,4
24,8,3751218909,0,0,0,0,1,0,30,4,40,2,0,5,4
24,9,3415159328,0,1,0,0,2,1,30,4,30,12,1,6,4
24,10,3568323682,0,2,0,0,3,0,30,1,0,42,1,6,5
24,11,1084780453,0,3,0,0,0,1,30,5,35,7,1,7,5
25,0,1958700739,0,0,0,0,1,0,30,5,18,24,0,1,0
25,1,1523302271,0,1,0,0,2,1,30,4,41,1,1,2,0
25,2,1676466625,0,2,0,0,3,0,30,1,31,11,0,3,0
25,3,3487890692,0,3,0,0,0,1,30,2,25,17,0,3,1
25,4,3151831111,0,0,0,0,1,0,30,3,18,24,0,4,1
25,5,4209655202,0,1,0,0,2,1,30,4,40,2,1,5,1
25,6,821452236,0,2,0,0,3,0,30,4,40,2,0,6,1
25,7,1779937440,0,3,0,0,0,1,30,5,25,17,0,6,2
25,8,3591361507,0,0,0,0,1,0,30,4,19,23,0,7,2
26,0,391600202,0,0,0,0,1,0,30,5,22,20,0,1,0
26,1,3545187067,0,1,0,0,2,1,30,5,8,34,0,1,1
26,2,3209127486,0,2,0,0,3,0,30,2,23,19,0,2,1
26,3,2020129042,0,3,0,0,0,1,30,4,39,3,1,3,1
26,4,1684069461,0,0,0,0,1,0,30,4,26,16,0,4,1
26,5,3984717463,0,1,0,0,2,1,30,3,41,1,1,5,1
26,6,3648657882,0,2,0,0,3,0,30,5,36,6,0,6,1
26,7,2459659438,0,3,0,0,0,1,30,4,3,39,0,6,2
26,8,2123599857,0,0,0,0,1,0,30,3,17,25,0,7,2
27,0,3942871060,0,0,0,0,1,0,30,5,29,13,0,1,0
27,1,3606811479,0,1,0,0,2,1,30,5,31,11,1,2,0
