game_idx,a_team,n_hands,marks_a,marks_b,a_won
0,0,13,6,7,0
1,0,7,7,0,1
2,0,9,7,2,1
3,0,10,7,3,1
4,0,11,7,4,1
5,0,7,7,0,1
6,0,12,7,5,1
7,0,11,7,4,1
8,0,12,7,5,1
9,0,8,7,1,1
10,0,12,7,5,1
11,0,8,7,1,1
12,0,7,7,0,1
13,0,10,7,3,1
14,0,10,7,3,1
15,0,11,7,4,1
16,0,13,6,7,0
17,0,13,6,7,0
18,0,11,7,4,1
19,0,12,5,7,0
20,0,10,7,3,1
21,0,10,7,3,1
22,0,9,7,2,1
23,0,13,7,6,1
24,0,10,7,3,1
25,0,7,7,0,1
26,0,13,7,6,1
27,0,10,3,7,0
28,0,10,7,3,1
29,0,11,7,4,1
30,0,10,7,3,1
31,0,8,7,1,1
32,0,11,7,4,1
33,0,10,7,3,1
34,0,10,7,3,1
35,0,12,7,5,1
36,0,9,7,2,1
37,0,9,7,2,1
38,0,12,5,7,0
39,0,9,7,2,1
40,0,11,7,4,1
41,0,12,7,5,1
42,0,12,7,5,1
43,0,9,7,2,1
44,0,10,7,3,1
45,0,9,7,2,1
46,0,12,7,5,1
47,0,13,7,6,1
48,0,10,7,3,1
49,0,8,7,1,1
50,0,12,5,7,0
51,0,11,4,7,0
52,0,12,5,7,0
53,0,9,7,2,1
54,0,9,7,2,1
55,0,11,7,4,1
56,0,11,7,4,1
57,0,13,7,6,1
58,0,10,7,3,1
59,0,8,7,1,1
60,0,8,7,1,1
61,0,10,7,3,1
62,0,8,7,1,1
63,0,9,7,2,1
64,0,9,7,2,1
65,0,10,7,3,1
66,0,10,7,3,1
67,0,10,7,3,1
68,0,8,7,1,1
69,0,12,7,5,1
70,0,9,7,2,1
71,0,13,7,6,1
72,0,9,7,2,1
73,0,9,7,2,1
74,0,8,7,1,1
75,0,10,7,3,1
76,0,10,7,3,1
77,0,12,7,5,1
78,0,10,7,3,1
79,0,9,7,2,1
80,0,11,7,4,1
81,0,13,7,6,1
82,0,9,7,2,1
83,0,9,7,2,1
84,0,11,7,4,1
85,0,11,7,4,1
86,0,12,7,5,1
87,0,10,7,3,1
88,0,9,7,2,1
89,0,11,7,4,1
90,0,10,7,3,1
91,0,12,7,5,1
92,0,8,7,1,1
93,0,10,7,3,1
94,0,12,5,7,0
95,0,7,7,0,1
96,0,11,7,4,1
97,0,13,7,6,1
98,0,12,7,5,1
99,0,11,7,4,1
100,0,8,7,1,1
101,0,9,7,2,1
102,0,12,5,7,0
103,0,13,7,6,1
104,0,8,7,1,1
105,0,11,7,4,1
106,0,12,7,5,1
107,0,9,7,2,1
108,0,9,7,2,1
109,0,7,7,0,1
110,0,9,7,2,1
111,0,12,7,5,1
112,0,9,7,2,1
113,0,9,7,2,1
114,0,8,7,1,1
115,0,10,7,3,1
116,0,10,7,3,1
117,0,12,7,5,1
118,0,7,7,0,1
119,0,10,7,3,1
120,0,9,7,2,1
121,0,8,7,1,1
122,0,11,7,4,1
123,0,9,7,2,1
124,0,11,7,4,1
125,0,9,7,2,1
126,0,13,7,6,1
127,0,11,7,4,1
0,1,9,7,2,1
1,1,9,7,2,1
2,1,13,7,6,1
3,1,9,7,2,1
4,1,10,7,3,1
5,1,10,7,3,1
6,1,13,7,6,1
7,1,10,7,3,1
8,1,9,7,2,1
9,1,10,3,7,0
10,1,12,7,5,1
11,1,12,7,5,1
12,1,11,7,4,1
13,1,11,7,4,1
14,1,9,7,2,1
15,1,8,7,1,1
16,1,10,7,3,1
17,1,9,7,2,1
18,1,13,6,7,0
19,1,11,7,4,1
20,1,10,7,3,1
21,1,9,7,2,1
22,1,12,7,5,1
23,1,10,7,3,1
24,1,11,7,4,1
25,1,10,7,3,1
26,1,7,7,0,1
27,1,9,7,2,1
28,1,8,7,1,1
29,1,7,7,0,1
30,1,9,7,2,1
31,1,11,7,4,1
32,1,11,7,4,1
33,1,13,6,7,0
34,1,13,6,7,0
35,1,9,7,2,1
36,1,9,7,2,1
37,1,12,7,5,1
38,1,7,7,0,1
39,1,8,7,1,1
40,1,9,7,2,1
41,1,12,7,5,1
42,1,9,7,2,1
43,1,13,7,6,1
44,1,10,7,3,1
45,1,9,7,2,1
46,1,10,7,3,1
