game_idx,hand_idx,seed,a_team,dealer,redeals,forced,bidder,bidder_is_a,bid_value,decl_id,team_a_pts,team_b_pts,made,marks_a_after,marks_b_after
0,0,3653443310,0,0,0,0,0,1,30,2,42,0,1,1,0
0,1,316961218,0,1,0,0,3,0,30,0,1,41,1,1,1
0,2,3470548083,0,2,0,0,3,0,30,6,6,36,1,1,2
0,3,2281549639,0,3,0,0,3,0,32,3,0,42,1,1,3
0,4,3613028188,0,1,1,0,0,1,31,5,25,17,0,1,4
0,5,756491614,0,2,0,0,2,1,30,5,18,24,0,1,5
0,6,1282649313,0,0,1,0,0,1,31,6,36,6,1,2,5
0,7,946589732,0,2,1,0,3,0,30,5,24,18,0,3,5
0,8,2385020454,0,3,0,0,3,0,30,6,0,42,1,3,6
0,9,4196444521,0,0,0,0,0,1,30,5,22,20,0,3,7
1,0,4204291657,0,0,0,0,2,1,30,1,29,13,0,0,1
1,1,3868232076,0,1,0,0,0,1,30,4,41,1,1,1,1
1,2,3532172495,0,2,0,0,1,0,31,5,25,17,0,2,1
1,3,295029290,0,3,0,0,3,0,31,5,18,24,0,3,1
1,4,1201793620,0,0,0,0,0,1,31,5,30,12,0,3,2
1,5,12795176,0,1,0,0,1,0,30,2,2,40,1,3,3
1,6,3971702891,0,2,0,0,0,1,30,5,30,12,1,4,3
1,7,1488159662,0,3,0,0,1,0,31,4,21,21,0,5,3
1,8,1260717385,0,1,1,0,3,0,31,4,6,36,1,5,4
1,9,3452748083,0,2,0,0,1,0,31,1,17,25,0,6,4
1,10,116265991,0,3,0,0,3,0,30,4,0,42,1,6,5
1,11,1927690058,0,0,0,0,1,0,30,6,11,31,1,6,6
1,12,2080854412,0,1,0,0,1,0,31,6,14,28,0,7,6
2,0,1172885395,0,0,0,0,1,0,30,2,11,31,1,0,1
2,1,2079649725,0,1,0,0,3,0,30,5,11,31,1,0,2
2,2,1743590144,0,2,0,0,1,0,31,4,24,18,0,1,2
2,3,2801414235,0,3,0,0,0,1,30,2,40,2,1,2,2
2,4,2465354654,0,0,0,0,1,0,30,2,0,42,1,2,3
2,5,1276356210,0,1,0,0,3,0,31,6,33,9,0,3,3
2,6,2183120540,0,2,0,0,3,0,30,4,18,24,0,4,3
2,7,3240944631,0,3,0,0,0,1,30,0,19,23,0,4,4
2,8,2904885050,0,0,0,0,1,0,30,4,21,21,0,5,4
