game_idx,a_team,n_hands,marks_a,marks_b,a_won
0,0,12,5,7,0
1,0,12,5,7,0
2,0,7,7,0,1
3,0,10,7,3,1
4,0,12,5,7,0
5,0,12,7,5,1
6,0,12,5,7,0
7,0,11,4,7,0
8,0,9,2,7,0
9,0,11,7,4,1
10,0,10,3,7,0
11,0,8,7,1,1
12,0,9,7,2,1
13,0,12,5,7,0
14,0,12,7,5,1
15,0,10,3,7,0
16,0,11,4,7,0
17,0,11,4,7,0
18,0,13,6,7,0
19,0,11,4,7,0
20,0,10,7,3,1
21,0,13,7,6,1
22,0,12,5,7,0
23,0,13,6,7,0
24,0,12,5,7,0
25,0,13,6,7,0
26,0,10,3,7,0
27,0,9,2,7,0
28,0,12,5,7,0
29,0,11,4,7,0
30,0,13,7,6,1
31,0,12,5,7,0
32,0,13,7,6,1
33,0,10,7,3,1
34,0,11,7,4,1
35,0,11,4,7,0
36,0,10,7,3,1
37,0,7,7,0,1
38,0,8,1,7,0
39,0,12,5,7,0
40,0,12,5,7,0
41,0,13,7,6,1
42,0,10,3,7,0
43,0,11,4,7,0
44,0,12,5,7,0
45,0,12,5,7,0
46,0,9,2,7,0
47,0,12,5,7,0
48,0,11,7,4,1
49,0,11,4,7,0
50,0,10,3,7,0
51,0,8,1,7,0
52,0,13,7,6,1
53,0,10,3,7,0
54,0,13,7,6,1
55,0,13,7,6,1
56,0,11,7,4,1
57,0,11,4,7,0
58,0,12,7,5,1
59,0,12,5,7,0
60,0,9,7,2,1
61,0,11,7,4,1
62,0,9,7,2,1
63,0,12,7,5,1
64,0,13,7,6,1
65,0,13,7,6,1
66,0,10,3,7,0
67,0,11,7,4,1
68,0,10,7,3,1
69,0,9,2,7,0
70,0,12,5,7,0
71,0,9,2,7,0
72,0,11,7,4,1
73,0,13,7,6,1
74,0,13,7,6,1
75,0,13,7,6,1
76,0,11,7,4,1
77,0,10,3,7,0
78,0,11,7,4,1
79,0,8,7,1,1
80,0,13,7,6,1
81,0,12,7,5,1
82,0,12,7,5,1
83,0,12,7,5,1
84,0,13,6,7,0
85,0,13,6,7,0
86,0,9,2,7,0
87,0,13,7,6,1
88,0,12,5,7,0
89,0,10,3,7,0
90,0,13,7,6,1
91,0,12,7,5,1
92,0,9,7,2,1
93,0,9,2,7,0
94,0,13,7,6,1
95,0,9,7,2,1
96,0,12,5,7,0
97,0,9,2,7,0
98,0,10,3,7,0
99,0,12,7,5,1
100,0,13,6,7,0
101,0,12,5,7,0
102,0,11,4,7,0
103,0,11,7,4,1
104,0,8,7,1,1
105,0,12,5,7,0
106,0,13,7,6,1
107,0,8,7,1,1
108,0,11,7,4,1
109,0,11,7,4,1
110,0,11,7,4,1
111,0,12,7,5,1
112,0,9,7,2,1
113,0,12,5,7,0
114,0,11,7,4,1
115,0,10,7,3,1
116,0,10,3,7,0
117,0,13,7,6,1
118,0,11,7,4,1
119,0,11,7,4,1
120,0,10,3,7,0
121,0,13,7,6,1
122,0,11,7,4,1
123,0,8,7,1,1
124,0,11,4,7,0
125,0,13,6,7,0
126,0,12,5,7,0
127,0,11,7,4,1
128,0,7,0,7,0
129,0,8,1,7,0
130,0,10,3,7,0
131,0,10,3,7,0
132,0,8,7,1,1
133,0,12,7,5,1
134,0,10,7,3,1
135,0,12,7,5,1
136,0,13,7,6,1
137,0,11,4,7,0
138,0,13,7,6,1
139,0,11,7,4,1
140,0,13,7,6,1
141,0,9,2,7,0
142,0,12,5,7,0
143,0,11,7,4,1
144,0,12,7,5,1
145,0,9,7,2,1
146,0,12,5,7,0
147,0,7,7,0,1
148,0,13,7,6,1
149,0,9,2,7,0
150,0,10,7,3,1
151,0,13,7,6,1
152,0,12,5,7,0
153,0,13,7,6,1
154,0,10,3,7,0
155,0,12,7,5,1
156,0,13,7,6,1
157,0,10,3,7,0
158,0,10,3,7,0
159,0,10,7,3,1
160,0,12,5,7,0
161,0,13,6,7,0
162,0,12,5,7,0
163,0,12,5,7,0
164,0,10,7,3,1
165,0,10,7,3,1
166,0,13,6,7,0
167,0,11,4,7,0
168,0,11,7,4,1
169,0,8,1,7,0
170,0,10,3,7,0
171,0,10,7,3,1
172,0,13,7,6,1
173,0,13,7,6,1
174,0,13,7,6,1
175,0,12,7,5,1
176,0,12,7,5,1
177,0,11,7,4,1
178,0,12,5,7,0
179,0,11,7,4,1
180,0,11,7,4,1
181,0,13,7,6,1
182,0,13,7,6,1
183,0,13,7,6,1
184,0,12,5,7,0
185,0,13,7,6,1
186,0,11,7,4,1
187,0,12,5,7,0
188,0,13,6,7,0
189,0,12,5,7,0
190,0,12,7,5,1
191,0,13,7,6,1
192,0,10,7,3,1
193,0,10,7,3,1
194,0,12,5,7,0
195,0,13,6,7,0
196,0,9,7,2,1
197,0,12,5,7,0
198,0,9,7,2,1
199,0,12,5,7,0
200,0,9,2,7,0
201,0,12,7,5,1
202,0,13,6,7,0
203,0,13,6,7,0
204,0,9,2,7,0
205,0,12,5,7,0
206,0,7,0,7,0
207,0,11,7,4,1
208,0,13,7,6,1
209,0,13,7,6,1
210,0,10,3,7,0
211,0,12,7,5,1
212,0,13,7,6,1
213,0,7,7,0,1
214,0,13,7,6,1
215,0,12,7,5,1
216,0,12,5,7,0
217,0,10,7,3,1
218,0,9,7,2,1
219,0,13,6,7,0
220,0,8,7,1,1
221,0,10,3,7,0
222,0,13,6,7,0
223,0,9,7,2,1
224,0,8,7,1,1
225,0,11,4,7,0
226,0,8,7,1,1
227,0,13,6,7,0
228,0,12,7,5,1
229,0,13,7,6,1
230,0,12,5,7,0
231,0,10,7,3,1
232,0,10,7,3,1
233,0,9,7,2,1
234,0,12,7,5,1
235,0,12,5,7,0
236,0,13,7,6,1
237,0,10,3,7,0
238,0,9,2,7,0
239,0,13,7,6,1
240,0,11,7,4,1
241,0,13,7,6,1
242,0,12,5,7,0
243,0,13,6,7,0
244,0,9,7,2,1
245,0,13,6,7,0
246,0,12,7,5,1
247,0,13,6,7,0
248,0,12,5,7,0
249,0,12,5,7,0
250,0,12,5,7,0
251,0,12,7,5,1
252,0,9,7,2,1
253,0,11,7,4,1
254,0,12,5,7,0
255,0,10,7,3,1
0,1,10,7,3,1
1,1,12,7,5,1
2,1,7,0,7,0
3,1,10,3,7,0
4,1,12,7,5,1
5,1,13,7,6,1
6,1,13,7,6,1
7,1,10,7,3,1
8,1,9,7,2,1
9,1,10,3,7,0
10,1,13,6,7,0
11,1,9,2,7,0
12,1,13,7,6,1
13,1,12,7,5,1
14,1,13,6,7,0
15,1,10,7,3,1
16,1,13,7,6,1
17,1,10,7,3,1
18,1,11,4,7,0
19,1,12,7,5,1
20,1,11,4,7,0
21,1,11,4,7,0
22,1,10,7,3,1
23,1,12,7,5,1
24,1,9,2,7,0
25,1,9,2,7,0
26,1,10,7,3,1
27,1,10,7,3,1
28,1,8,7,1,1
29,1,13,6,7,0
30,1,12,5,7,0
31,1,12,7,5,1
32,1,12,7,5,1
33,1,9,2,7,0
34,1,11,4,7,0
35,1,12,7,5,1
36,1,10,3,7,0
37,1,11,4,7,0
38,1,9,7,2,1
39,1,10,7,3,1
40,1,13,6,7,0
41,1,12,5,7,0
42,1,13,6,7,0
43,1,12,5,7,0
44,1,10,3,7,0
45,1,11,7,4,1
46,1,9,7,2,1
47,1,12,7,5,1
48,1,12,5,7,0
49,1,11,7,4,1
50,1,12,7,5,1
51,1,8,7,1,1
52,1,12,7,5,1
53,1,8,7,1,1
54,1,11,4,7,0
55,1,12,5,7,0
56,1,12,5,7,0
