game_idx,a_team,n_hands,marks_a,marks_b,a_won
0,0,10,7,3,1
1,0,11,4,7,0
2,0,9,2,7,0
3,0,10,7,3,1
4,0,10,3,7,0
5,0,11,7,4,1
6,0,10,3,7,0
7,0,13,6,7,0
8,0,13,6,7,0
9,0,12,5,7,0
10,0,13,7,6,1
11,0,10,3,7,0
12,0,13,7,6,1
13,0,11,4,7,0
14,0,10,3,7,0
15,0,11,7,4,1
16,0,10,7,3,1
17,0,10,7,3,1
18,0,13,7,6,1
19,0,13,6,7,0
20,0,9,7,2,1
21,0,12,7,5,1
22,0,13,7,6,1
23,0,12,5,7,0
24,0,13,6,7,0
25,0,12,5,7,0
26,0,11,7,4,1
27,0,12,7,5,1
28,0,12,7,5,1
29,0,11,4,7,0
30,0,10,7,3,1
31,0,12,5,7,0
32,0,8,7,1,1
33,0,12,7,5,1
34,0,10,3,7,0
35,0,9,2,7,0
36,0,11,4,7,0
37,0,13,7,6,1
38,0,12,7,5,1
39,0,13,7,6,1
40,0,13,6,7,0
41,0,10,3,7,0
42,0,11,4,7,0
43,0,9,7,2,1
44,0,10,3,7,0
45,0,10,7,3,1
46,0,13,6,7,0
47,0,11,7,4,1
48,0,12,5,7,0
49,0,13,7,6,1
50,0,12,5,7,0
51,0,10,7,3,1
52,0,8,7,1,1
53,0,9,2,7,0
54,0,13,7,6,1
55,0,12,5,7,0
56,0,10,3,7,0
57,0,12,7,5,1
58,0,13,7,6,1
59,0,13,6,7,0
60,0,12,7,5,1
61,0,12,5,7,0
62,0,11,4,7,0
63,0,9,7,2,1
0,1,12,5,7,0
1,1,9,7,2,1
2,1,9,7,2,1
3,1,10,3,7,0
4,1,10,3,7,0
5,1,11,4,7,0
6,1,10,7,3,1
7,1,11,4,7,0
8,1,12,5,7,0
9,1,10,7,3,1
10,1,11,7,4,1
11,1,9,7,2,1
12,1,12,5,7,0
13,1,11,4,7,0
14,1,8,7,1,1
15,1,11,4,7,0
16,1,10,3,7,0
17,1,8,1,7,0
18,1,13,6,7,0
19,1,13,6,7,0
20,1,10,3,7,0
21,1,13,7,6,1
22,1,13,6,7,0
23,1,10,3,7,0
24,1,9,2,7,0
25,1,12,7,5,1
26,1,12,5,7,0
27,1,11,4,7,0
28,1,13,7,6,1
29,1,11,7,4,1
30,1,13,7,6,1
31,1,11,7,4,1
32,1,13,6,7,0
33,1,13,7,6,1
34,1,10,7,3,1
35,1,13,7,6,1
36,1,12,7,5,1
37,1,12,5,7,0
38,1,12,7,5,1
39,1,12,5,7,0
40,1,13,7,6,1
41,1,11,7,4,1
42,1,13,6,7,0
43,1,12,7,5,1
44,1,12,7,5,1
45,1,13,6,7,0
46,1,11,4,7,0
47,1,12,5,7,0
48,1,13,6,7,0
49,1,11,7,4,1
50,1,12,7,5,1
51,1,13,6,7,0
52,1,9,2,7,0
53,1,9,7,2,1
54,1,8,7,1,1
55,1,11,4,7,0
56,1,10,7,3,1
57,1,9,7,2,1
58,1,11,7,4,1
59,1,8,1,7,0
60,1,10,3,7,0
61,1,10,3,7,0
62,1,10,3,7,0
63,1,11,4,7,0
