game_idx,hand_idx,seed,a_team,dealer,redeals,forced,bidder,bidder_is_a,bid_value,decl_id,team_a_pts,team_b_pts,made,marks_a_after,marks_b_after
0,0,1277433108,0,0,0,0,0,1,30,2,30,12,1,1,0
0,1,3578081110,0,1,0,0,0,1,30,2,31,11,1,2,0
0,2,995198994,0,2,0,0,2,1,32,6,42,0,1,3,0
0,3,2053023085,0,3,0,0,3,0,30,1,0,42,1,3,1
0,4,1716963504,0,0,0,0,0,1,31,5,42,0,1,4,1
0,5,4017611506,0,1,0,0,2,1,30,5,18,24,0,4,2
0,6,3681551925,0,2,0,0,0,1,30,6,35,7,1,5,2
0,7,1098669809,0,3,0,0,1,0,30,2,3,39,1,5,3
0,8,2156493900,0,0,0,0,3,0,30,5,18,24,0,6,3
0,9,3063258230,0,1,0,0,0,1,30,0,31,11,1,7,3
1,0,264636843,0,0,0,0,0,1,30,5,26,16,0,0,1
1,1,3418223708,0,1,0,0,0,1,30,2,29,13,0,0,2
1,2,81741616,0,2,0,0,1,0,31,1,28,14,0,1,2
1,3,1893165683,0,3,0,0,3,0,31,4,2,40,1,1,3
1,4,1557106102,0,0,0,0,3,0,30,2,19,23,0,2,3
1,5,3857754104,0,1,0,0,2,1,30,5,42,0,1,3,3
1,6,3521694523,0,2,0,0,3,0,30,5,0,42,1,3,4
1,7,2332696079,0,3,0,0,3,0,31,0,11,31,1,3,5
1,8,1616029867,0,1,1,0,1,0,31,3,17,25,0,4,5
1,9,807638054,0,2,0,0,3,0,30,6,0,42,1,4,6
1,10,3961224919,0,3,0,0,1,0,30,0,3,39,1,4,7
2,0,39699104,0,0,0,0,3,0,31,0,11,31,1,0,1
2,1,3618000188,0,2,1,0,2,1,30,9,42,0,1,1,1
2,2,1515063590,0,3,0,0,3,0,30,1,16,26,0,2,1
2,3,2473548794,0,0,0,0,1,0,30,0,6,36,1,2,2
2,4,1332168363,0,1,0,0,2,1,30,1,25,17,0,2,3
2,5,143169919,0,2,0,0,3,0,30,5,11,31,1,2,4
2,6,1954593986,0,3,0,0,2,1,31,1,19,23,0,2,5
2,7,1618534405,0,0,0,0,1,0,30,6,0,42,1,2,6
2,8,1771698759,0,1,0,0,1,0,31,6,0,42,1,2,7
3,0,2348146051,0,0,0,0,0,1,31,5,30,12,0,0,1
3,1,2012086470,0,1,0,0,1,0,31,0,27,15,0,1,1
3,2,3018189687,0,2,0,0,2,1,30,4,30,12,1,2,1
3,3,3976674891,0,3,0,0,1,0,30,5,6,36,1,2,2
3,4,1493131662,0,0,0,0,1,0,30,4,12,30,1,2,3
3,5,2451616866,0,1,0,0,0,1,30,5,31,11,1,3,3
3,6,1310236435,0,2,0,0,2,1,31,5,35,7,1,4,3
3,7,121237991,0,3,0,0,1,0,30,2,17,25,0,5,3
3,8,1932662058,0,0,0,0,3,0,32,5,12,30,0,6,3
3,9,1596602477,0,1,0,0,2,1,30,4,41,1,1,7,3
4,0,828663527,0,0,0,0,2,1,31,5,31,11,1,1,0
4,1,3934632379,0,1,0,0,0,1,31,5,25,17,0,1,1
4,2,3598572798,0,2,0,0,3,0,30,9,12,30,1,1,2
4,3,2409574354,0,3,0,0,3,0,32,4,17,25,0,2,2
4,4,2073514773,0,0,0,0,0,1,30,1,19,23,0,2,3
4,5,932134342,0,1,0,0,2,1,30,5,25,17,0,2,4
4,6,4038103194,0,2,0,0,0,1,31,2,42,0,1,3,4
4,7,3702043613,0,3,0,0,0,1,30,5,29,13,0,3,5
4,8,2513045169,0,0,0,0,2,1,30,2,24,18,0,3,6
4,9,1371664738,0,1,0,0,2,1,30,4,25,17,0,3,7
5,0,3137110474,0,0,0,0,3,0,30,2,8,34,1,0,1
5,1,1948112030,0,1,0,0,1,0,31,2,22,20,0,1,1
5,2,2474269729,0,3,1,0,3,0,31,6,6,36,1,1,2
5,3,3912700451,0,0,0,0,2,1,30,6,35,7,1,2,2
5,4,3576640870,0,1,0,0,0,1,30,2,25,17,0,2,3
5,5,2387642426,0,2,0,0,1,0,30,5,0,42,1,2,4
5,6,1246261995,0,3,0,0,2,1,30,4,41,1,1,3,4
5,7,2958347175,0,0,0,0,0,1,30,5,42,0,1,4,4
5,8,4016171266,0,1,0,0,0,1,31,2,42,0,1,5,4
5,9,3680111685,0,2,0,0,1,0,31,5,17,25,0,6,4
5,10,1685792391,0,3,0,0,2,1,31,1,40,2,1,7,4
6,0,2124314209,0,0,0,0,3,0,31,5,0,42,1,0,1
6,1,1788254628,0,1,0,0,3,0,30,9,11,31,1,0,2
6,2,1941418982,0,2,0,0,2,1,32,2,24,18,0,0,3
6,3,3752843049,0,3,0,0,2,1,30,5,36,6,1,1,3
6,4,3416783468,0,0,0,0,2,1,31,5,42,0,1,2,3
6,5,2227785024,0,1,0,0,1,0,30,5,0,42,1,2,4
6,6,1891725443,0,2,0,0,2,1,31,1,30,12,0,2,5
6,7,4192373445,0,3,0,0,2,1,31,0,36,6,1,3,5
6,8,3856313864,0,0,0,0,3,0,31,5,6,36,1,3,6
6,9,2286708789,0,2,1,0,0,1,30,0,14,28,0,3,7
7,0,656552559,0,0,0,0,3,0,30,5,6,36,1,0,1
7,1,1563316889,0,1,0,0,1,0,31,2,12,30,0,1,1
7,2,846650677,0,3,1,0,3,0,31,4,0,42,1,1,2
7,3,38258864,0,0,0,0,2,1,31,2,13,29,0,1,3
7,4,1849682931,0,1,0,0,3,0,30,3,6,36,1,1,4
7,5,2002847285,0,2,0,0,2,1,30,1,42,0,1,2,4
7,6,3814271352,0,3,0,0,3,0,31,2,0,42,1,2,5
7,7,3478211771,0,0,0,0,3,0,30,4,1,41,1,2,6
7,8,2289213327,0,1,0,0,0,1,31,5,41,1,1,3,6
7,9,1953153746,0,2,0,0,0,1,31,0,36,6,1,4,6
7,10,2106318100,0,3,0,0,2,1,31,4,41,1,1,5,6
7,11,3917742167,0,0,0,0,2,1,30,5,40,2,1,6,6
7,12,2728743723,0,1,0,0,2,1,30,5,25,17,0,6,7
8,0,4207823417,0,0,0,0,0,1,31,5,42,0,1,1,0
8,1,3871763836,0,1,0,0,1,0,30,9,0,42,1,1,1
8,2,1388220607,0,2,0,0,1,0,30,5,6,36,1,1,2
8,3,1541384961,0,3,0,0,2,1,32,3,36,6,1,2,2
8,4,3352809028,0,0,0,0,3,0,31,4,18,24,0,3,2
8,5,16326936,0,1,0,0,2,1,30,0,25,17,0,3,3
8,6,1827751003,0,2,0,0,2,1,32,0,42,0,1,4,3
8,7,1980915357,0,3,0,0,1,0,30,4,8,34,1,4,4
8,8,3792339424,0,0,0,0,0,1,31,1,42,0,1,5,4
8,9,3456279843,0,1,0,0,0,1,31,1,15,27,0,5,5
8,10,2267281399,0,2,0,0,0,1,30,2,35,7,1,6,5
8,11,1125900968,0,3,0,0,3,0,30,5,8,34,1,6,6
8,12,2084386172,0,0,0,0,1,0,30,5,0,42,1,6,7
9,0,3493661743,0,0,0,0,2,1,31,4,25,17,0,0,1
9,1,1444111150,0,3,2,0,2,1,30,2,31,11,1,1,1
9,2,1163282868,0,0,0,0,2,1,30,3,40,2,1,2,1
9,3,4269251720,0,1,0,0,0,1,31,4,39,3,1,3,1
9,4,3933192139,0,2,0,0,1,0,30,1,0,42,1,3,2
9,5,3597132558,0,3,0,0,0,1,30,3,41,1,1,4,2
9,6,1602813264,0,0,0,0,2,1,30,4,19,23,0,4,3
9,7,1266753683,0,1,0,0,1,0,31,0,0,42,1,4,4
9,8,77755239,0,2,0,0,1,0,31,4,1,41,1,4,5
9,9,4036662954,0,3,0,0,3,0,31,1,0,42,1,4,6
9,10,2042343660,0,0,0,0,0,1,30,1,39,3,1,5,6
9,11,1706284079,0,1,0,0,1,0,31,3,0,42,1,5,7
10,0,432720717,0,0,0,0,0,1,31,3,36,6,1,1,0
10,1,96661136,0,1,0,0,3,0,30,5,2,40,1,1,1
10,2,2397309138,0,2,0,0,0,1,30,9,25,17,0,1,2
10,3,2061249557,0,3,0,0,3,0,32,2,7,35,1,1,3
10,4,1725189976,0,0,0,0,2,1,30,1,30,12,1,2,3
10,5,2203729662,0,2,1,0,3,0,30,2,16,26,0,3,3
10,6,1442955862,0,3,0,0,3,0,31,2,13,29,0,4,3
10,7,2500779953,0,0,0,0,1,0,30,3,0,42,1,4,4
10,8,2164720372,0,1,0,0,1,0,31,5,7,35,1,4,5
10,9,3496198921,0,3,1,0,0,1,30,3,31,11,1,5,5
10,10,639662347,0,0,0,0,0,1,31,3,24,18,0,5,6
10,11,1546426677,0,1,0,0,2,1,30,4,41,1,1,6,6
10,12,2604250768,0,2,0,0,0,1,30,4,39,3,1,7,6
11,0,3983991575,0,0,0,0,2,1,30,2,24,18,0,0,1
11,1,3647931994,0,1,0,0,0,1,30,6,24,18,0,0,2
11,2,2458933550,0,2,0,0,1,0,30,5,0,42,1,0,3
11,3,2122873969,0,3,0,0,2,1,31,0,42,0,1,1,3
11,4,981493538,0,0,0,0,0,1,32,2,42,0,1,2,3
11,5,4087462390,0,1,0,0,2,1,30,4,15,27,0,2,4
11,6,3751402809,0,2,0,0,2,1,32,4,35,7,1,3,4
11,7,2562404365,0,3,0,0,2,1,31,1,28,14,0,3,5
11,8,1421023934,0,0,0,0,0,1,30,4,24,18,0,3,6
11,9,232025490,0,1,0,0,2,1,30,1,25,17,0,3,7
12,0,2516229925,0,0,0,0,1,0,30,4,6,36,1,0,1
12,1,2180170344,0,1,0,0,3,0,30,5,11,31,1,0,2
12,2,1744771876,0,2,0,0,3,0,30,6,7,35,1,0,3
12,3,1897936230,0,3,0,0,0,1,30,4,41,1,1,1,3
12,4,3709360297,0,0,0,0,0,1,30,9,20,22,0,1,4
12,5,2619700740,0,1,0,0,1,0,30,4,27,15,0,2,4
12,6,136157511,0,2,0,0,3,0,30,3,28,14,0,3,4
12,7,1042921841,0,3,0,0,3,0,32,2,13,29,0,4,4
12,8,1620800414,0,1,1,0,1,0,31,3,18,24,0,5,4
12,9,3812831112,0,2,0,0,2,1,31,4,35,7,1,6,4
12,10,575687907,0,3,0,0,1,0,31,1,0,42,1,6,5
12,11,1482452237,0,0,0,0,0,1,32,2,31,11,0,6,6
12,12,293453793,0,1,0,0,0,1,31,4,42,0,1,7,6
13,0,1772533487,0,0,0,0,2,1,31,2,31,11,1,1,0
13,1,1436473906,0,1,0,0,2,1,30,0,28,14,0,1,1
13,2,3247897973,0,2,0,0,1,0,31,4,1,41,1,1,2
13,3,3825776546,0,0,1,0,1,0,30,5,13,29,0,2,2
13,4,917519098,0,1,0,0,3,0,30,6,31,11,0,3,2
13,5,1876004302,0,2,0,0,2,1,31,6,36,6,1,4,2
13,6,3687428369,0,3,0,0,3,0,31,1,2,40,1,4,3
13,7,350946277,0,0,0,0,2,1,31,1,19,23,0,4,4
13,8,3504533142,0,1,0,0,3,0,31,5,7,35,1,4,5
13,9,1020989913,0,2,0,0,1,0,30,3,6,36,1,4,6
13,10,4126958765,0,3,0,0,0,1,30,0,25,17,0,4,7
14,0,789271986,0,0,0,0,3,0,31,0,17,25,0,1,0
