game_idx,hand_idx,seed,a_team,dealer,redeals,forced,bidder,bidder_is_a,bid_value,decl_id,team_a_pts,team_b_pts,made,marks_a_after,marks_b_after
0,0,3689494082,0,0,0,0,3,0,31,3,0,42,1,0,1
0,1,1205950853,0,1,0,0,1,0,32,4,1,41,1,0,2
0,2,1359115207,0,2,0,0,1,0,31,2,1,41,1,0,3
0,3,3170539274,0,3,0,0,0,1,30,3,42,0,1,1,3
0,4,2834479693,0,0,0,0,0,1,32,2,40,2,1,2,3
0,5,1645481249,0,1,0,0,1,0,31,6,19,23,0,3,3
0,6,504100818,0,2,0,0,0,1,31,3,41,1,1,4,3
0,7,1462586022,0,3,0,0,1,0,30,9,0,42,1,4,4
0,8,3274010089,0,0,0,0,3,0,32,0,0,42,1,4,5
0,9,2937950508,0,1,0,0,1,0,31,2,1,41,1,4,6
0,10,1748952064,0,2,0,0,1,0,31,4,0,42,1,4,7
1,0,897652883,0,0,0,0,3,0,31,0,12,30,0,1,0
1,1,2709076950,0,1,0,0,1,0,31,4,11,31,1,1,1
1,2,3667562154,0,2,0,0,2,1,32,4,26,16,0,1,2
1,3,1184018925,0,3,0,0,2,1,31,0,25,17,0,1,3
1,4,42638494,0,0,0,0,0,1,32,6,42,0,1,2,3
1,5,1001123698,0,1,0,0,0,1,30,4,41,1,1,3,3
1,6,2812547765,0,2,0,0,2,1,31,9,42,0,1,4,3
1,7,1623549321,0,3,0,0,0,1,30,1,42,0,1,5,3
1,8,482168890,0,0,0,0,0,1,31,6,41,1,1,6,3
1,9,1440654094,0,1,0,0,3,0,30,2,28,14,0,7,3
0,0,3689494082,1,0,0,0,3,1,31,3,42,0,1,1,0
0,1,1205950853,1,1,0,0,1,1,32,4,41,1,1,2,0
0,2,1359115207,1,2,0,0,1,1,31,2,41,1,1,3,0
0,3,3170539274,1,3,0,0,0,0,30,3,0,42,1,3,1
0,4,2834479693,1,0,0,0,0,0,32,2,7,35,1,3,2
0,5,1645481249,1,1,0,0,1,1,31,6,35,7,1,4,2
0,6,504100818,1,2,0,0,0,0,31,3,1,41,1,4,3
0,7,1462586022,1,3,0,0,1,1,30,9,42,0,1,5,3
0,8,3274010089,1,0,0,0,3,1,32,0,42,0,1,6,3
0,9,2937950508,1,1,0,0,1,1,31,2,41,1,1,7,3
1,0,897652883,1,0,0,0,3,1,31,0,24,18,0,0,1
1,1,2709076950,1,1,0,0,1,1,31,4,31,11,1,1,1
1,2,3667562154,1,2,0,0,2,0,32,4,12,30,0,2,1
1,3,1184018925,1,3,0,0,2,0,31,0,13,29,0,3,1
1,4,42638494,1,0,0,0,0,0,32,6,6,36,1,3,2
1,5,1001123698,1,1,0,0,0,0,30,4,1,41,1,3,3
1,6,2812547765,1,2,0,0,2,0,31,9,0,42,1,3,4
1,7,1623549321,1,3,0,0,0,0,30,1,0,42,1,3,5
1,8,482168890,1,0,0,0,0,0,31,6,0,42,1,3,6
1,9,1440654094,1,1,0,0,3,1,30,2,29,13,0,3,7
