game_idx,hand_idx,seed,a_team,dealer,redeals,forced,bidder,bidder_is_a,bid_value,decl_id,team_a_pts,team_b_pts,made,marks_a_after,marks_b_after
0,0,1638003852,0,2,2,0,2,1,32,4,7,35,0,0,1
0,1,3076434574,0,0,1,0,0,1,30,2,42,0,1,1,1
0,2,973497976,0,1,0,0,0,1,30,6,42,0,1,2,1
0,3,1126662330,0,2,0,0,1,0,30,1,17,25,0,3,1
0,4,2938086397,0,3,0,0,3,0,31,6,7,35,1,3,2
0,5,2602026816,0,0,0,0,2,1,31,6,42,0,1,4,2
0,6,1413028372,0,1,0,0,1,0,31,2,24,18,0,5,2
0,7,271647941,0,2,0,0,0,1,31,4,42,0,1,6,2
0,8,3377616793,0,3,0,0,2,1,32,4,14,28,0,6,3
0,9,3041557212,0,0,0,0,2,1,30,5,3,39,0,6,4
0,10,1852558768,0,1,0,0,3,0,30,2,0,42,1,6,5
0,11,711178337,0,2,0,0,1,0,30,2,2,40,1,6,6
0,12,375118756,0,3,0,0,3,0,32,1,40,2,0,7,6
1,0,3633243384,0,0,0,0,3,0,30,4,21,21,0,1,0
1,1,1149700155,0,1,0,0,1,0,30,5,12,30,1,1,1
1,2,433033943,0,3,1,0,0,1,30,3,29,13,0,1,2
1,3,586198297,0,1,1,0,0,1,31,4,42,0,1,2,2
1,4,2778228995,0,2,0,0,1,0,30,5,23,19,0,3,2
1,5,1589230551,0,3,0,0,2,1,31,5,34,8,1,4,2
1,6,872564339,0,1,1,0,1,0,31,4,28,14,0,5,2
1,7,1406335324,0,2,0,0,2,1,31,4,25,17,0,5,3
1,8,2837152760,0,0,1,0,0,1,31,4,35,7,1,6,3
1,9,2881699810,0,1,0,0,0,1,31,5,18,24,0,6,4
1,10,1692701366,0,2,0,0,3,0,30,5,18,24,0,7,4
2,0,2919081710,0,0,0,0,1,0,30,4,0,42,1,0,1
2,1,3976905801,0,1,0,0,0,1,30,0,30,12,1,1,1
2,2,588702835,0,2,0,0,2,1,32,3,42,0,1,2,1
2,3,2933458425,0,1,2,0,1,0,30,4,6,36,1,2,2
2,4,1310467345,0,2,0,0,1,0,30,0,13,29,0,3,2
2,5,494462246,0,0,1,0,0,1,30,4,35,7,1,4,2
2,6,1028233231,0,1,0,0,1,0,31,4,1,41,1,4,3
2,7,2839657298,0,2,0,0,0,1,31,6,22,20,0,4,4
2,8,3036929240,0,1,2,0,1,0,31,3,8,34,1,4,5
2,9,3081476290,0,3,1,0,1,0,30,6,0,42,1,4,6
2,10,1467763627,0,0,0,0,0,1,31,1,42,0,1,5,6
2,11,3279187694,0,1,0,0,3,0,30,6,1,41,1,5,7
3,0,127240511,0,0,0,0,0,1,30,5,42,0,1,1,0
3,1,3233209363,0,1,0,0,2,1,30,4,25,17,0,1,1
3,2,2897149782,0,2,0,0,0,1,31,4,31,11,1,2,1
3,3,902830488,0,3,0,0,3,0,31,0,27,15,0,3,1
3,4,566770907,0,0,0,0,0,1,31,0,19,23,0,3,2
3,5,3672739759,0,1,0,0,1,0,31,4,12,30,0,4,2
3,6,3336680178,0,2,0,0,3,0,30,4,1,41,1,4,3
3,7,853136949,0,3,0,0,0,1,30,0,25,17,0,4,4
3,8,1006301303,0,0,0,0,0,1,31,3,19,23,0,4,5
3,9,2817725370,0,1,0,0,1,0,31,4,0,42,1,4,6
3,10,3776210574,0,2,0,0,1,0,32,4,1,41,1,4,7
4,0,2855107270,0,0,0,0,1,0,30,4,1,41,1,0,1
4,1,3432985843,0,2,1,0,1,0,30,1,38,4,0,1,1
4,2,2291605412,0,0,1,0,1,0,30,4,22,20,0,2,1
4,3,1483213599,0,1,0,0,0,1,30,6,41,1,1,3,1
4,4,3294637666,0,2,0,0,2,1,30,1,4,38,0,3,2
4,5,2958578085,0,3,0,0,3,0,31,2,0,42,1,3,3
4,6,4016402176,0,0,0,0,3,0,31,3,24,18,0,4,3
4,7,628199210,0,1,0,0,1,0,31,6,1,41,1,4,4
4,8,3734168062,0,2,0,0,0,1,31,6,41,1,1,5,4
4,9,3398108481,0,3,0,0,3,0,31,1,1,41,1,5,5
4,10,3062048900,0,0,0,0,0,1,30,6,36,6,1,6,5
4,11,1067729606,0,1,0,0,1,0,31,4,29,13,0,7,5
5,0,1941649892,0,0,0,0,3,0,31,5,3,39,1,0,1
5,1,3753073959,0,1,0,0,3,0,31,4,1,41,1,0,2
5,2,3417014378,0,2,0,0,1,0,30,4,6,36,1,0,3
5,3,1422695084,0,3,0,0,3,0,30,4,1,41,1,0,4
5,4,1086635503,0,0,0,0,1,0,30,2,11,31,1,0,5
5,5,4192604355,0,1,0,0,1,0,31,2,12,30,0,1,5
5,6,3856544774,0,2,0,0,2,1,30,5,40,2,1,2,5
5,7,2715164343,0,3,0,0,3,0,31,1,12,30,0,3,5
5,8,1526165899,0,0,0,0,3,0,31,5,7,35,1,3,6
5,9,1190106318,0,1,0,0,1,0,31,4,12,30,0,4,6
5,10,1107874,0,2,0,0,1,0,30,1,2,40,1,4,7
6,0,817346823,0,1,1,0,1,0,31,5,23,19,0,1,0
6,1,3009377521,0,2,0,0,0,1,31,0,36,6,1,2,0
6,2,2673317940,0,3,0,0,2,1,31,2,35,7,1,3,0
6,3,1484319496,0,0,0,0,1,0,30,6,0,42,1,3,1
6,4,342939065,0,1,0,0,0,1,31,6,18,24,0,3,2
6,5,920817638,0,3,1,0,1,0,31,1,24,18,0,4,2
6,6,3112848336,0,0,0,0,1,0,30,4,14,28,0,5,2
6,7,4170672427,0,1,0,0,0,1,30,3,26,16,0,5,3
6,8,782469461,0,2,0,0,0,1,31,6,39,3,1,6,3
6,9,446409880,0,3,0,0,2,1,31,4,42,0,1,7,3
7,0,483791780,0,0,0,0,3,0,31,5,8,34,1,0,1
7,1,1541615871,0,1,0,0,3,0,31,2,7,35,1,0,2
7,2,3353039938,0,2,0,0,3,0,30,4,14,28,0,1,2
7,3,3506204292,0,3,0,0,3,0,30,5,7,35,1,1,3
7,4,3170144711,0,0,0,0,3,0,30,6,11,31,1,1,4
7,5,686601482,0,1,0,0,1,0,30,5,23,19,0,2,4
7,6,1645086686,0,2,0,0,2,1,32,6,31,11,0,2,5
7,7,404367368,0,3,0,0,3,0,31,4,33,9,0,3,5
7,8,982245941,0,1,1,0,0,1,31,4,41,1,1,4,5
7,9,1126131878,0,2,0,0,1,0,31,4,3,39,1,4,6
7,10,2084617082,0,3,0,0,3,0,32,5,23,19,0,5,6
7,11,3896041149,0,0,0,0,1,0,30,5,0,42,1,5,7
8,0,1986917877,0,0,0,0,3,0,30,4,6,36,1,0,1
8,1,797919433,0,1,0,0,3,0,30,3,1,41,1,0,2
8,2,461859852,0,2,0,0,2,1,30,4,40,2,1,1,2
8,3,3567828704,0,3,0,0,3,0,31,2,28,14,0,2,2
8,4,3231769123,0,0,0,0,2,1,30,4,29,13,0,2,3
8,5,1237449829,0,1,0,0,1,0,31,0,9,33,1,2,4
8,6,901390248,0,2,0,0,2,1,31,6,24,18,0,2,5
8,7,2712814315,0,3,0,0,2,1,32,4,28,14,0,2,6
