game_idx,a_team,n_hands,marks_a,marks_b,a_won
0,0,12,5,7,0
1,0,12,5,7,0
2,0,8,7,1,1
3,0,12,5,7,0
4,0,13,7,6,1
5,0,11,7,4,1
6,0,13,7,6,1
7,0,11,7,4,1
8,0,11,7,4,1
9,0,9,7,2,1
10,0,13,7,6,1
11,0,11,7,4,1
12,0,11,7,4,1
13,0,13,7,6,1
14,0,11,7,4,1
15,0,11,7,4,1
16,0,12,7,5,1
17,0,12,7,5,1
18,0,13,7,6,1
19,0,13,6,7,0
20,0,10,7,3,1
21,0,13,7,6,1
22,0,10,7,3,1
23,0,9,7,2,1
24,0,13,7,6,1
25,0,10,7,3,1
26,0,10,7,3,1
27,0,13,7,6,1
28,0,10,7,3,1
29,0,10,7,3,1
30,0,9,2,7,0
31,0,10,7,3,1
32,0,12,5,7,0
33,0,13,7,6,1
34,0,10,7,3,1
35,0,8,7,1,1
36,0,9,7,2,1
37,0,12,5,7,0
38,0,9,7,2,1
39,0,8,7,1,1
40,0,9,7,2,1
41,0,11,4,7,0
42,0,10,7,3,1
43,0,10,3,7,0
44,0,12,7,5,1
45,0,13,7,6,1
46,0,10,7,3,1
47,0,13,7,6,1
48,0,13,7,6,1
49,0,11,7,4,1
50,0,12,7,5,1
51,0,9,7,2,1
52,0,12,7,5,1
53,0,13,6,7,0
54,0,12,5,7,0
55,0,11,7,4,1
56,0,9,7,2,1
57,0,13,7,6,1
58,0,11,4,7,0
59,0,11,7,4,1
60,0,9,2,7,0
61,0,10,7,3,1
62,0,9,7,2,1
63,0,10,3,7,0
64,0,9,7,2,1
65,0,11,4,7,0
66,0,13,7,6,1
67,0,13,6,7,0
68,0,11,7,4,1
69,0,13,6,7,0
70,0,12,5,7,0
71,0,13,7,6,1
72,0,12,7,5,1
73,0,11,4,7,0
74,0,13,7,6,1
75,0,12,5,7,0
76,0,9,7,2,1
77,0,10,7,3,1
78,0,12,7,5,1
79,0,9,7,2,1
80,0,12,7,5,1
81,0,13,6,7,0
82,0,7,7,0,1
83,0,10,7,3,1
84,0,10,7,3,1
85,0,9,7,2,1
86,0,11,7,4,1
87,0,11,7,4,1
88,0,12,7,5,1
89,0,9,7,2,1
90,0,8,7,1,1
91,0,9,7,2,1
92,0,11,4,7,0
93,0,12,5,7,0
94,0,11,7,4,1
95,0,9,7,2,1
96,0,12,7,5,1
97,0,13,7,6,1
98,0,13,7,6,1
99,0,8,7,1,1
100,0,11,7,4,1
101,0,11,7,4,1
102,0,11,7,4,1
103,0,12,7,5,1
104,0,12,5,7,0
105,0,9,7,2,1
106,0,12,7,5,1
107,0,12,7,5,1
108,0,11,4,7,0
109,0,12,7,5,1
110,0,12,5,7,0
111,0,13,6,7,0
112,0,12,7,5,1
113,0,13,6,7,0
114,0,10,7,3,1
115,0,10,7,3,1
116,0,11,7,4,1
117,0,9,7,2,1
118,0,13,7,6,1
119,0,11,4,7,0
120,0,12,5,7,0
121,0,11,7,4,1
122,0,11,7,4,1
123,0,10,3,7,0
124,0,9,2,7,0
125,0,11,7,4,1
126,0,13,7,6,1
127,0,9,7,2,1
0,1,10,7,3,1
1,1,10,7,3,1
2,1,9,2,7,0
3,1,8,7,1,1
4,1,10,7,3,1
5,1,9,7,2,1
6,1,12,7,5,1
7,1,13,7,6,1
8,1,12,5,7,0
9,1,13,6,7,0
10,1,12,7,5,1
11,1,9,7,2,1
12,1,9,7,2,1
13,1,10,3,7,0
14,1,12,7,5,1
15,1,10,7,3,1
16,1,10,7,3,1
17,1,13,7,6,1
18,1,12,7,5,1
19,1,13,7,6,1
20,1,10,7,3,1
21,1,11,7,4,1
22,1,11,7,4,1
23,1,12,7,5,1
24,1,11,7,4,1
25,1,13,6,7,0
26,1,9,2,7,0
27,1,10,7,3,1
28,1,10,3,7,0
29,1,10,7,3,1
30,1,9,7,2,1
31,1,10,7,3,1
32,1,8,7,1,1
33,1,9,2,7,0
34,1,12,7,5,1
35,1,13,7,6,1
36,1,12,7,5,1
37,1,10,7,3,1
38,1,12,7,5,1
39,1,13,6,7,0
40,1,11,7,4,1
41,1,11,7,4,1
42,1,11,7,4,1
43,1,12,5,7,0
44,1,9,7,2,1
45,1,8,7,1,1
46,1,12,7,5,1
47,1,13,6,7,0
48,1,12,7,5,1
49,1,12,7,5,1
50,1,10,7,3,1
51,1,13,7,6,1
52,1,10,3,7,0
53,1,13,6,7,0
54,1,9,7,2,1
55,1,10,7,3,1
56,1,12,7,5,1
57,1,12,7,5,1
58,1,8,7,1,1
59,1,12,7,5,1
60,1,10,7,3,1
61,1,12,5,7,0
62,1,12,7,5,1
63,1,10,7,3,1
64,1,9,2,7,0
65,1,12,7,5,1
66,1,13,7,6,1
67,1,10,7,3,1
68,1,11,7,4,1
69,1,12,7,5,1
70,1,10,7,3,1
71,1,10,7,3,1
72,1,13,6,7,0
73,1,11,7,4,1
74,1,8,7,1,1
75,1,11,7,4,1
76,1,9,2,7,0
77,1,10,3,7,0
78,1,13,6,7,0
79,1,11,4,7,0
80,1,12,5,7,0
81,1,9,7,2,1
82,1,13,7,6,1
83,1,11,7,4,1
84,1,13,7,6,1
85,1,10,7,3,1
86,1,12,5,7,0
87,1,12,7,5,1
88,1,8,1,7,0
89,1,12,7,5,1
90,1,9,2,7,0
91,1,12,7,5,1
92,1,11,7,4,1
93,1,11,7,4,1
94,1,12,7,5,1
95,1,10,7,3,1
96,1,8,7,1,1
97,1,7,7,0,1
98,1,10,7,3,1
99,1,11,7,4,1
100,1,12,7,5,1
101,1,13,6,7,0
102,1,11,4,7,0
103,1,12,5,7,0
104,1,10,7,3,1
105,1,13,6,7,0
106,1,11,7,4,1
107,1,12,5,7,0
108,1,9,7,2,1
109,1,12,7,5,1
110,1,10,7,3,1
111,1,13,7,6,1
112,1,10,7,3,1
113,1,12,7,5,1
114,1,12,7,5,1
115,1,11,4,7,0
116,1,10,7,3,1
117,1,13,6,7,0
118,1,13,6,7,0
119,1,13,6,7,0
120,1,12,7,5,1
121,1,12,7,5,1
122,1,13,6,7,0
123,1,8,7,1,1
124,1,10,7,3,1
125,1,9,2,7,0
126,1,8,7,1,1
127,1,12,7,5,1
