game_idx,a_team,n_hands,marks_a,marks_b,a_won
0,0,11,4,7,0
1,0,11,4,7,0
2,0,10,7,3,1
3,0,13,6,7,0
4,0,13,7,6,1
5,0,10,7,3,1
6,0,13,7,6,1
7,0,12,5,7,0
8,0,13,6,7,0
9,0,12,7,5,1
10,0,10,3,7,0
11,0,12,5,7,0
12,0,11,7,4,1
13,0,13,7,6,1
14,0,7,7,0,1
15,0,12,5,7,0
16,0,9,2,7,0
17,0,12,7,5,1
18,0,11,4,7,0
19,0,11,4,7,0
20,0,11,7,4,1
21,0,12,7,5,1
22,0,12,7,5,1
23,0,9,2,7,0
24,0,10,7,3,1
25,0,11,7,4,1
26,0,9,7,2,1
27,0,10,3,7,0
28,0,13,7,6,1
29,0,13,7,6,1
30,0,13,6,7,0
31,0,13,6,7,0
32,0,12,5,7,0
33,0,12,5,7,0
34,0,13,7,6,1
35,0,8,1,7,0
36,0,12,5,7,0
37,0,13,7,6,1
38,0,13,7,6,1
39,0,12,5,7,0
40,0,13,6,7,0
41,0,10,3,7,0
42,0,12,5,7,0
43,0,13,6,7,0
44,0,12,5,7,0
45,0,13,6,7,0
46,0,11,7,4,1
47,0,12,5,7,0
48,0,10,3,7,0
49,0,12,7,5,1
50,0,12,7,5,1
51,0,11,4,7,0
52,0,13,6,7,0
53,0,10,3,7,0
54,0,10,7,3,1
55,0,13,6,7,0
56,0,8,1,7,0
57,0,9,7,2,1
58,0,12,5,7,0
59,0,12,5,7,0
60,0,9,2,7,0
61,0,12,7,5,1
62,0,12,5,7,0
63,0,11,4,7,0
64,0,11,7,4,1
65,0,11,4,7,0
66,0,9,2,7,0
67,0,11,4,7,0
68,0,10,7,4,1
69,0,12,7,5,1
70,0,8,7,1,1
71,0,12,7,5,1
72,0,10,3,7,0
73,0,11,7,4,1
74,0,11,7,4,1
75,0,11,4,7,0
76,0,12,7,5,1
77,0,13,7,6,1
78,0,10,7,3,1
79,0,12,5,7,0
80,0,9,7,2,1
81,0,12,5,7,0
82,0,11,7,4,1
83,0,13,6,7,0
84,0,13,7,6,1
85,0,11,7,4,1
86,0,11,4,7,0
87,0,9,7,2,1
88,0,11,4,7,0
