game_idx,a_team,n_hands,marks_a,marks_b,a_won
0,0,10,3,7,0
1,0,13,7,6,1
2,0,8,7,1,1
3,0,7,0,7,0
4,0,12,5,7,0
5,0,10,7,3,1
6,0,12,7,5,1
7,0,11,4,7,0
8,0,12,5,7,0
9,0,11,7,4,1
10,0,11,4,7,0
11,0,13,6,7,0
12,0,12,7,5,1
13,0,11,4,7,0
14,0,10,7,3,1
15,0,12,5,7,0
16,0,13,7,6,1
17,0,12,7,5,1
18,0,11,7,4,1
19,0,11,4,7,0
20,0,9,7,2,1
21,0,13,7,6,1
22,0,13,6,7,0
23,0,10,3,7,0
24,0,13,7,6,1
25,0,12,7,5,1
26,0,9,7,2,1
27,0,12,5,7,0
28,0,12,5,7,0
29,0,9,7,2,1
30,0,13,6,7,0
31,0,13,6,7,0
32,0,11,7,4,1
33,0,12,7,5,1
34,0,10,3,7,0
35,0,10,3,7,0
36,0,9,2,7,0
37,0,13,7,6,1
38,0,12,7,5,1
39,0,13,7,6,1
40,0,11,7,4,1
41,0,9,2,7,0
42,0,12,5,7,0
43,0,11,7,4,1
44,0,13,7,6,1
45,0,13,7,6,1
46,0,11,7,4,1
47,0,11,7,4,1
48,0,11,7,4,1
49,0,13,7,6,1
50,0,12,7,5,1
51,0,12,5,7,0
52,0,10,7,3,1
53,0,9,2,7,0
54,0,7,7,0,1
55,0,10,3,7,0
56,0,13,7,6,1
57,0,12,5,7,0
58,0,12,5,7,0
59,0,12,7,5,1
60,0,13,7,6,1
61,0,12,7,5,1
62,0,13,7,6,1
63,0,11,4,7,0
64,0,11,7,4,1
65,0,10,7,3,1
66,0,11,4,7,0
67,0,13,7,6,1
68,0,10,3,7,0
69,0,11,7,4,1
70,0,13,6,7,0
71,0,13,7,6,1
72,0,11,7,4,1
73,0,13,6,7,0
74,0,12,7,5,1
75,0,11,7,4,1
76,0,11,7,4,1
77,0,12,7,5,1
78,0,11,7,4,1
79,0,13,6,7,0
80,0,10,7,3,1
81,0,12,5,7,0
82,0,11,4,7,0
83,0,12,5,7,0
84,0,10,3,7,0
85,0,12,5,7,0
86,0,10,7,3,1
87,0,13,7,6,1
88,0,11,7,4,1
89,0,13,6,7,0
90,0,13,7,6,1
91,0,8,7,1,1
92,0,11,4,7,0
93,0,13,6,7,0
94,0,13,6,7,0
95,0,12,5,7,0
96,0,12,7,5,1
97,0,11,7,4,1
98,0,10,3,7,0
99,0,11,7,4,1
100,0,12,5,7,0
101,0,13,6,7,0
102,0,13,7,6,1
103,0,11,7,4,1
104,0,11,7,4,1
105,0,8,7,1,1
106,0,8,1,7,0
107,0,10,3,7,0
108,0,10,7,3,1
109,0,11,7,4,1
110,0,13,7,6,1
111,0,11,4,7,0
112,0,12,5,7,0
113,0,11,7,4,1
114,0,8,7,1,1
115,0,11,7,4,1
116,0,12,7,5,1
117,0,12,7,5,1
118,0,8,7,1,1
119,0,12,5,7,0
120,0,9,7,2,1
121,0,13,7,6,1
122,0,12,7,5,1
123,0,13,7,6,1
124,0,8,1,7,0
125,0,9,7,2,1
126,0,11,7,4,1
127,0,11,7,4,1
128,0,10,3,7,0
129,0,13,7,6,1
130,0,9,7,2,1
131,0,13,6,7,0
132,0,13,6,7,0
133,0,12,7,5,1
134,0,9,2,7,0
135,0,13,6,7,0
136,0,13,7,6,1
137,0,13,6,7,0
138,0,10,7,3,1
139,0,9,7,2,1
140,0,11,7,4,1
141,0,13,6,7,0
142,0,11,7,4,1
143,0,13,6,7,0
144,0,9,7,2,1
145,0,13,6,7,0
146,0,10,3,7,0
147,0,10,3,7,0
148,0,11,7,4,1
149,0,10,3,7,0
150,0,13,7,6,1
151,0,12,7,5,1
152,0,9,2,7,0
153,0,11,7,4,1
154,0,13,7,6,1
155,0,13,6,7,0
156,0,11,4,7,0
157,0,11,4,7,0
158,0,12,7,5,1
159,0,10,7,3,1
160,0,12,7,5,1
161,0,12,5,7,0
162,0,8,7,1,1
163,0,12,7,5,1
164,0,8,7,1,1
165,0,11,7,4,1
166,0,10,7,3,1
167,0,10,3,7,0
168,0,11,4,7,0
169,0,11,7,4,1
170,0,13,7,6,1
171,0,11,7,4,1
172,0,11,7,4,1
173,0,10,7,3,1
174,0,12,5,7,0
175,0,10,3,7,0
176,0,10,7,3,1
177,0,11,7,4,1
178,0,8,7,1,1
179,0,13,6,7,0
180,0,13,7,6,1
181,0,13,6,7,0
182,0,13,6,7,0
183,0,9,2,7,0
184,0,11,7,4,1
185,0,11,4,7,0
186,0,11,7,4,1
187,0,11,4,7,0
188,0,11,4,7,0
189,0,12,5,7,0
190,0,12,5,7,0
191,0,7,7,0,1
192,0,12,5,7,0
193,0,10,7,3,1
194,0,12,7,5,1
195,0,11,7,4,1
196,0,12,7,5,1
197,0,12,5,7,0
198,0,11,7,4,1
199,0,8,7,1,1
200,0,11,4,7,0
201,0,11,7,4,1
202,0,10,3,7,0
203,0,11,4,7,0
204,0,9,7,2,1
205,0,13,7,6,1
206,0,11,7,4,1
207,0,13,7,6,1
208,0,11,7,4,1
209,0,13,7,6,1
210,0,12,7,5,1
211,0,11,7,4,1
212,0,10,7,3,1
213,0,12,7,5,1
214,0,11,4,7,0
215,0,10,7,3,1
216,0,11,7,4,1
217,0,9,7,2,1
218,0,11,4,7,0
219,0,13,6,7,0
220,0,12,5,7,0
221,0,10,3,7,0
222,0,13,6,7,0
223,0,11,4,7,0
224,0,10,3,7,0
225,0,11,4,7,0
226,0,9,2,7,0
227,0,12,7,5,1
228,0,8,7,1,1
229,0,12,5,7,0
230,0,9,7,2,1
231,0,10,7,3,1
232,0,8,1,7,0
233,0,13,7,6,1
234,0,13,7,6,1
235,0,11,7,4,1
236,0,13,6,7,0
237,0,12,7,5,1
238,0,13,6,7,0
239,0,12,7,5,1
