game_idx,a_team,n_hands,marks_a,marks_b,a_won
0,0,13,7,6,1
1,0,8,1,7,0
2,0,9,7,2,1
3,0,10,3,7,0
4,0,11,7,4,1
5,0,9,7,2,1
6,0,12,5,7,0
7,0,9,2,7,0
8,0,12,7,5,1
9,0,11,7,4,1
10,0,10,7,3,1
11,0,12,5,7,0
12,0,13,7,6,1
13,0,10,3,7,0
14,0,11,7,4,1
15,0,13,6,7,0
16,0,9,2,7,0
17,0,13,6,7,0
18,0,11,4,7,0
19,0,12,5,7,0
20,0,11,7,4,1
21,0,12,5,7,0
22,0,10,7,3,1
23,0,13,6,7,0
24,0,10,3,7,0
25,0,10,7,3,1
26,0,11,7,4,1
27,0,11,7,4,1
28,0,10,7,3,1
29,0,13,6,7,0
30,0,8,1,7,0
31,0,13,7,6,1
32,0,13,6,7,0
33,0,9,7,2,1
34,0,11,7,4,1
35,0,11,7,4,1
36,0,11,7,4,1
37,0,13,7,6,1
38,0,10,7,3,1
39,0,12,7,5,1
40,0,12,7,5,1
41,0,12,5,7,0
42,0,13,6,7,0
43,0,13,6,7,0
44,0,9,2,7,0
45,0,8,1,7,0
46,0,11,4,7,0
47,0,10,3,7,0
48,0,11,7,4,1
49,0,11,7,4,1
50,0,10,3,7,0
51,0,12,5,7,0
52,0,11,7,4,1
53,0,13,7,6,1
54,0,8,1,7,0
55,0,12,5,7,0
56,0,9,7,2,1
57,0,13,7,6,1
58,0,9,2,7,0
59,0,13,6,7,0
60,0,11,7,4,1
61,0,12,7,5,1
62,0,9,7,2,1
63,0,10,3,7,0
64,0,7,7,0,1
65,0,13,7,6,1
66,0,13,7,6,1
67,0,12,5,7,0
68,0,13,6,7,0
69,0,12,5,7,0
70,0,9,2,7,0
71,0,11,4,7,0
72,0,12,7,5,1
73,0,13,6,7,0
74,0,13,7,6,1
75,0,13,7,6,1
76,0,9,7,2,1
77,0,9,7,2,1
78,0,12,7,5,1
79,0,11,7,4,1
80,0,11,4,7,0
81,0,13,6,7,0
82,0,9,7,2,1
83,0,13,7,6,1
84,0,9,7,2,1
85,0,13,6,7,0
86,0,12,7,5,1
87,0,7,7,0,1
88,0,12,7,5,1
89,0,9,7,2,1
90,0,9,7,2,1
91,0,9,7,2,1
92,0,11,4,7,0
93,0,8,1,7,0
94,0,12,5,7,0
95,0,10,3,7,0
96,0,13,7,6,1
97,0,11,4,7,0
98,0,12,5,7,0
99,0,13,7,6,1
100,0,10,3,7,0
101,0,12,7,5,1
102,0,13,6,7,0
103,0,11,7,4,1
104,0,10,3,7,0
105,0,11,7,4,1
106,0,12,7,5,1
107,0,12,5,7,0
108,0,11,4,7,0
109,0,11,4,7,0
110,0,10,3,7,0
111,0,13,6,7,0
112,0,11,4,7,0
113,0,9,7,2,1
114,0,13,6,7,0
115,0,11,7,4,1
116,0,12,7,5,1
117,0,13,7,6,1
118,0,13,7,6,1
119,0,9,2,7,0
120,0,13,6,7,0
121,0,11,7,4,1
122,0,13,6,7,0
123,0,13,7,6,1
124,0,12,5,7,0
125,0,12,7,5,1
126,0,10,3,7,0
127,0,12,5,7,0
128,0,7,7,0,1
129,0,12,5,7,0
130,0,9,7,2,1
131,0,11,4,7,0
132,0,12,5,7,0
133,0,8,1,7,0
134,0,9,2,7,0
135,0,10,7,3,1
136,0,9,2,7,0
137,0,12,5,7,0
138,0,13,7,6,1
139,0,9,7,2,1
140,0,12,5,7,0
141,0,11,7,4,1
142,0,13,6,7,0
143,0,11,7,4,1
144,0,11,7,4,1
145,0,12,5,7,0
146,0,10,7,3,1
147,0,9,7,2,1
148,0,10,3,7,0
149,0,12,5,7,0
150,0,10,7,3,1
151,0,11,7,4,1
152,0,11,4,7,0
153,0,11,7,4,1
154,0,13,7,6,1
155,0,13,6,7,0
156,0,11,4,7,0
157,0,13,7,6,1
158,0,11,7,4,1
159,0,11,4,7,0
160,0,11,7,4,1
161,0,13,7,6,1
162,0,12,5,7,0
163,0,9,7,2,1
164,0,13,6,7,0
165,0,13,6,7,0
166,0,13,7,6,1
167,0,13,6,7,0
168,0,10,7,3,1
169,0,12,5,7,0
170,0,12,5,7,0
171,0,12,7,5,1
172,0,13,6,7,0
173,0,9,7,2,1
174,0,13,7,6,1
175,0,11,4,7,0
176,0,11,7,4,1
177,0,13,7,6,1
178,0,11,7,4,1
179,0,11,4,7,0
180,0,12,7,5,1
181,0,12,5,7,0
182,0,12,7,5,1
183,0,9,2,7,0
184,0,11,4,7,0
185,0,13,7,6,1
186,0,11,7,4,1
187,0,13,7,6,1
188,0,13,6,7,0
189,0,13,7,6,1
190,0,12,5,7,0
191,0,12,5,7,0
192,0,13,6,7,0
193,0,9,7,2,1
194,0,8,1,7,0
195,0,11,7,4,1
196,0,13,6,7,0
197,0,11,7,4,1
198,0,11,4,7,0
199,0,11,7,4,1
200,0,10,3,7,0
201,0,11,7,4,1
202,0,11,4,7,0
203,0,12,5,7,0
204,0,12,5,7,0
205,0,12,5,7,0
206,0,11,7,4,1
207,0,12,5,7,0
208,0,9,7,2,1
209,0,10,7,3,1
210,0,13,6,7,0
211,0,11,4,7,0
212,0,12,7,5,1
213,0,13,6,7,0
214,0,12,7,5,1
215,0,9,2,7,0
216,0,12,5,7,0
217,0,13,7,6,1
218,0,10,3,7,0
219,0,10,7,3,1
220,0,10,3,7,0
221,0,9,7,2,1
222,0,10,3,7,0
223,0,11,7,4,1
224,0,13,6,7,0
225,0,12,5,7,0
226,0,11,7,4,1
227,0,11,7,4,1
228,0,9,7,2,1
229,0,11,7,4,1
230,0,12,7,5,1
231,0,11,7,4,1
232,0,12,5,7,0
233,0,11,7,4,1
234,0,13,7,6,1
235,0,13,7,6,1
236,0,9,2,7,0
237,0,13,6,7,0
238,0,12,5,7,0
239,0,13,7,6,1
240,0,12,7,5,1
241,0,8,7,1,1
242,0,10,7,3,1
243,0,10,7,3,1
244,0,11,4,7,0
245,0,13,7,6,1
246,0,11,4,7,0
247,0,9,7,2,1
248,0,11,4,7,0
249,0,11,4,7,0
250,0,9,7,2,1
251,0,11,4,7,0
252,0,10,7,3,1
253,0,11,4,7,0
254,0,11,4,7,0
255,0,12,7,5,1
0,1,10,7,3,1
1,1,10,7,3,1
2,1,10,3,7,0
3,1,13,6,7,0
4,1,10,7,3,1
5,1,11,4,7,0
6,1,12,7,5,1
7,1,10,7,3,1
8,1,12,5,7,0
9,1,9,2,7,0
10,1,12,7,5,1
11,1,12,7,5,1
12,1,10,7,3,1
13,1,13,6,7,0
14,1,12,5,7,0
15,1,13,7,6,1
16,1,12,5,7,0
