state,V,depth,t0_capture,t1_capture,capture_diff,basin
1420736889994,13,9,10,0,10,"(10, 0)"
1977911288865,23,10,20,0,20,"(20, 0)"
695115860146,16,9,5,0,5,"(5, 0)"
93988460752,-4,9,5,10,-5,"(5, 10)"
359859822740,23,9,20,0,20,"(20, 0)"
1416819646724,-5,5,0,10,-10,"(0, 10)"
1021960291082,13,9,10,0,10,"(10, 0)"
2183092038346,25,15,25,0,25,"(25, 0)"
1257958821126,11,9,0,0,0,"(0, 0)"
2194896397315,27,8,25,0,25,"(25, 0)"
2068104528521,6,10,5,0,5,"(5, 0)"
780795150988,28,9,10,0,10,"(10, 0)"
2165955557400,18,11,15,0,15,"(15, 0)"
2055360782882,23,10,20,0,20,"(20, 0)"
1832986444456,8,9,5,0,5,"(5, 0)"
1978504578196,17,6,0,0,0,"(0, 0)"
1253341954242,12,5,0,0,0,"(0, 0)"
1601072072424,34,13,20,0,20,"(20, 0)"
364871176208,12,5,10,0,10,"(10, 0)"
2007968620546,22,6,20,0,20,"(20, 0)"
574658974220,11,9,5,0,5,"(5, 0)"
415873667077,17,5,0,0,0,"(0, 0)"
2178966638658,2,7,0,0,0,"(0, 0)"
227172000552,28,9,15,0,15,"(15, 0)"
2174382584880,33,11,30,0,30,"(30, 0)"
1850334052545,17,5,5,0,5,"(5, 0)"
2081524617682,18,10,5,0,5,"(5, 0)"
317164970164,23,9,15,0,15,"(15, 0)"
2051262448946,28,10,20,0,20,"(20, 0)"
227180831124,23,9,10,0,10,"(10, 0)"
2182929876544,12,7,10,0,10,"(10, 0)"
47046613009,8,9,5,0,5,"(5, 0)"
321138198026,16,9,15,0,15,"(15, 0)"
2170117182496,2,7,0,0,0,"(0, 0)"
2195156345521,23,12,20,0,20,"(20, 0)"
2179377694106,8,11,0,0,0,"(0, 0)"
166971114628,12,5,10,0,10,"(10, 0)"
621780926728,5,5,0,0,0,"(0, 0)"
1386276325377,7,5,5,0,5,"(5, 0)"
2188168624178,21,11,20,0,20,"(20, 0)"
2191847096856,27,7,15,0,15,"(15, 0)"
2166295171348,12,7,10,0,10,"(10, 0)"
2051387990564,-17,6,0,15,-15,"(0, 15)"
2111538565542,13,10,5,0,5,"(5, 0)"
1952205836289,7,6,5,0,5,"(5, 0)"
2051694499024,16,10,15,0,15,"(15, 0)"
493334164579,24,13,15,0,15,"(15, 0)"
1811683672455,28,9,15,0,15,"(15, 0)"
2174470869249,2,7,0,0,0,"(0, 0)"
1583970582658,17,5,5,0,5,"(5, 0)"
2004290393363,18,10,10,0,10,"(10, 0)"
2192115762400,7,7,5,0,5,"(5, 0)"
2034279592113,23,10,20,0,20,"(20, 0)"
1490053007320,19,13,10,0,10,"(10, 0)"
197082358978,28,9,25,0,25,"(25, 0)"
2195403874596,27,8,25,0,25,"(25, 0)"
2170980358407,16,11,10,0,10,"(10, 0)"
115713540368,0,5,0,0,0,"(0, 0)"
235694737922,0,5,0,0,0,"(0, 0)"
827955872016,17,5,10,0,10,"(10, 0)"
674135102641,19,13,15,0,15,"(15, 0)"
2183672702250,28,11,15,0,15,"(15, 0)"
742631551249,33,9,20,0,20,"(20, 0)"
2077007385329,24,14,10,0,10,"(10, 0)"
1434007704332,-1,9,10,5,5,"(10, 5)"
179368625285,13,9,10,0,10,"(10, 0)"
570702300289,-5,5,5,0,5,"(5, 0)"
2159099516080,16,10,15,0,15,"(15, 0)"
1150884663441,6,9,5,0,5,"(5, 0)"
2183551095725,24,15,10,0,10,"(10, 0)"
2195332800516,-11,4,0,10,-10,"(0, 10)"
2165806751874,22,7,20,0,20,"(20, 0)"
1291955840556,29,13,15,0,15,"(15, 0)"
2192119456801,12,7,10,0,10,"(10, 0)"
467616686337,22,5,10,0,10,"(10, 0)"
428852064625,39,13,20,0,20,"(20, 0)"
965453877538,13,9,5,0,5,"(5, 0)"
2175091488039,34,15,25,0,25,"(25, 0)"
2183204638723,12,7,10,0,10,"(10, 0)"
1107285358200,35,17,20,0,20,"(20, 0)"
321325695114,12,5,5,0,5,"(5, 0)"
2194805105170,22,8,20,0,20,"(20, 0)"
2115816686858,12,6,0,0,0,"(0, 0)"
1588308775640,24,13,10,0,10,"(10, 0)"
394265628736,0,5,0,0,0,"(0, 0)"
2194757863819,18,12,15,0,15,"(15, 0)"
746538157379,13,9,10,0,10,"(10, 0)"
2050906329282,13,10,10,0,10,"(10, 0)"
1652564197636,2,5,0,0,0,"(0, 0)"
2068966564100,27,6,20,0,20,"(20, 0)"
827959026722,28,9,20,0,20,"(20, 0)"
1995683463555,7,6,5,0,5,"(5, 0)"
334495802117,18,9,10,0,10,"(10, 0)"
2191626343586,13,11,10,0,10,"(10, 0)"
1558676247180,11,9,5,0,5,"(5, 0)"
1999714255937,17,6,10,0,10,"(10, 0)"
2158531973186,12,6,0,0,0,"(0, 0)"
1429368775208,23,9,20,0,20,"(20, 0)"
2038570717624,13,10,5,0,5,"(5, 0)"
1927106578946,2,6,0,0,0,"(0, 0)"
442131055136,2,5,0,0,0,"(0, 0)"
600893296928,10,5,0,0,0,"(0, 0)"
940396609666,-5,5,0,5,-5,"(0, 5)"
2081860904225,23,10,20,0,20,"(20, 0)"
2136759107848,27,6,15,0,15,"(15, 0)"
2103062565261,18,10,15,0,15,"(15, 0)"
111426003218,23,9,15,0,15,"(15, 0)"
772427551028,23,9,20,0,20,"(20, 0)"
2178644444676,5,7,10,5,5,"(10, 5)"
124030317588,28,9,15,0,15,"(15, 0)"
1939601920263,8,10,5,0,5,"(5, 0)"
1867489052392,29,13,15,0,15,"(15, 0)"
2179537405870,19,15,15,0,15,"(15, 0)"
2051669263108,-12,6,0,10,-10,"(0, 10)"
291660405272,1,9,5,0,5,"(5, 0)"
2029402743108,28,10,25,0,25,"(25, 0)"
1939538546851,8,10,5,0,5,"(5, 0)"
1184497733825,-4,9,5,0,5,"(5, 0)"
2194800673504,7,8,5,0,5,"(5, 0)"
1880457740640,-12,5,0,10,-10,"(0, 10)"
2051087831768,19,14,15,0,15,"(15, 0)"
592001631772,11,9,10,0,10,"(10, 0)"
2187883184386,1,3,0,0,0,"(0, 0)"
179868664976,7,5,5,0,5,"(5, 0)"
957249298561,17,5,15,0,15,"(15, 0)"
2149816931424,23,10,10,0,10,"(10, 0)"
1562565017761,7,5,5,0,5,"(5, 0)"
1558209430880,18,9,15,0,15,"(15, 0)"
901786855859,40,17,30,0,30,"(30, 0)"
2195284631713,17,8,15,0,15,"(15, 0)"
