cluster,size,v_mean,v_std,v_min,v_max,depth_mean
0,1345,13.650557620817844,5.796663704061238,-13,34,10.295910780669145
1,1288,10.732919254658386,7.194509435125769,-28,28,9.426242236024844
2,1034,20.032882011605416,11.277272209323378,-28,38,8.67504835589942
3,821,28.92570036540804,7.240977225780727,-32,39,11.3605359317905
4,1641,10.603290676416819,6.659780518694976,-16,29,9.424131627056672
5,874,17.503432494279178,8.848876753403813,-32,38,7.187643020594965
6,1341,14.058165548098435,6.462272953690539,-16,28,9.357941834451902
7,855,21.933333333333334,6.798623871763138,-32,40,14.1953216374269
8,709,17.76163610719323,9.927431791636552,-26,28,9.249647390691115
9,1776,5.038851351351352,6.211653501375203,-22,22,5.29954954954955
10,1635,4.892354740061162,5.546525729337999,-17,27,6.1198776758409785
11,1059,13.882908404154863,9.590751399652133,-27,32,5.885741265344665
12,722,22.235457063711912,9.26913475682187,-23,34,11.253462603878116
13,870,29.20574712643678,10.566492869833343,-12,40,13.857471264367817
14,1979,9.008590197069227,7.153017998116556,-22,32,6.200101061141991
15,1043,8.457334611697028,8.24579566249334,-32,32,5.396931927133269
16,680,14.186764705882354,9.743420169103635,-21,29,9.547058823529412
17,948,17.860759493670887,6.208713444017239,-23,33,10.19831223628692
18,1978,15.13447927199191,7.922087377031869,-23,33,10.032355915065724
19,1193,17.81894383906119,10.656917986926684,-28,34,9.893545683151718
20,1014,12.7396449704142,11.62477402262555,-22,32,5.451676528599606
21,1321,16.960635881907645,7.127260684469876,-21,34,9.596517789553369
22,1434,17.98186889818689,9.04481052007391,-23,38,9.336122733612273
23,215,21.488372093023255,6.695267655428412,-5,35,15.78139534883721
24,696,11.811781609195402,8.424473737000366,-32,34,12.275862068965518
25,1504,9.128989361702128,5.944388560784781,-11,28,10.38031914893617
26,788,20.543147208121827,7.282334946830045,-18,39,12.967005076142131
27,839,11.593563766388558,9.627285744369528,-22,32,5.469606674612634
28,1094,12.892138939670932,8.960979416207673,-33,33,9.160877513711151
29,1149,5.369016536118364,5.967969113746604,-22,27,5.356832027850305
30,551,21.29038112522686,10.133907344956295,-33,38,8.82940108892922
31,1164,22.40549828178694,9.064896077888484,-27,38,8.6786941580756
32,800,26.15,11.578536176909411,-33,38,10.2875
33,1032,20.86143410852713,11.898846317175748,-33,34,10.51937984496124
34,812,18.548029556650246,8.023297883366588,-28,38,9.263546798029557
35,608,18.957236842105264,7.5007552424448365,-17,34,13.217105263157896
36,1287,19.71017871017871,6.757245767643283,-33,38,10.177156177156178
37,439,24.138952164009112,10.465751054917062,-16,38,9.674259681093394
38,582,27.38659793814433,7.39810687495062,-14,41,14.986254295532646
39,1459,9.739547635366689,7.871702040213205,-18,28,8.687457162440028
40,977,23.502558853633573,13.362907292308476,-33,38,9.231320368474924
41,876,9.181506849315069,8.483272582626372,-27,32,5.3561643835616435
42,1161,14.937984496124031,6.334457596644505,-22,33,8.979328165374676
43,557,7.3949730700179535,8.16538056192106,-17,27,4.989228007181328
44,1025,7.269268292682927,7.267279287676524,-21,23,9.245853658536586
45,801,13.151061173533083,8.816815281487317,-27,32,5.1722846441947565
46,701,15.817403708987161,8.090662065624104,-23,33,9.433666191155492
47,330,19.503030303030304,9.303713329974997,-22,33,8.666666666666666
48,363,17.666666666666668,6.764977601347999,-10,35,14.542699724517906
49,630,24.666666666666668,8.955799752470417,-10,40,13.438095238095238
