v,n_states,n_components,n_edges,fragmentation
-34,159,94,65,0.5911949685534591
-33,2535,528,2007,0.20828402366863905
-32,1569,249,1320,0.1586998087954111
-31,209,97,112,0.46411483253588515
-29,36,26,10,0.7222222222222222
-28,2413,714,1699,0.29589722337339414
-27,4344,798,3546,0.18370165745856354
-26,850,402,448,0.47294117647058825
-25,287,206,81,0.7177700348432056
-24,109,54,55,0.4954128440366973
-23,4277,1257,3020,0.2938975917699322
-22,10778,2072,8706,0.19224345889775468
-21,3970,2345,1625,0.5906801007556675
-20,2628,1873,755,0.7127092846270928
-19,890,809,81,0.9089887640449438
-18,3372,1287,2085,0.3816725978647687
-17,16461,3402,13059,0.20667031164570804
-16,7546,4397,3149,0.582692817386695
-15,12738,7423,5315,0.5827445438844403
-14,6958,4755,2203,0.6833860304685254
-13,2819,960,1859,0.3405462930117063
-12,20104,4478,15626,0.22274174293672902
-11,17854,8905,8949,0.49876778312983083
-10,43489,22569,20920,0.5189588171721585
-9,30200,19519,10681,0.6463245033112582
-8,3155,1586,1569,0.5026941362916006
-7,18069,3808,14261,0.21074768941280647
-6,24207,12167,12040,0.502623208162928
-5,77929,35256,42673,0.45241181075081166
-4,74640,45119,29521,0.6044882100750268
-3,5392,3991,1401,0.7401706231454006
-2,8379,2305,6074,0.2750924931376059
-1,22874,10378,12496,0.4537028941155897
0,122101,40890,81211,0.3348866921646833
1,135922,66024,69898,0.4857491796765792
2,252557,36116,216441,0.14300138186627176
3,62880,5579,57301,0.08872455470737914
4,20504,9820,10684,0.47893094030433087
5,107973,35684,72289,0.33049002991488613
6,186018,81984,104034,0.4407315421088282
7,425070,58055,367015,0.13657750488154893
8,321530,28158,293372,0.08757503187882934
9,20311,5608,14703,0.2761065432524248
10,73243,25044,48199,0.3419302868533512
11,189832,78094,111738,0.41138480340511613
12,540436,73115,467321,0.13528891487613703
13,622684,50240,572444,0.08068297884641328
14,60019,8334,51685,0.138856028924174
15,22038,9279,12759,0.4210454669207732
16,143677,54263,89414,0.37767353160213535
17,443461,58759,384702,0.13250094145821165
18,855575,63314,792261,0.07400169476667738
19,126298,11727,114571,0.09285182663225071
20,9835,3365,6470,0.3421453990849009
21,64036,27609,36427,0.4311481041913923
22,255948,37916,218032,0.1481394658289965
23,746254,50915,695339,0.06822743998692134
24,190344,13820,176524,0.07260538813936872
25,8639,1005,7634,0.11633290890149323
26,24443,10080,14363,0.41238800474573495
27,113105,17613,95492,0.1557225586844083
28,456912,29521,427391,0.06460981545680569
29,151941,10254,141687,0.06748672181965368
30,11870,1321,10549,0.11128896377422072
31,4074,1739,2335,0.4268532155130093
32,26632,5403,21229,0.2028762391108441
33,194035,11552,182483,0.059535650784652255
34,115897,6221,109676,0.05367697179392046
35,11797,584,11213,0.0495041112147156
36,547,30,517,0.054844606946983544
37,1280,464,816,0.3625
38,23825,1428,22397,0.05993704092339979
39,25754,1519,24235,0.05898112914498719
40,6342,740,5602,0.11668243456322927
41,495,23,472,0.046464646464646465
42,37,1,36,0.02702702702702703
