v,change,type,nodes_before,nodes_after
-32,-1,merge,6,5
-28,2,branch,5,7
-27,6,branch,7,13
-26,-12,merge,13,1
-25,1,branch,1,2
-23,14,branch,2,16
-22,25,branch,16,41
-21,-27,merge,41,14
-20,3,branch,14,17
-19,-11,merge,17,6
-18,13,branch,6,19
-17,53,branch,19,72
-16,-44,merge,72,28
-15,25,branch,28,53
-14,-20,merge,53,33
-13,-27,merge,33,6
-12,77,branch,6,83
-11,-6,merge,83,77
-10,88,branch,77,165
-9,-35,merge,165,130
-8,-117,merge,130,13
-7,64,branch,13,77
-6,21,branch,77,98
-5,194,branch,98,292
-4,20,branch,292,312
-3,-289,merge,312,23
-2,12,branch,23,35
-1,69,branch,35,104
0,380,branch,104,484
1,57,branch,484,541
2,492,branch,541,1033
3,-784,merge,1033,249
4,-165,merge,249,84
5,362,branch,84,446
6,261,branch,446,707
7,979,branch,707,1686
8,-404,merge,1686,1282
9,-1199,merge,1282,83
10,209,branch,83,292
11,446,branch,292,738
12,1344,branch,738,2082
13,316,branch,2082,2398
14,-2147,merge,2398,251
15,-173,merge,251,78
16,504,branch,78,582
17,1120,branch,582,1702
18,1612,branch,1702,3314
19,-2788,merge,3314,526
20,-492,merge,526,34
21,214,branch,34,248
22,755,branch,248,1003
23,1926,branch,1003,2929
24,-2196,merge,2929,733
25,-702,merge,733,31
26,74,branch,31,105
27,325,branch,105,430
28,1346,branch,430,1776
29,-1127,merge,1776,649
30,-601,merge,649,48
31,-36,merge,48,12
32,92,branch,12,104
33,663,branch,104,767
34,-297,merge,767,470
35,-415,merge,470,55
36,-54,merge,55,1
37,2,branch,1,3
38,82,branch,3,85
39,7,branch,85,92
40,-58,merge,92,34
41,-33,merge,34,1
