depth,mean_states,std_states,min_states,max_states,n_seeds
0,4.0,0.0,4,4,20
1,8475.7,553.3310705935554,7265,9591,20
2,8475.7,553.3310705935554,7265,9591,20
3,8475.7,553.3310705935554,7265,9591,20
4,8475.7,553.3310705935554,7265,9591,20
5,1824025.35,645751.9035662204,927405,3668960,20
6,1082426.9,381594.62533839146,550342,2176891,20
7,644207.5,219976.38320785834,341994,1294410,20
8,322103.75,109988.19160392917,170997,647205,20
9,8663573.5,6754022.949606417,1475439,27139363,20
10,4047433.7,3180788.193006406,708421,12916695,20
11,1886557.05,1433375.9948808185,373488,6108165,20
12,628852.35,477791.99829360616,124496,2036055,20
13,3155938.35,3196278.868279459,261170,11278241,20
14,1300901.95,1332731.0736697773,114314,4765070,20
15,531652.0,512875.0511234116,57156,1906080,20
16,132913.0,128218.7627808529,14289,476520,20
17,196049.4,191162.69668046472,17560,701911,20
18,76612.15,73658.57542335018,7244,281262,20
19,29451.25,25771.276129739155,3490,104540,20
20,5890.25,5154.255225947831,698,20908,20
21,3593.0,2906.6492012190542,456,12222,20
22,1413.85,1086.8864403471628,200,4772,20
23,538.5,356.24821329191843,96,1590,20
24,89.75,59.374702215319736,16,265,20
25,34.55,17.424951861294222,10,69,20
26,18.1,7.63578831280011,8,31,20
27,7.0,0.0,7,7,20
28,1.0,0.0,1,1,20
