lag,mean_acf,std_acf
0,1.0,0.0
1,0.7265800893034534,0.16805988346973158
2,0.6030063759911801,0.17534307283330736
3,0.46924600618097845,0.20794620271874906
4,0.32427225743240773,0.26551462950411586
5,0.15734171799903526,0.24580291468896268
6,0.048201664257802916,0.23659028961829418
7,-0.071902580382546,0.25061083355694197
8,-0.20632394145579774,0.2940777444866917
9,-0.3161778585868638,0.2302040459740706
10,-0.3713690370096013,0.2285721599773172
11,-0.4352790941106021,0.2810192823081257
12,-0.507130775300157,0.38904321661228464
13,-0.6324514465334015,0.39429382999199203
14,-0.6754603518168901,0.42700713002735435
15,-0.7224130554276714,0.5119041737592188
