count_diff,res_mean,res_std,res_var,n_samples,V_mean,V_std
-25,-0.8,2.9496,8.7,5,-25.8,2.9496
-20,-2.08,3.3407,11.16,25,-22.08,3.3407
-15,-1.9167,4.7033,22.1206,48,-16.9167,4.7033
-10,-2.2925,5.5497,30.7994,106,-12.2925,5.5497
-5,-0.5255,6.3339,40.1188,137,-5.5255,6.3339
0,0.2,7.4213,55.0763,250,0.2,7.4213
5,2.7993,6.2178,38.661,269,7.7993,6.2178
10,3.3893,5.874,34.5038,280,13.3893,5.874
15,3.43,5.1261,26.2765,200,18.43,5.1261
20,4.0339,3.9526,15.6228,118,24.0339,3.9526
25,3.6818,3.2477,10.5476,44,28.6818,3.2477
30,3.375,0.8062,0.65,16,33.375,0.8062
35,2.5,0.7071,0.5,2,37.5,0.7071
