base_seed,decl_id,p0_count_points,n_counts_held,holds_3_2,holds_4_1,holds_5_0,holds_5_5,holds_6_4,V_opp0,V_opp1,V_opp2,V_mean,V_std,V_spread,V_min,V_max
0,0,0,0,False,False,False,False,False,40,42.0,42.0,41.333333333333336,0.9428090415820634,2,40,42
1,1,5,1,False,True,False,False,False,6,42.0,-6.0,14.0,20.396078054371138,48,-6,42
2,2,15,2,False,False,True,True,False,42,-6.0,6.0,14.0,20.396078054371138,48,-6,42
3,3,10,1,False,False,False,False,True,18,42.0,-8.0,17.333333333333332,20.417857108151406,50,-8,42
4,4,5,1,False,True,False,False,False,-4,18.0,-26.0,-4.0,17.962924780409974,44,-26,18
5,5,0,0,False,False,False,False,False,4,-16.0,28.0,5.333333333333333,17.98765008430939,44,-16,28
6,6,0,0,False,False,False,False,False,4,-28.0,40.0,5.333333333333333,27.776888874666213,68,-28,40
7,7,5,1,True,False,False,False,False,40,-16.0,40.0,21.333333333333332,26.398653164297773,56,-16,40
8,8,15,2,True,False,False,True,False,-4,-6.0,26.0,5.333333333333333,14.636332266733431,32,-6,26
9,9,0,0,False,False,False,False,False,42,-14.0,6.0,11.333333333333334,23.170862929310353,56,-14,42
10,0,10,1,False,False,False,False,True,-16,-6.0,14.0,-2.6666666666666665,12.472191289246473,30,-16,14
11,1,5,1,False,True,False,False,False,20,-24.0,-42.0,-15.333333333333334,26.042699979499478,62,-42,20
12,2,10,1,False,False,False,True,False,36,42.0,42.0,40.0,2.8284271247461903,6,36,42
13,3,0,0,False,False,False,False,False,40,40.0,30.0,36.666666666666664,4.714045207910317,10,30,40
14,4,20,3,False,True,True,False,True,6,10.0,4.0,6.666666666666667,2.494438257849294,6,4,10
15,5,20,3,True,False,True,True,False,18,28.0,40.0,28.666666666666668,8.993825042154695,22,18,40
16,6,0,0,False,False,False,False,False,-18,16.0,28.0,8.666666666666666,19.48218559493661,46,-18,28
17,7,10,1,False,False,False,True,False,18,18.0,20.0,18.666666666666668,0.9428090415820634,2,18,20
18,8,15,2,False,True,False,False,True,6,24.0,4.0,11.333333333333334,8.993825042154695,20,4,24
19,9,15,2,False,False,True,True,False,18,8.0,40.0,22.0,13.366625103842281,32,8,40
20,0,5,1,False,True,False,False,False,-18,26.0,40.0,16.0,24.711670657134185,58,-18,40
21,1,10,2,True,True,False,False,False,40,26.0,38.0,34.666666666666664,6.182412330330469,14,26,40
22,2,5,1,False,False,True,False,False,42,6.0,-14.0,11.333333333333334,23.170862929310356,56,-14,42
23,3,20,2,False,False,False,True,True,36,-42.0,38.0,10.666666666666666,37.24990678586398,80,-42,38
24,4,25,3,False,False,True,True,True,24,42.0,-20.0,15.333333333333334,26.042699979499478,62,-20,42
25,5,15,2,False,True,False,False,True,-26,42.0,-2.0,4.666666666666667,28.158282775923837,68,-26,42
26,6,15,2,True,False,False,False,True,-6,-28.0,38.0,1.3333333333333333,27.438820836342234,66,-28,38
27,7,0,0,False,False,False,False,False,-26,20.0,18.0,4.0,21.228911104120876,46,-26,20
28,8,20,3,True,True,False,True,False,-6,40.0,30.0,21.333333333333332,19.754043186705406,46,-6,40
29,9,15,2,True,False,False,True,False,20,6.0,8.0,11.333333333333334,6.182412330330469,14,6,20
30,0,10,2,False,True,True,False,False,40,4.0,42.0,28.666666666666668,17.46106780494506,38,4,42
31,1,15,2,True,False,False,True,False,40,-8.0,-42.0,-3.3333333333333335,33.6386021641143,82,-42,40
32,2,10,1,False,False,False,False,True,28,-8.0,-42.0,-7.333333333333333,28.58126814696802,70,-42,28
33,3,5,1,False,True,False,False,False,18,12.0,42.0,24.0,12.96148139681572,30,12,42
34,4,25,3,False,False,True,True,True,42,40.0,18.0,33.333333333333336,10.873004286866726,24,18,42
35,5,5,1,False,False,True,False,False,-8,38.0,-6.0,8.0,21.228911104120876,46,-8,38
36,6,5,1,False,False,True,False,False,-4,-40.0,18.0,-8.666666666666666,23.907228102721476,58,-40,18
37,7,10,2,True,False,True,False,False,-8,2.0,2.0,-1.3333333333333333,4.714045207910317,10,-8,2
38,8,5,1,True,False,False,False,False,-40,-28.0,6.0,-20.666666666666668,19.48218559493661,46,-40,6
39,9,10,1,False,False,False,True,False,42,16.0,42.0,33.333333333333336,12.256517540566824,26,16,42
40,0,0,0,False,False,False,False,False,-38,-40.0,8.0,-23.333333333333332,22.17105219775452,48,-40,8
41,1,0,0,False,False,False,False,False,-40,-26.0,4.0,-20.666666666666668,18.354533197248273,44,-40,4
42,2,0,0,False,False,False,False,False,20,-4.0,42.0,19.333333333333332,18.785337071473826,46,-4,42
43,3,10,1,False,False,False,True,False,-20,4.0,38.0,7.333333333333333,23.79542439676633,58,-20,38
44,4,20,3,False,True,True,False,True,10,42.0,42.0,31.333333333333332,15.084944665313014,32,10,42
45,5,0,0,False,False,False,False,False,-20,42.0,4.0,8.666666666666666,25.525586292102197,62,-20,42
46,6,5,1,True,False,False,False,False,6,4.0,16.0,8.666666666666666,5.2493385826745405,12,4,16
47,7,0,0,False,False,False,False,False,40,40.0,-4.0,25.333333333333332,20.741798914805393,44,-4,40
48,8,15,2,False,True,False,True,False,-4,2.0,26.0,8.0,12.96148139681572,30,-4,26
49,9,5,1,False,False,True,False,False,42,42.0,-4.0,26.666666666666668,21.684607956387456,46,-4,42
50,0,10,1,False,False,False,False,True,8,40.0,42.0,30.0,15.57776192739723,34,8,42
51,1,10,1,False,False,False,False,True,38,18.0,-4.0,17.333333333333332,17.15290710702481,42,-4,38
