depth,n_states,n_consistent,consistency_rate
0,4,4,1.0
1,4867,4867,1.0
2,4867,4867,1.0
3,4867,4867,1.0
4,4867,4867,1.0
5,50341,24551,0.4876939274150295
6,38575,18750,0.4860661049902787
7,31926,15937,0.49918561673870826
8,15963,9613,0.602205099292113
9,3904,1332,0.3411885245901639
10,2892,584,0.20193637621023514
11,2787,480,0.1722282023681378
12,929,351,0.37782561894510225
13,35,2,0.05714285714285714
14,37,3,0.08108108108108109
15,36,4,0.1111111111111111
16,9,3,0.3333333333333333
17,4,1,0.25
18,29,0,0.0
19,30,1,0.03333333333333333
20,6,0,0.0
21,12,0,0.0
22,2,0,0.0
23,12,2,0.16666666666666666
24,2,0,0.0
25,4,4,1.0
26,4,4,1.0
27,7,0,0.0
28,1,0,0.0
