base_seed,decl_id,n_common_states,total_legal_actions,high_variance_rate
0,0,500000,683456,0.57847
1,1,500000,663577,0.57477
2,2,500000,682164,0.7062
3,3,500000,650941,0.667522
4,4,421771,569384,0.6505971249801432
5,5,500000,675480,0.648492
6,6,500000,739680,0.728478
7,7,500000,691728,0.536598
8,8,387747,509139,0.532439967298264
9,9,500000,695979,0.658522
10,0,500000,651317,0.569882
11,1,500000,707485,0.72958
12,2,500000,712263,0.485054
13,3,500000,653424,0.76193
14,4,500000,760733,0.618386
15,5,500000,669704,0.45013
16,6,500000,694601,0.730444
17,7,500000,695040,0.383168
18,8,500000,716835,0.623852
19,9,500000,697612,0.616712
20,0,203427,261081,0.7629714836280337
21,1,500000,695248,0.654428
22,2,500000,735037,0.51858
23,3,500000,687601,0.557538
24,4,500000,715704,0.53124
25,5,500000,701203,0.679924
26,6,500000,712528,0.500714
27,7,500000,647107,0.637532
28,8,500000,664055,0.608788
29,9,500000,700262,0.495564
30,0,500000,733743,0.515438
31,1,500000,725635,0.763152
32,2,500000,696674,0.605066
33,3,500000,688723,0.701206
34,4,500000,665149,0.405492
35,5,500000,673217,0.675936
36,6,500000,699589,0.568722
37,7,249233,324850,0.7526009798060449
38,8,462261,596182,0.5265834669158765
39,9,500000,683045,0.496442
40,0,500000,704000,0.666144
41,1,500000,707880,0.541848
42,2,500000,711190,0.731
43,3,500000,683824,0.654548
44,4,500000,953760,0.40541
45,5,500000,632837,0.7401
46,6,500000,786427,0.711538
47,7,500000,652305,0.677058
48,8,500000,674829,0.544004
49,9,500000,697728,0.633968
50,0,442291,574263,0.5761048721316961
51,1,500000,674109,0.761512
52,2,308666,395075,0.5811297648591034
53,3,500000,668807,0.689164
54,4,341924,448828,0.6413267275768885
55,5,500000,656333,0.458062
56,6,500000,711836,0.719578
57,7,500000,803964,0.550462
58,8,500000,690285,0.636752
59,9,500000,665235,0.692662
60,0,500000,726344,0.790808
61,1,500000,667112,0.712668
62,2,395759,564316,0.2895373194292486
63,3,500000,684343,0.714946
64,4,500000,714884,0.582456
65,5,500000,658514,0.132822
66,6,500000,714142,0.573332
67,7,120615,141328,0.6773452721469138
68,8,500000,638344,0.593368
69,9,308657,381353,0.4342781793382298
70,0,500000,740407,0.620998
71,1,500000,695133,0.73675
72,2,500000,688871,0.667114
73,3,500000,725684,0.59879
74,4,500000,678005,0.513218
75,5,500000,674705,0.596326
76,6,500000,729229,0.4359
77,7,365567,612656,0.5079807531861464
78,8,302048,371408,0.5029465515414768
79,9,500000,690108,0.675468
80,0,500000,643675,0.577734
81,1,488400,684054,0.6189660114660115
82,2,500000,686186,0.575694
83,3,500000,747832,0.696158
84,4,500000,654428,0.556748
85,5,500000,728997,0.673106
86,6,500000,707034,0.734562
87,7,500000,787133,0.480618
88,8,500000,736094,0.641546
89,9,500000,681315,0.612338
90,0,500000,660464,0.625936
91,1,500000,757907,0.630732
92,2,359187,495437,0.682510781292196
93,3,500000,673931,0.570504
94,4,384205,517675,0.7320232688278393
95,5,500000,717970,0.641592
96,6,500000,1022844,0.347594
97,7,500000,811186,0.547812
98,8,500000,684312,0.63635
99,9,500000,748741,0.627692
100,0,500000,721405,0.250506
101,1,460894,634788,0.7151058594817897
102,2,500000,660889,0.725242
103,3,500000,765889,0.482482
104,4,500000,684879,0.563478
105,5,500000,669877,0.536376
106,6,500000,737397,0.480636
107,7,500000,694154,0.47051
108,8,500000,654501,0.550112
109,9,500000,690798,0.542802
110,0,500000,717745,0.756592
111,1,500000,662584,0.669136
112,2,195535,250319,0.4788861329173805
113,3,500000,704644,0.674566
114,4,500000,658230,0.602642
115,5,500000,773693,0.368456
116,6,500000,698391,0.56716
117,7,500000,685542,0.487278
118,8,500000,701086,0.623342
119,9,500000,736620,0.607364
120,0,500000,733921,0.514666
121,1,500000,692910,0.640072
122,2,500000,690291,0.720206
123,3,500000,709226,0.46519
124,4,500000,677952,0.599512
125,5,500000,678487,0.379318
126,6,500000,737396,0.61083
127,7,445481,619538,0.5717864510495397
128,8,500000,708970,0.547292
129,9,500000,672153,0.609086
130,0,500000,669317,0.636016
131,1,471463,642063,0.6591630732422269
132,2,500000,745677,0.608562
133,3,361565,453692,0.6038084438482707
134,4,500000,1104203,0.346804
135,5,500000,648302,0.661008
136,6,500000,697940,0.43958
137,7,500000,676782,0.549758
138,8,500000,793337,0.66302
139,9,500000,681417,0.629226
140,0,500000,702374,0.511634
141,1,167019,224139,0.5874720840143935
142,2,489344,733869,0.8646575823960241
143,3,500000,663631,0.639608
144,4,500000,747780,0.553186
145,5,500000,672858,0.694584
146,6,500000,733428,0.684788
147,7,500000,671507,0.513864
148,8,500000,705383,0.71031
149,9,500000,763882,0.631542
150,0,500000,679735,0.63302
151,1,500000,736523,0.774192
152,2,500000,727509,0.733364
153,3,500000,663451,0.712276
154,4,500000,659372,0.536116
155,5,500000,687456,0.744422
156,6,500000,703434,0.6691
157,7,500000,716850,0.516566
158,8,356515,486829,0.5378763866877971
159,9,500000,695203,0.604114
160,0,500000,782916,0.591696
161,1,500000,650632,0.633406
162,2,500000,741300,0.343236
163,3,500000,723306,0.513278
164,4,500000,686543,0.674016
165,5,500000,673922,0.546546
166,6,500000,735584,0.631738
167,7,500000,690697,0.515828
168,8,500000,692160,0.58672
169,9,500000,705814,0.542436
170,0,500000,670798,0.716082
171,1,500000,802912,0.623954
172,2,500000,703962,0.550044
173,3,500000,724491,0.676386
174,4,470232,662558,0.6934534442573028
175,5,165528,222248,0.40152723406311924
176,6,500000,701754,0.67723
177,7,500000,691107,0.70079
178,8,500000,641488,0.63611
179,9,500000,727534,0.64497
180,0,450402,599529,0.575286077770525
181,1,500000,726842,0.48484
182,2,500000,783357,0.57221
183,3,500000,686962,0.66865
184,4,500000,751993,0.565352
185,5,500000,660215,0.670774
186,6,500000,707887,0.495548
187,7,481906,657847,0.6903379497246351
188,8,500000,652473,0.635604
189,9,500000,741294,0.667428
190,0,500000,669250,0.538422
191,1,500000,717892,0.626498
192,2,500000,715148,0.624486
193,3,424443,530663,0.5914315938771519
194,4,500000,683360,0.629362
195,5,500000,632318,0.659412
196,6,500000,715937,0.6286
197,7,500000,751046,0.592998
198,8,500000,718209,0.556068
199,9,500000,766813,0.637732
