base_seed,decl_id,V_mean,V_std,V_spread,p_capture_3-2,p_capture_4-1,p_capture_5-0,p_capture_5-5,p_capture_6-4
0,0,41.333333333333336,0.9428090415820634,2.0,0.30317460317460315,0.6,0.30317460317460315,0.6,0.3
1,1,14.0,20.396078054371138,48.0,0.4952380952380952,0.6666666666666666,0.06666666666666667,0.3,0.06666666666666667
2,2,14.0,20.396078054371138,48.0,0.3,0.06666666666666667,0.6666666666666666,0.6666666666666666,0.24761904761904763
3,3,17.333333333333332,20.417857108151406,50.0,0.2761904761904762,0.05873015873015874,0.05873015873015874,0.3,0.7063492063492063
4,4,-4.0,17.962924780409974,44.0,0.4166666666666667,0.4523809523809524,0.10952380952380954,0.2761904761904762,0.10952380952380954
5,5,5.333333333333333,17.98765008430939,44.0,0.4095238095238095,0.32380952380952377,0.19523809523809527,0.3,0.0873015873015873
6,6,5.333333333333333,27.776888874666213,68.0,0.28095238095238095,0.16666666666666669,0.0873015873015873,0.16666666666666669,0.0873015873015873
7,7,21.333333333333332,26.398653164297773,56.0,0.753968253968254,0.45238095238095244,0.19523809523809527,0.30317460317460315,0.04920634920634921
8,8,5.333333333333333,14.636332266733431,32.0,0.5634920634920635,0.0873015873015873,0.0873015873015873,0.5634920634920635,0.29523809523809524
9,9,11.333333333333334,23.170862929310353,56.0,0.3380952380952381,0.3,0.07301587301587302,0.24761904761904763,0.24761904761904763
10,0,-2.6666666666666665,12.472191289246473,30.0,0.3952380952380953,0.2880952380952381,0.21904761904761905,0.26666666666666666,0.46825396825396826
11,1,-15.333333333333334,26.042699979499478,62.0,0.13650793650793652,0.31746031746031744,0.1761904761904762,0.16666666666666669,0.13650793650793652
12,2,40.0,2.8284271247461903,6.0,0.30952380952380953,0.6023809523809524,0.004761904761904762,0.9,0.3
13,3,36.666666666666664,4.714045207910317,10.0,0.6055555555555555,0.012698412698412704,0.012698412698412704,0.30317460317460315,0.012698412698412704
14,4,6.666666666666667,2.494438257849294,6.0,0.4238095238095238,0.5793650793650793,0.5793650793650793,0.24285714285714288,0.5793650793650793
15,5,28.666666666666668,8.993825042154695,22.0,0.8412698412698413,0.031746031746031744,0.8412698412698413,0.8412698412698413,0.30317460317460315
16,6,8.666666666666666,19.48218559493661,46.0,0.1904761904761905,0.07936507936507937,0.07936507936507937,0.2714285714285714,0.07936507936507937
17,7,18.666666666666668,0.9428090415820634,2.0,0.4952380952380952,0.2761904761904762,0.05555555555555556,0.7222222222222223,0.05555555555555556
18,8,11.333333333333334,8.993825042154695,20.0,0.4738095238095238,0.634920634920635,0.07301587301587302,0.29047619047619044,0.634920634920635
19,9,22.0,13.366625103842281,32.0,0.2761904761904762,0.047619047619047616,0.7619047619047619,0.7619047619047619,0.30317460317460315
20,0,16.0,24.711670657134185,58.0,0.06190476190476191,0.6904761904761905,0.6023809523809524,0.30317460317460315,0.06190476190476191
21,1,34.666666666666664,6.182412330330469,14.0,0.9,0.9,0.30317460317460315,0.5952380952380951,0.3063492063492063
22,2,11.333333333333334,23.170862929310356,56.0,0.07301587301587302,0.07301587301587302,0.634920634920635,0.24761904761904763,0.07301587301587302
23,3,10.666666666666666,37.24990678586398,80.0,0.34523809523809523,0.30952380952380953,0.35238095238095235,0.626984126984127,0.626984126984127
24,4,15.333333333333334,26.042699979499478,62.0,0.6023809523809524,0.3,0.6825396825396826,0.6825396825396826,0.6825396825396826
25,5,4.666666666666667,28.158282775923837,68.0,0.17142857142857143,0.5555555555555556,0.0888888888888889,0.3,0.5555555555555556
