base_seed,decl_id,trump_suit,V_mean,V_std,V_min,V_max,max_suit_length,n_doubles,trump_count,n_6_high,n_5_high,n_4_high,count_points,n_count_dominoes,total_pips,has_trump_double,pip_0_count,pip_1_count,pip_2_count,pip_3_count,pip_4_count,pip_5_count,pip_6_count
0,0,0,41.333333333333336,0.9428090415820634,40.0,42.0,3,3,3,0,1,2,0,0,29,1,3,1,3,1,2,1,0
1,1,1,14.0,20.396078054371138,-6.0,42.0,3,1,3,3,0,2,5,1,40,0,2,3,2,0,2,1,3
2,2,2,14.0,20.396078054371138,-6.0,42.0,3,2,3,1,3,0,15,2,36,0,3,1,3,1,0,3,1
3,3,3,17.333333333333332,20.417857108151406,-8.0,42.0,3,1,2,3,0,1,10,1,40,0,2,2,2,2,2,0,3
4,4,4,-4.0,17.962924780409974,-26.0,18.0,3,2,2,1,3,2,5,1,49,1,1,2,1,2,2,3,1
5,5,5,5.333333333333333,17.98765008430939,-16.0,28.0,3,3,0,2,0,2,0,0,43,0,1,2,1,3,2,0,2
6,6,6,5.333333333333333,27.776888874666213,-28.0,40.0,3,3,1,1,3,2,0,0,53,1,0,1,2,1,3,3,1
7,7,7,21.333333333333332,26.398653164297773,-16.0,40.0,3,3,0,2,0,1,5,1,45,0,0,2,2,3,1,1,2
8,8,8,5.333333333333333,14.636332266733431,-6.0,26.0,3,3,0,1,2,1,15,2,47,0,1,0,2,3,2,2,1
9,9,9,11.333333333333334,23.170862929310353,-14.0,42.0,4,0,0,2,1,2,0,0,38,0,2,2,4,1,2,1,2
10,0,0,-2.6666666666666665,12.472191289246473,-16.0,14.0,3,1,1,2,0,2,10,1,41,0,1,2,3,2,3,0,2
11,1,1,-15.333333333333334,26.042699979499478,-42.0,20.0,4,1,1,2,0,4,5,1,45,0,2,1,1,2,4,1,2
12,2,2,40.0,2.8284271247461903,36.0,42.0,3,2,3,1,2,1,10,1,37,1,3,1,3,1,1,2,1
13,3,3,36.666666666666664,4.714045207910317,30.0,40.0,3,2,1,1,2,2,0,0,44,0,3,1,1,1,3,2,1
14,4,4,6.666666666666667,2.494438257849294,4.0,10.0,3,1,3,2,2,2,20,3,45,0,2,1,1,1,3,3,2
15,5,5,28.666666666666668,8.993825042154695,18.0,40.0,3,3,3,0,3,1,20,3,44,1,1,1,1,3,2,3,0
16,6,6,8.666666666666666,19.48218559493661,-18.0,28.0,3,1,1,1,2,1,0,0,38,1,3,2,2,2,1,2,1
17,7,7,18.666666666666668,0.9428090415820634,18.0,20.0,2,3,0,2,2,2,10,1,50,0,2,2,0,1,2,2,2
18,8,8,11.333333333333334,8.993825042154695,4.0,24.0,3,1,0,3,1,2,15,2,42,0,1,3,2,0,3,1,3
19,9,9,22.0,13.366625103842281,8.0,40.0,3,3,0,1,3,0,15,2,36,0,2,2,2,1,0,3,1
20,0,0,16.0,24.711670657134185,-18.0,40.0,3,1,0,2,3,2,5,1,53,0,0,3,1,1,3,3,2
21,1,1,34.666666666666664,6.182412330330469,26.0,40.0,4,1,2,0,1,3,10,2,36,0,2,2,3,1,4,1,0
22,2,2,11.333333333333334,23.170862929310356,-14.0,42.0,3,1,3,3,2,2,5,1,51,0,2,0,3,1,2,2,3
23,3,3,10.666666666666666,37.24990678586398,-42.0,38.0,3,2,0,2,3,1,20,2,52,0,1,0,3,0,3,3,2
24,4,4,15.333333333333334,26.042699979499478,-20.0,42.0,4,1,1,3,3,0,25,3,51,0,3,0,2,0,1,4,3
25,5,5,4.666666666666667,28.158282775923837,-26.0,42.0,4,2,1,3,0,1,15,2,47,0,0,4,1,1,2,1,3
26,6,6,1.3333333333333333,27.438820836342234,-28.0,38.0,3,2,2,2,1,1,15,2,44,0,0,3,1,3,2,1,2
27,7,7,4.0,21.228911104120876,-26.0,20.0,4,2,0,2,1,1,0,0,38,0,1,2,4,0,1,2,2
28,8,8,21.333333333333332,19.754043186705406,-6.0,40.0,3,1,0,3,1,1,20,3,47,0,2,2,1,2,1,2,3
29,9,9,11.333333333333334,6.182412330330469,6.0,20.0,3,1,0,3,1,0,15,2,42,0,2,2,3,2,0,1,3
30,0,0,28.666666666666668,17.46106780494506,4.0,42.0,3,1,3,2,1,3,10,2,42,0,3,1,1,1,3,2,2
31,1,1,-3.3333333333333335,33.6386021641143,-42.0,40.0,4,3,0,1,1,1,15,2,46,0,1,0,2,4,1,2,1
32,2,2,-7.333333333333333,28.58126814696802,-42.0,28.0,4,0,1,4,2,1,10,1,59,0,1,0,1,2,3,3,4
33,3,3,24.0,12.96148139681572,12.0,42.0,2,4,0,2,0,2,5,1,37,0,2,2,2,0,2,0,2
34,4,4,33.333333333333336,10.873004286866726,18.0,42.0,3,3,2,3,2,1,25,3,56,1,2,0,1,1,2,2,3
35,5,5,8.0,21.228911104120876,-8.0,38.0,4,2,1,1,1,1,5,1,30,0,4,2,1,2,1,1,1
36,6,6,-8.666666666666666,23.907228102721476,-40.0,18.0,3,0,3,3,2,1,5,1,43,0,3,1,3,0,2,2,3
37,7,7,-1.3333333333333333,4.714045207910317,-8.0,2.0,3,1,0,1,2,2,10,2,39,0,2,1,3,2,2,2,1
38,8,8,-20.666666666666668,19.48218559493661,-40.0,6.0,3,1,0,2,1,2,5,1,35,0,3,1,3,1,2,1,2
39,9,9,33.333333333333336,12.256517540566824,16.0,42.0,2,4,0,1,1,2,10,1,42,0,1,2,1,2,2,1,1
40,0,0,-23.333333333333332,22.17105219775452,-40.0,8.0,3,1,1,3,1,2,0,0,50,0,1,1,2,1,3,2,3
41,1,1,-20.666666666666668,18.354533197248273,-40.0,4.0,4,1,1,2,1,1,0,0,40,0,4,1,1,1,2,2,2
42,2,2,19.333333333333332,18.785337071473826,-4.0,42.0,3,2,1,2,2,1,0,0,43,1,3,1,1,2,1,2,2
43,3,3,7.333333333333333,23.79542439676633,-20.0,38.0,3,2,2,3,2,1,10,1,54,0,1,1,2,2,1,2,3
44,4,4,31.333333333333332,15.084944665313014,10.0,42.0,4,2,4,3,1,3,20,3,55,1,2,1,0,0,4,2,3
45,5,5,8.666666666666666,25.525586292102197,-20.0,42.0,4,2,2,1,2,1,0,0,42,0,1,2,1,4,1,2,1
46,6,6,8.666666666666666,5.2493385826745405,4.0,16.0,4,2,1,1,0,2,5,1,38,0,2,1,2,4,2,0,1
47,7,7,25.333333333333332,20.741798914805393,-4.0,40.0,3,2,0,3,0,0,0,0,43,0,2,0,3,3,0,1,3
48,8,8,8.0,12.96148139681572,-4.0,26.0,3,3,0,1,2,2,15,2,41,0,2,2,1,0,3,2,1
49,9,9,26.666666666666668,21.684607956387456,-4.0,42.0,3,2,0,3,1,1,5,1,44,0,3,1,1,1,1,2,3
50,0,0,30.0,15.57776192739723,8.0,42.0,3,2,2,1,1,1,10,1,35,1,2,2,1,3,2,1,1
51,1,1,17.333333333333332,17.15290710702481,-4.0,38.0,3,1,1,2,2,1,10,1,44,1,2,1,1,2,3,2,2
52,2,2,32.666666666666664,13.199326582148887,14.0,42.0,3,3,2,1,3,0,10,1,45,0,1,1,2,2,1,3,1
53,3,3,6.666666666666667,23.79542439676633,-14.0,40.0,4,1,3,1,1,1,5,1,41,1,1,1,4,3,1,2,1
54,4,4,-20.0,5.656854249492381,-28.0,-16.0,3,2,2,2,2,1,5,1,45,0,1,3,1,1,2,2,2
55,5,5,32.666666666666664,10.498677165349081,18.0,42.0,3,1,3,0,3,1,10,1,37,1,3,2,2,1,2,3,0
56,6,6,-7.333333333333333,26.144895401503437,-40.0,24.0,4,1,1,1,1,2,5,1,40,0,2,1,2,4,2,1,1
57,7,7,29.333333333333332,16.519348924485154,6.0,42.0,4,2,0,4,1,0,10,1,49,0,2,2,2,1,0,1,4
