base_seed,decl_id,V_mean,total_locked,total_lock_rate,lock_rate_3-2,locked_3-2,lock_rate_4-1,locked_4-1,lock_rate_5-0,locked_5-0,lock_rate_5-5,locked_5-5,lock_rate_6-4,locked_6-4,n_doubles,trump_count,n_6_high,n_5_high,count_points,n_count_dominoes,total_pips,has_trump_double,max_suit_length,suit_5_length,suit_6_length,suit_4_length,suit_3_length,holds_3-2,holds_4-1,holds_5-0,holds_5-5,holds_6-4
0,0,41.333333333333336,0,0.4666666666666667,0.3333333333333333,0,0.6666666666666666,0,0.3333333333333333,0,0.6666666666666666,0,0.3333333333333333,0,3,3,0,1,0,0,29,1,3,1,0,2,1,0,0,0,0,0
1,1,14.0,0,0.26666666666666666,0.3333333333333333,0,0.6666666666666666,0,0.0,0,0.3333333333333333,0,0.0,0,1,3,3,0,5,1,40,0,3,1,3,2,0,0,1,0,0,0
2,2,14.0,0,0.39999999999999997,0.3333333333333333,0,0.0,0,0.6666666666666666,0,0.6666666666666666,0,0.3333333333333333,0,2,3,1,3,15,2,36,0,3,3,1,0,1,0,0,1,1,0
3,3,17.333333333333332,0,0.26666666666666666,0.3333333333333333,0,0.0,0,0.0,0,0.3333333333333333,0,0.6666666666666666,0,1,2,3,0,10,1,40,0,3,0,3,2,2,0,0,0,0,1
4,4,-4.0,0,0.2,0.3333333333333333,0,0.3333333333333333,0,0.0,0,0.3333333333333333,0,0.0,0,2,2,1,3,5,1,49,1,3,3,1,2,2,0,1,0,0,0
5,5,5.333333333333333,0,0.2,0.3333333333333333,0,0.3333333333333333,0,0.0,0,0.3333333333333333,0,0.0,0,3,0,2,0,0,0,43,0,3,0,2,2,3,0,0,0,0,0
6,6,5.333333333333333,0,0.06666666666666667,0.3333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,0,3,1,1,3,0,0,53,1,3,3,1,3,1,0,0,0,0,0
7,7,21.333333333333332,0,0.26666666666666666,0.6666666666666666,0,0.3333333333333333,0,0.0,0,0.3333333333333333,0,0.0,0,3,0,2,0,5,1,45,0,3,1,2,1,3,1,0,0,0,0
8,8,5.333333333333333,0,0.2,0.3333333333333333,0,0.0,0,0.0,0,0.3333333333333333,0,0.3333333333333333,0,3,0,1,2,15,2,47,0,3,2,1,2,3,1,0,0,1,0
9,9,11.333333333333334,0,0.26666666666666666,0.3333333333333333,0,0.3333333333333333,0,0.0,0,0.3333333333333333,0,0.3333333333333333,0,0,0,2,1,0,0,38,0,4,1,2,2,1,0,0,0,0,0
10,0,-2.6666666666666665,0,0.2,0.3333333333333333,0,0.0,0,0.0,0,0.3333333333333333,0,0.3333333333333333,0,1,1,2,0,10,1,41,0,3,0,2,3,2,0,0,0,0,1
11,1,-15.333333333333334,0,0.06666666666666667,0.0,0,0.3333333333333333,0,0.0,0,0.0,0,0.0,0,1,1,2,0,5,1,45,0,4,1,2,4,2,0,1,0,0,0
12,2,40.0,1,0.4666666666666667,0.3333333333333333,0,0.6666666666666666,0,0.0,0,1.0,1,0.3333333333333333,0,2,3,1,2,10,1,37,1,3,2,1,1,1,0,0,0,1,0
13,3,36.666666666666664,0,0.2,0.6666666666666666,0,0.0,0,0.0,0,0.3333333333333333,0,0.0,0,2,1,1,2,0,0,44,0,3,2,1,3,1,0,0,0,0,0
14,4,6.666666666666667,3,0.8,0.6666666666666666,0,1.0,1,1.0,1,0.3333333333333333,0,1.0,1,1,3,2,2,20,3,45,0,3,3,2,3,1,0,1,1,0,1
15,5,28.666666666666668,3,0.6666666666666667,1.0,1,0.0,0,1.0,1,1.0,1,0.3333333333333333,0,3,3,0,3,20,3,44,1,3,3,0,2,3,1,0,1,1,0
16,6,8.666666666666666,0,0.06666666666666667,0.0,0,0.0,0,0.0,0,0.3333333333333333,0,0.0,0,1,1,1,2,0,0,38,1,3,2,1,1,2,0,0,0,0,0
17,7,18.666666666666668,1,0.4,0.6666666666666666,0,0.3333333333333333,0,0.0,0,1.0,1,0.0,0,3,0,2,2,10,1,50,0,2,2,2,2,1,0,0,0,1,0
18,8,11.333333333333334,2,0.6,0.6666666666666666,0,1.0,1,0.0,0,0.3333333333333333,0,1.0,1,1,0,3,1,15,2,42,0,3,1,3,3,0,0,1,0,0,1
19,9,22.0,2,0.5333333333333333,0.3333333333333333,0,0.0,0,1.0,1,1.0,1,0.3333333333333333,0,3,0,1,3,15,2,36,0,3,3,1,0,1,0,0,1,1,0
20,0,16.0,0,0.3333333333333333,0.0,0,0.6666666666666666,0,0.6666666666666666,0,0.3333333333333333,0,0.0,0,1,0,2,3,5,1,53,0,3,3,2,3,1,0,1,0,0,0
21,1,34.666666666666664,2,0.6666666666666667,1.0,1,1.0,1,0.3333333333333333,0,0.6666666666666666,0,0.3333333333333333,0,1,2,0,1,10,2,36,0,4,1,0,4,1,1,1,0,0,0
22,2,11.333333333333334,0,0.2,0.0,0,0.0,0,0.6666666666666666,0,0.3333333333333333,0,0.0,0,1,3,3,2,5,1,51,0,3,2,3,2,1,0,0,1,0,0
23,3,10.666666666666666,0,0.4666666666666666,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0,0.6666666666666666,0,0.6666666666666666,0,2,0,2,3,20,2,52,0,3,3,2,3,0,0,0,0,1,1
24,4,15.333333333333334,0,0.5999999999999999,0.6666666666666666,0,0.3333333333333333,0,0.6666666666666666,0,0.6666666666666666,0,0.6666666666666666,0,1,1,3,3,25,3,51,0,4,4,3,1,0,0,0,1,1,1
25,5,4.666666666666667,0,0.2,0.0,0,0.3333333333333333,0,0.0,0,0.3333333333333333,0,0.3333333333333333,0,2,1,3,0,15,2,47,0,4,1,3,2,1,0,1,0,0,1
26,6,1.3333333333333333,0,0.2,0.3333333333333333,0,0.0,0,0.0,0,0.3333333333333333,0,0.3333333333333333,0,2,2,2,1,15,2,44,0,3,1,2,2,3,1,0,0,0,1
27,7,4.0,0,0.06666666666666667,0.0,0,0.0,0,0.0,0,0.3333333333333333,0,0.0,0,2,0,2,1,0,0,38,0,4,2,2,1,0,0,0,0,0,0
28,8,21.333333333333332,0,0.4,0.6666666666666666,0,0.6666666666666666,0,0.0,0,0.6666666666666666,0,0.0,0,1,0,3,1,20,3,47,0,3,2,3,1,2,1,1,0,1,0
29,9,11.333333333333334,2,0.4666666666666667,1.0,1,0.0,0,0.0,0,1.0,1,0.3333333333333333,0,1,0,3,1,15,2,42,0,3,1,3,0,2,1,0,0,1,0
30,0,28.666666666666668,2,0.6,0.6666666666666666,0,1.0,1,1.0,1,0.3333333333333333,0,0.0,0,1,3,2,1,10,2,42,0,3,2,2,3,1,0,1,1,0,0
31,1,-3.3333333333333335,0,0.2,0.3333333333333333,0,0.3333333333333333,0,0.0,0,0.3333333333333333,0,0.0,0,3,0,1,1,15,2,46,0,4,2,1,1,4,1,0,0,1,0
32,2,-7.333333333333333,0,0.06666666666666667,0.0,0,0.0,0,0.0,0,0.0,0,0.3333333333333333,0,0,1,4,2,10,1,59,0,4,3,4,3,2,0,0,0,0,1
33,3,24.0,1,0.39999999999999997,0.3333333333333333,0,1.0,1,0.3333333333333333,0,0.3333333333333333,0,0.0,0,4,0,2,0,5,1,37,0,2,0,2,2,0,0,1,0,0,0
34,4,33.333333333333336,3,0.8,0.6666666666666666,0,0.3333333333333333,0,1.0,1,1.0,1,1.0,1,3,2,3,2,25,3,56,1,3,2,3,2,1,0,0,1,1,1
35,5,8.0,0,0.2,0.0,0,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0,0.0,0,2,1,1,1,5,1,30,0,4,1,1,1,2,0,0,1,0,0
36,6,-8.666666666666666,0,0.13333333333333333,0.0,0,0.0,0,0.3333333333333333,0,0.0,0,0.3333333333333333,0,0,3,3,2,5,1,43,0,3,2,3,2,0,0,0,1,0,0
37,7,-1.3333333333333333,0,0.39999999999999997,0.6666666666666666,0,0.0,0,0.6666666666666666,0,0.3333333333333333,0,0.3333333333333333,0,1,0,1,2,10,2,39,0,3,2,1,2,2,1,0,1,0,0
38,8,-20.666666666666668,0,0.2,0.3333333333333333,0,0.0,0,0.0,0,0.3333333333333333,0,0.3333333333333333,0,1,0,2,1,5,1,35,0,3,1,2,2,1,1,0,0,0,0
39,9,33.333333333333336,1,0.4666666666666667,0.6666666666666666,0,0.0,0,0.3333333333333333,0,1.0,1,0.3333333333333333,0,4,0,1,1,10,1,42,0,2,1,1,2,2,0,0,0,1,0
40,0,-23.333333333333332,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,1,3,1,0,0,50,0,3,2,3,3,1,0,0,0,0,0
41,1,-20.666666666666668,0,0.06666666666666667,0.0,0,0.0,0,0.0,0,0.3333333333333333,0,0.0,0,1,1,2,1,0,0,40,0,4,2,2,2,1,0,0,0,0,0
42,2,19.333333333333332,0,0.13333333333333333,0.3333333333333333,0,0.0,0,0.0,0,0.3333333333333333,0,0.0,0,2,1,2,2,0,0,43,1,3,2,2,1,2,0,0,0,0,0
43,3,7.333333333333333,0,0.4,0.3333333333333333,0,0.3333333333333333,0,0.6666666666666666,0,0.6666666666666666,0,0.0,0,2,2,3,2,10,1,54,0,3,2,3,1,2,0,0,0,1,0
44,4,31.333333333333332,3,0.6666666666666667,0.0,0,1.0,1,1.0,1,0.3333333333333333,0,1.0,1,2,4,3,1,20,3,55,1,4,2,3,4,0,0,1,1,0,1
45,5,8.666666666666666,0,0.13333333333333333,0.0,0,0.0,0,0.0,0,0.3333333333333333,0,0.3333333333333333,0,2,2,1,2,0,0,42,0,4,2,1,1,4,0,0,0,0,0
