depth,n_common,n_consistent,rate
28,114,17,0.14912280701754385
27,778,50,0.06426735218508997
26,498,38,0.07630522088353414
25,288,104,0.3611111111111111
24,56,13,0.23214285714285715
23,333,57,0.17117117117117117
22,349,10,0.02865329512893983
21,256,24,0.09375
20,457,99,0.21663019693654267
19,2154,215,0.09981429897864438
18,2296,392,0.17073170731707318
17,4008,964,0.2405189620758483
16,33089,8727,0.26374323793405663
15,132675,22935,0.17286602600339174
14,152525,35005,0.22950336010490083
13,227579,68445,0.30075270565386086
12,1718042,649370,0.3779709692778174
11,5152284,1409623,0.2735918672184996
10,6559652,1851784,0.28229912196561646
9,8757626,2888504,0.32982728424346963
8,7968347,5080293,0.6375592077001667
7,15937848,7877072,0.49423686309469134
6,20364502,9766584,0.47958864891466535
5,26139087,13057034,0.4995214255188026
