base_seed,decl_id,V_mean,V_std,V_spread,basin_0,basin_1,basin_2,all_same_basin,modal_basin,modal_basin_count,basin_spread
0,0,41.333333333333336,0.9428090415820634,2.0,4,4,4,1,4,3,0
1,1,14.0,20.396078054371138,48.0,3,4,1,0,3,1,3
2,2,14.0,20.396078054371138,48.0,4,1,3,0,4,1,3
3,3,17.333333333333332,20.417857108151406,50.0,3,4,1,0,3,1,3
4,4,-4.0,17.962924780409974,44.0,2,3,0,0,2,1,3
5,5,5.333333333333333,17.98765008430939,44.0,2,1,4,0,2,1,3
6,6,5.333333333333333,27.776888874666213,68.0,2,0,4,0,2,1,4
7,7,21.333333333333332,26.398653164297773,56.0,4,1,4,0,4,2,3
8,8,5.333333333333333,14.636332266733431,32.0,2,1,4,0,2,1,3
9,9,11.333333333333334,23.170862929310353,56.0,4,1,3,0,4,1,3
10,0,-2.6666666666666665,12.472191289246473,30.0,1,1,3,0,1,2,2
11,1,-15.333333333333334,26.042699979499478,62.0,4,0,0,0,0,2,4
12,2,40.0,2.8284271247461903,6.0,4,4,4,1,4,3,0
13,3,36.666666666666664,4.714045207910317,10.0,4,4,4,1,4,3,0
14,4,6.666666666666667,2.494438257849294,6.0,3,3,2,0,3,2,1
15,5,28.666666666666668,8.993825042154695,22.0,3,4,4,0,4,2,1
16,6,8.666666666666666,19.48218559493661,46.0,1,3,4,0,1,1,3
17,7,18.666666666666668,0.9428090415820634,2.0,3,3,4,0,3,2,1
18,8,11.333333333333334,8.993825042154695,20.0,3,4,2,0,3,1,2
19,9,22.0,13.366625103842281,32.0,3,3,4,0,3,2,1
20,0,16.0,24.711670657134185,58.0,1,4,4,0,4,2,3
21,1,34.666666666666664,6.182412330330469,14.0,4,4,4,1,4,3,0
22,2,11.333333333333334,23.170862929310356,56.0,4,3,1,0,4,1,3
23,3,10.666666666666666,37.24990678586398,80.0,4,0,4,0,4,2,4
24,4,15.333333333333334,26.042699979499478,62.0,4,4,1,0,4,2,3
25,5,4.666666666666667,28.158282775923837,68.0,0,4,2,0,0,1,4
26,6,1.3333333333333333,27.438820836342234,66.0,1,0,4,0,1,1,4
27,7,4.0,21.228911104120876,46.0,0,4,3,0,0,1,4
28,8,21.333333333333332,19.754043186705406,46.0,1,4,4,0,4,2,3
29,9,11.333333333333334,6.182412330330469,14.0,4,3,3,0,3,2,1
30,0,28.666666666666668,17.46106780494506,38.0,4,2,4,0,4,2,2
31,1,-3.3333333333333335,33.6386021641143,82.0,4,1,0,0,4,1,4
32,2,-7.333333333333333,28.58126814696802,70.0,4,1,0,0,4,1,4
33,3,24.0,12.96148139681572,30.0,3,3,4,0,3,2,1
34,4,33.333333333333336,10.873004286866726,24.0,4,4,3,0,4,2,1
35,5,8.0,21.228911104120876,46.0,1,4,1,0,1,2,3
36,6,-8.666666666666666,23.907228102721476,58.0,2,0,3,0,2,1,3
37,7,-1.3333333333333333,4.714045207910317,10.0,1,2,2,0,2,2,1
38,8,-20.666666666666668,19.48218559493661,46.0,0,0,3,0,0,2,3
39,9,33.333333333333336,12.256517540566824,26.0,4,3,4,0,4,2,1
40,0,-23.333333333333332,22.17105219775452,48.0,0,0,3,0,0,2,3
41,1,-20.666666666666668,18.354533197248273,44.0,0,0,2,0,0,2,2
42,2,19.333333333333332,18.785337071473826,46.0,4,2,4,0,4,2,2
43,3,7.333333333333333,23.79542439676633,58.0,1,2,4,0,1,1,3
44,4,31.333333333333332,15.084944665313014,32.0,3,4,4,0,4,2,1
45,5,8.666666666666666,25.525586292102197,62.0,1,4,2,0,1,1,3
46,6,8.666666666666666,5.2493385826745405,12.0,3,2,3,0,3,2,1
47,7,25.333333333333332,20.741798914805393,44.0,4,4,2,0,4,2,2
48,8,8.0,12.96148139681572,30.0,2,2,4,0,2,2,2
49,9,26.666666666666668,21.684607956387456,46.0,4,4,2,0,4,2,2
50,0,30.0,15.57776192739723,34.0,3,4,4,0,4,2,1
51,1,17.333333333333332,17.15290710702481,42.0,4,3,2,0,4,1,2
52,2,32.666666666666664,13.199326582148887,28.0,4,3,4,0,4,2,1
53,3,6.666666666666667,23.79542439676633,54.0,4,1,1,0,1,2,3
54,4,-20.0,5.656854249492381,12.0,1,0,1,0,1,2,1
55,5,32.666666666666664,10.498677165349081,24.0,3,4,4,0,4,2,1
56,6,-7.333333333333333,26.144895401503437,64.0,0,1,4,0,0,1,4
57,7,29.333333333333332,16.519348924485154,36.0,4,3,4,0,4,2,1
58,8,-10.0,18.83259585576738,44.0,0,1,3,0,0,1,3
59,9,32.666666666666664,6.79869268479038,16.0,4,4,4,1,4,3,0
60,0,18.0,15.57776192739723,34.0,3,3,4,0,3,2,1
61,1,14.666666666666666,28.110891523077353,66.0,4,4,0,0,4,2,4
62,2,34.0,5.656854249492381,12.0,4,4,4,1,4,3,0
63,3,11.333333333333334,23.79542439676633,58.0,3,4,1,0,3,1,3
64,4,-28.0,1.632993161855452,4.0,0,0,0,1,0,3,0
65,5,37.333333333333336,6.599663291074444,14.0,4,4,4,1,4,3,0
66,6,2.6666666666666665,14.079141387961918,34.0,3,1,3,0,3,2,2
67,7,23.333333333333332,10.370899457402697,22.0,3,4,3,0,3,2,1
68,8,9.333333333333334,9.568466729604882,22.0,3,3,2,0,3,2,1
69,9,40.0,1.632993161855452,4.0,4,4,4,1,4,3,0
70,0,-4.666666666666667,15.084944665313014,32.0,3,0,3,0,3,2,3
71,1,9.333333333333334,23.11324776447962,50.0,4,1,1,0,1,2,3
72,2,16.666666666666668,33.038697848970315,72.0,4,0,4,0,4,2,4
73,3,1.3333333333333333,23.907228102721476,58.0,4,3,0,0,4,1,4
74,4,-29.333333333333332,9.843215373488935,24.0,1,0,0,0,0,2,1
75,5,18.0,16.97056274847714,36.0,3,4,3,0,3,2,1
76,6,16.666666666666668,13.299958228840003,30.0,4,4,2,0,4,2,2
77,7,36.0,5.887840577551898,14.0,4,4,4,1,4,3,0
78,8,6.666666666666667,14.267289706021797,34.0,2,1,4,0,2,1,3
79,9,10.666666666666666,5.2493385826745405,12.0,3,3,3,1,3,3,0
80,0,39.333333333333336,0.9428090415820634,2.0,4,4,4,1,4,3,0
81,1,13.333333333333334,20.677416559027762,48.0,1,4,2,0,1,1,3
82,2,33.333333333333336,10.873004286866726,24.0,4,4,3,0,4,2,1
83,3,-14.666666666666666,23.79542439676633,58.0,0,3,1,0,0,1,3
84,4,22.0,2.8284271247461903,6.0,4,3,4,0,4,2,1
85,5,-10.0,23.03620339089466,56.0,1,3,0,0,1,1,3
86,6,0.6666666666666666,31.93048003954146,78.0,0,2,4,0,0,1,4
87,7,3.3333333333333335,31.084115271666047,76.0,3,0,4,0,3,1,4
88,8,2.6666666666666665,0.9428090415820634,2.0,2,2,2,1,2,3,0
89,9,27.333333333333332,16.67999467092907,38.0,4,2,4,0,4,2,2
90,0,-20.666666666666668,12.684198393626966,30.0,1,1,0,0,1,2,1
91,1,20.666666666666668,18.354533197248273,44.0,2,4,4,0,4,2,2
92,2,-8.666666666666666,28.5345794120436,68.0,4,0,1,0,4,1,4
93,3,8.0,4.320493798938574,10.0,3,2,3,0,3,2,1
94,4,-0.6666666666666666,30.5650490302604,70.0,1,4,0,0,1,1,4
95,5,-10.0,33.0252428706689,76.0,0,0,4,0,0,2,4
96,6,34.666666666666664,10.370899457402697,22.0,4,4,4,1,4,3,0
97,7,38.666666666666664,0.9428090415820634,2.0,4,4,4,1,4,3,0
98,8,7.333333333333333,16.519348924485154,36.0,1,3,4,0,1,1,3
99,9,9.333333333333334,13.59738536958076,32.0,2,2,4,0,2,2,2
100,0,22.666666666666668,14.817407180595247,36.0,4,3,4,0,4,2,1
101,1,18.0,16.97056274847714,36.0,1,4,4,0,4,2,3
102,2,32.666666666666664,6.79869268479038,16.0,4,4,4,1,4,3,0
103,3,34.666666666666664,10.370899457402697,22.0,4,4,4,1,4,3,0
104,4,22.0,14.966629547095765,36.0,3,4,3,0,3,2,1
105,5,18.0,5.656854249492381,12.0,3,3,4,0,3,2,1
106,6,4.0,33.34666400106613,78.0,4,0,3,0,4,1,4
107,7,36.666666666666664,4.988876515698588,12.0,4,4,4,1,4,3,0
108,8,29.333333333333332,9.843215373488935,24.0,4,4,3,0,4,2,1
109,9,24.666666666666668,24.51303508113365,52.0,4,4,1,0,4,2,3
110,0,20.666666666666668,3.7712361663282534,8.0,3,4,3,0,3,2,1
111,1,26.666666666666668,21.684607956387456,46.0,2,4,4,0,4,2,2
112,2,36.666666666666664,6.182412330330469,14.0,4,4,4,1,4,3,0
113,3,11.333333333333334,14.079141387961917,34.0,2,3,4,0,2,1,2
114,4,24.666666666666668,15.69146972791976,38.0,4,4,2,0,4,2,2
115,5,34.0,11.313708498984761,24.0,4,3,4,0,4,2,1
116,6,12.666666666666666,21.24983660067897,52.0,1,3,4,0,1,1,3
117,7,28.0,1.632993161855452,4.0,4,4,4,1,4,3,0
118,8,-26.0,19.79898987322333,42.0,0,0,2,0,0,2,2
119,9,12.0,29.97776954122282,68.0,0,4,4,0,4,2,4
120,0,41.333333333333336,0.9428090415820634,2.0,4,4,4,1,4,3,0
121,1,-0.6666666666666666,6.182412330330469,14.0,3,2,1,0,3,1,2
122,2,14.666666666666666,23.79542439676633,58.0,3,1,4,0,3,1,3
123,3,29.333333333333332,16.519348924485154,36.0,4,3,4,0,4,2,1
124,4,-29.333333333333332,16.519348924485154,36.0,1,0,0,0,0,2,1
125,5,36.0,4.320493798938574,10.0,4,4,4,1,4,3,0
126,6,0.6666666666666666,14.079141387961918,34.0,1,2,3,0,1,1,2
127,7,-14.666666666666666,29.31817790306136,68.0,0,0,4,0,0,2,4
128,8,-8.0,3.265986323710904,8.0,1,1,2,0,1,2,1
129,9,16.0,13.366625103842281,32.0,4,2,4,0,4,2,2
130,0,29.333333333333332,16.519348924485154,36.0,3,4,4,0,4,2,1
131,1,2.0,5.887840577551898,14.0,1,3,2,0,1,1,2
132,2,-6.666666666666667,34.42221504913489,82.0,4,0,1,0,4,1,4
133,3,11.333333333333334,29.227080289043965,70.0,4,4,0,0,4,2,4
134,4,42.0,0.0,0.0,4,4,4,1,4,3,0
135,5,4.666666666666667,16.110727964792762,36.0,1,3,3,0,3,2,2
136,6,8.666666666666666,6.599663291074444,14.0,2,2,3,0,2,2,1
137,7,36.666666666666664,0.9428090415820634,2.0,4,4,4,1,4,3,0
138,8,29.333333333333332,9.285592184789413,22.0,4,4,4,1,4,3,0
139,9,15.333333333333334,22.939534045447004,56.0,1,4,3,0,1,1,3
140,0,26.666666666666668,20.28683207293725,44.0,4,2,4,0,4,2,2
141,1,16.666666666666668,19.618585292749547,48.0,1,3,4,0,1,1,3
142,2,4.666666666666667,17.98765008430939,40.0,4,1,1,0,1,2,3
143,3,17.333333333333332,10.624918300339486,26.0,4,3,2,0,4,1,2
144,4,5.333333333333333,8.219218670625303,20.0,2,2,3,0,2,2,1
145,5,1.3333333333333333,29.044027881055953,70.0,1,4,0,0,1,1,4
146,6,18.0,14.966629547095765,36.0,3,2,4,0,3,1,2
147,7,11.333333333333334,13.097921802925667,32.0,3,4,2,0,3,1,2
148,8,0.0,10.198039027185569,24.0,1,2,3,0,1,1,2
149,9,42.0,0.0,0.0,4,4,4,1,4,3,0
150,0,29.333333333333332,9.843215373488935,24.0,4,3,4,0,4,2,1
151,1,14.666666666666666,15.173075568988056,36.0,1,4,4,0,4,2,3
152,2,15.333333333333334,37.712361663282536,80.0,4,0,4,0,4,2,4
153,3,14.0,35.364765892999586,76.0,4,4,0,0,4,2,4
154,4,8.666666666666666,4.109609335312651,10.0,3,2,3,0,3,2,1
155,5,13.333333333333334,20.677416559027762,48.0,2,4,1,0,2,1,3
156,6,1.3333333333333333,32.71425105702746,80.0,2,0,4,0,2,1,4
157,7,19.333333333333332,18.785337071473826,46.0,4,2,4,0,4,2,2
158,8,28.0,10.708252269472673,26.0,3,4,4,0,4,2,1
159,9,28.666666666666668,17.46106780494506,38.0,4,2,4,0,4,2,2
160,0,4.666666666666667,9.843215373488935,24.0,3,1,3,0,3,2,2
161,1,4.666666666666667,10.624918300339486,26.0,3,1,2,0,3,1,2
162,2,37.333333333333336,5.2493385826745405,12.0,4,4,4,1,4,3,0
163,3,27.333333333333332,10.370899457402697,22.0,4,4,4,1,4,3,0
