base_seed,decl_id,V_mean,V_spread,3-2_locked,4-1_locked,5-0_locked,5-5_locked,6-4_locked,3-2_rate,4-1_rate,5-0_rate,5-5_rate,6-4_rate,five_pt_locks,ten_pt_locks,five_pt_rate,ten_pt_rate,total_locks
0,0,41.333333333333336,2.0,False,True,False,False,False,0.3333333333333333,1.0,0.6666666666666666,0.0,0.3333333333333333,1,0,0.6666666666666666,0.16666666666666666,1
1,1,14.0,48.0,False,False,False,False,False,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0.4444444444444444,0.3333333333333333,0
2,2,14.0,48.0,False,False,True,False,False,0.6666666666666666,0.0,1.0,0.6666666666666666,0.3333333333333333,1,0,0.5555555555555555,0.5,1
3,3,17.333333333333332,50.0,False,False,False,False,False,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0.4444444444444444,0.3333333333333333,0
4,4,-4.0,44.0,False,True,False,True,True,0.0,1.0,0.3333333333333333,1.0,1.0,1,2,0.4444444444444444,1.0,3
5,5,5.333333333333333,44.0,True,False,False,False,True,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,1,1,0.5555555555555555,0.8333333333333333,2
6,6,5.333333333333333,68.0,False,True,False,False,True,0.0,1.0,0.3333333333333333,0.6666666666666666,1.0,1,1,0.4444444444444444,0.8333333333333333,2
7,7,21.333333333333332,56.0,True,True,False,False,False,1.0,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,2,0,0.7777777777777778,0.5,2
8,8,5.333333333333333,32.0,True,False,True,False,False,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,2,0,0.7777777777777777,0.3333333333333333,2
9,9,11.333333333333334,56.0,False,False,False,False,False,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0,0,0.4444444444444444,0.5,0
10,0,-2.6666666666666665,30.0,True,False,False,False,False,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,1,0,0.5555555555555555,0.5,1
11,1,-15.333333333333334,62.0,True,False,False,False,False,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,1,0,0.5555555555555555,0.5,1
12,2,40.0,6.0,False,False,True,False,False,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1,0,0.6666666666666666,0.5,1
13,3,36.666666666666664,10.0,False,True,False,True,True,0.6666666666666666,1.0,0.3333333333333333,1.0,1.0,1,2,0.6666666666666666,1.0,3
14,4,6.666666666666667,6.0,False,False,False,False,False,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0,0,0.1111111111111111,0.5,0
15,5,28.666666666666668,22.0,True,False,True,False,False,1.0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,2,0,0.7777777777777777,0.5,2
16,6,8.666666666666666,46.0,False,False,False,True,True,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,1.0,0,2,0.4444444444444444,1.0,2
17,7,18.666666666666668,2.0,False,True,True,True,True,0.0,1.0,1.0,1.0,1.0,2,2,0.6666666666666666,1.0,4
18,8,11.333333333333334,20.0,False,False,False,False,False,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0.1111111111111111,0.3333333333333333,0
19,9,22.0,32.0,False,False,True,False,False,0.6666666666666666,0.0,1.0,0.6666666666666666,0.3333333333333333,1,0,0.5555555555555555,0.5,1
20,0,16.0,58.0,False,False,False,True,True,0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,0,2,0.2222222222222222,1.0,2
21,1,34.666666666666664,14.0,False,True,False,False,False,0.6666666666666666,1.0,0.6666666666666666,0.0,0.3333333333333333,1,0,0.7777777777777777,0.16666666666666666,1
22,2,11.333333333333334,56.0,False,False,False,False,True,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.0,0,1,0.2222222222222222,0.6666666666666666,1
23,3,10.666666666666666,80.0,False,False,True,False,False,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,1,0,0.3333333333333333,0.3333333333333333,1
24,4,15.333333333333334,62.0,False,False,True,False,False,0.0,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,1,0,0.5555555555555555,0.3333333333333333,1
25,5,4.666666666666667,68.0,False,False,False,False,True,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0,1,0.4444444444444444,0.6666666666666666,1
26,6,1.3333333333333333,66.0,False,True,False,True,False,0.6666666666666666,1.0,0.3333333333333333,1.0,0.3333333333333333,1,1,0.6666666666666666,0.6666666666666666,2
27,7,4.0,46.0,False,False,False,False,False,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0,0,0.4444444444444444,0.5,0
28,8,21.333333333333332,46.0,False,False,True,False,False,0.6666666666666666,0.0,1.0,0.3333333333333333,0.3333333333333333,1,0,0.5555555555555555,0.3333333333333333,1
29,9,11.333333333333334,14.0,False,False,True,False,False,0.6666666666666666,0.0,1.0,0.3333333333333333,0.3333333333333333,1,0,0.5555555555555555,0.3333333333333333,1
30,0,28.666666666666668,38.0,False,False,False,False,False,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0,0,0.2222222222222222,0.5,0
31,1,-3.3333333333333335,82.0,True,False,True,False,False,1.0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,2,0,0.7777777777777777,0.5,2
32,2,-7.333333333333333,70.0,False,False,False,True,False,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,0,1,0.4444444444444444,0.6666666666666666,1
