depth,robust,fragile,total,robust_pct
1,7978,0,7978,100.0
2,7942,0,7942,100.0
3,7980,0,7980,100.0
4,7979,0,7979,100.0
5,214157,34362,248519,86.17329057335657
6,169971,22241,192212,88.4289222317025
7,136352,15654,152006,89.7017223004355
8,53080,30175,83255,63.75593057474026
9,59965,14839,74804,80.162825517352
10,44696,8076,52772,84.6964299249602
11,36091,5773,41864,86.2101089241353
12,6563,10649,17212,38.13037415756449
13,1321,678,1999,66.08304152076037
14,939,202,1141,82.29623137598597
15,742,147,889,83.46456692913385
16,91,234,325,28.000000000000004
17,20,14,34,58.82352941176471
18,16,4,20,80.0
19,9,5,14,64.28571428571429
20,0,2,2,0.0
21,4,0,4,100.0
22,3,0,3,100.0
23,4,0,4,100.0
24,0,1,1,0.0
25,1,0,1,100.0
26,4,0,4,100.0
27,3,0,3,100.0
