base_seed,decl_id,n_common_states,n_moves,n_robust,n_fragile,n_mixed,pct_robust,pct_fragile,mean_q_std,n_best_everywhere,best_robust,best_fragile,pct_best_robust,robust_by_depth
0,0,14250,16626,3049,1704,11873,18.33874654156141,10.249007578491518,6.00402579315607,12111,2520,923,20.807530344315087,0.2517266167192301
1,1,2817,2965,681,406,1878,22.967959527824622,13.693086003372681,6.0114506918050825,2193,586,214,26.72138622891017,0.3469063624326199
2,2,2540,3499,715,1010,1774,20.434409831380396,28.865390111460414,7.511426987045347,2386,526,726,22.045264040234702,0.32177886452447285
3,3,6770,7395,1432,1368,4595,19.36443542934415,18.49898580121704,6.949519963115189,3921,888,635,22.64728385615914,0.3365564828594693
4,4,1049,916,196,149,571,21.397379912663755,16.266375545851528,6.389313064496245,719,164,111,22.809457579972182,0.2682089384217044
5,5,7501,8963,1763,1820,5380,19.669753430770946,20.305701216110677,6.823336739563843,5824,1225,997,21.033653846153847,0.2542795714373477
6,6,9279,12026,1553,2688,7785,12.913687011475137,22.351571594877765,7.444421229443976,7213,1016,1357,14.085678635796478,0.21305495788864692
7,7,15069,17347,4844,2153,10350,27.92413673834092,12.41136795987779,5.801852102503531,13817,4304,1328,31.150032568574943,0.37473415229424506
8,8,2686,3048,1180,750,1118,38.71391076115486,24.606299212598426,6.179234906136283,2476,1066,497,43.05331179321486,0.3363215263096825
9,9,9781,12639,2621,3358,6660,20.737400110768256,26.568557639053726,7.349452104969261,11094,2292,2948,20.6598161168199,0.23852120421729775
10,0,6221,5685,1457,1558,2670,25.628847845206685,27.405452946350046,7.263875881699372,4508,1285,1073,28.50488021295475,0.19090772531958605
11,1,12964,16254,1651,5592,9011,10.157499692383414,34.403839055001846,8.648866663841995,11475,1073,4276,9.350762527233115,0.20070043892553466
12,2,10999,12496,2701,2420,7375,21.614916773367476,19.366197183098592,6.754438739457993,8828,2153,1371,24.388309922972358,0.3117015846112427
13,3,4601,6523,802,1611,4110,12.294956308447032,24.697225203127395,7.674028294459018,4589,649,975,14.142514709086948,0.18550055201053575
14,4,11759,10147,2020,3699,4428,19.90736178180743,36.45412437173549,8.715929619807527,4976,1476,1217,29.662379421221864,0.3090461317583856
15,5,7152,12159,5356,712,6091,44.04967513775804,5.855744715848343,4.489349629410021,6515,3504,237,53.78357636224098,0.42878898481489935
16,6,7619,10467,1116,2073,7278,10.662080825451419,19.805101748351962,7.257353547988236,7614,854,1414,11.216180719726818,0.10860027743141237
17,7,8846,11398,3437,315,7646,30.154413054921914,2.7636427443411127,4.8455663979071435,8523,2769,153,32.488560366068285,0.37320003455998396
18,8,5200,8061,2196,1912,3953,27.242277633048005,23.71914154571393,6.699514896677701,6234,1912,1342,30.67051652229708,0.3224404150227541
19,9,7205,9941,3742,2429,3770,37.642088321094455,24.434161553163666,6.168339928564469,6829,2939,1421,43.03704788402401,0.3699898687607754
20,0,984,1024,17,671,336,1.66015625,65.52734375,11.09515822480724,941,17,606,1.8065887353878853,0.16831479192418622
21,1,12302,17236,3443,2831,10962,19.97563239730796,16.42492457646786,6.537491544960767,8681,2131,905,24.54786314940675,0.243022874723209
22,2,3983,4424,1686,426,2312,38.11030741410488,9.629294755877034,4.834630875016453,3333,1415,230,42.45424542454245,0.3784603087960075
23,3,4676,5803,2092,869,2842,36.05031880062037,14.975012924349473,5.35797759773496,3036,904,492,29.77602108036891,0.5521360671563238
