,PC1,PC2,PC3
v_mean_d28,-0.2132861286197137,-0.1461875591286533,0.1443363701807574
v_std_d28,0.0,-5.551115123125783e-17,-1.3877787807814457e-17
v_spread_d28,0.21743270804740103,-0.0034044404466167058,0.11400290100990293
v_mean_d24,-0.22263462382244506,-0.22919187985269912,0.14224903004105835
v_std_d24,-0.054744423200607725,0.2337900197090656,0.0810789010915887
v_spread_d24,0.21051765679192389,-0.10059099243351702,0.3067235239651938
v_mean_d20,-0.23542693873805456,-0.2366418270452013,0.14579232210651658
v_std_d20,-0.12884043873431517,0.28959716629594834,0.15518351535714545
v_spread_d20,0.24056298527921344,-0.07323054950821732,0.31518009049357626
v_mean_d16,-0.23507809160549048,-0.2448750047382435,0.1578438822484624
v_std_d16,-0.1295238960920734,0.30578358601470873,0.21689510028827694
v_spread_d16,0.25127433279784095,-0.07230339314341946,0.3079631760057654
v_mean_d12,-0.23437405345176632,-0.24922591478562867,0.14203110348592185
v_std_d12,-0.13129778305275097,0.2937882803582697,0.28724181611966887
v_spread_d12,0.2573633196379144,-0.0741954081358104,0.2885578536622193
v_mean_d8,-0.23477905095503523,-0.24474690816431532,0.1171986072805587
v_std_d8,-0.13981646854933602,0.2576718950412772,0.31876169322837555
v_spread_d8,0.25767817149036687,-0.10674252008616025,0.23409662444744034
v_mean_d4,-0.22685397311995756,-0.23620301828850812,0.08757253358092322
v_std_d4,-0.15725682815862735,0.21988195958166035,0.2451356472574649
v_spread_d4,0.23813767154740031,-0.16954182223568817,0.14524838998439984
v_mean_d1,-0.22685397311995756,-0.23620301828850815,0.08757253358092322
v_std_d1,-0.15725682815862757,0.21988195958166065,0.24513564725746287
v_spread_d1,0.23813767154740034,-0.1695418222356882,0.14524838998439984
