component,explained_variance,cumulative_variance
1,0.4555057376595175,0.4555057376595175
2,0.24555074012589778,0.7010564777854154
3,0.1197018206205539,0.8207582984059693
4,0.06638859833698511,0.8871468967429543
5,0.03955473447612603,0.9267016312190803
6,0.027858868175436577,0.9545604993945169
7,0.015805857561330326,0.9703663569558473
8,0.011056307260226966,0.9814226642160743
9,0.006915780391642948,0.9883384446077172
10,0.0036180387251047775,0.991956483332822
11,0.0026877748629729487,0.994644258195795
12,0.0016466580512946925,0.9962909162470898
13,0.0015255041093503318,0.9978164203564401
14,0.0007233971716266957,0.9985398175280669
15,0.0006144725687669375,0.9991542900968338
16,0.0004353879050324212,0.9995896780018662
17,0.00023642796781059067,0.9998261059696767
18,0.00011522201945312705,0.9999413279891298
19,5.012098107195627e-05,0.9999914489702018
20,8.551029798503317e-06,1.0000000000000002
21,2.40690348228621e-30,1.0000000000000002
22,6.8530363502121716e-34,1.0000000000000002
23,6.226871713228789e-35,1.0000000000000002
24,9.34392089611734e-39,1.0000000000000002
