base_seed,mean_v,std_v,v_spread,total_var,between_config_var,between_depth_var,residual_var,config_dim_ratio,depth_dim_ratio,collapse_score,participation_ratio,mean_trajectory_corr,n_depths
0,41.333333333333336,0.9428090415820634,2.0,176.173549188166,0.7127103583972931,174.77626883585714,0.6845699939115661,0.004045501505087278,0.9920687279177395,0.9959544984949127,1.0118576445576895,0.9972800161834238,8
1,14.0,20.396078054371138,48.0,149.5023611142777,70.36872747613562,16.265510639519672,62.86812299862241,0.4706863955302128,0.10879768398498083,0.5293136044697873,1.155663966074906,-0.20919220907878913,8
2,14.0,20.396078054371138,48.0,220.3165837009501,146.1166662905732,19.972731372077103,54.227186038299806,0.6632122913130623,0.09065468897787277,0.33678770868693775,1.1827668128755364,-0.049950766984433494,8
3,17.333333333333332,20.417857108151406,50.0,170.89838296688603,92.53702901263044,28.281196941004332,50.08015701325126,0.5414739882621405,0.16548545662064112,0.45852601173785945,1.3184015409501577,-0.2486886089265177,8
4,-4.0,17.962924780409974,44.0,74.28692097493543,16.625612969058313,24.449941359620837,33.21136664625628,0.22380269300255198,0.32912847966696995,0.776197306997448,2.016141816907353,0.17974350681736287,8
5,5.333333333333333,17.98765008430939,44.0,122.25126824849845,48.513397513027655,31.985051838179096,41.7528188972917,0.3968334906302579,0.2616337016084244,0.603166509369742,1.889129112932851,0.15346302380876875,8
6,5.333333333333333,27.776888874666213,68.0,204.51539251712393,112.82973617615546,11.789299088910475,79.89635725205798,0.5516931258203869,0.05764504541106052,0.4483068741796131,1.213047177472409,-0.23589489995797716,8
7,21.333333333333332,26.398653164297773,56.0,212.76575110322798,96.58847230360719,45.03086295943737,71.14641584018342,0.45396626009016444,0.2116452611660683,0.5460337399098356,1.3245960235250758,-0.32199490720377943,8
8,5.333333333333333,14.636332266733431,32.0,68.21799288819136,40.793706646082526,3.882597896412643,23.54168834569619,0.5979904262639774,0.05691457241751723,0.40200957373602264,1.1207556022625846,-0.12042925085747454,8
9,11.333333333333334,23.170862929310353,56.0,169.95181963718179,9.169330977788022,87.47233434915941,73.31015431023437,0.05395253194324711,0.5146890132503316,0.9460474680567529,1.5324400928119062,0.491576510604499,8
10,-2.6666666666666665,12.472191289246473,30.0,66.75669749345614,34.75262232957232,5.0025493852511715,27.001525778632654,0.5205863027148543,0.07493704112222671,0.4794136972851457,1.4708988223683754,-0.36559168015563315,8
11,-15.333333333333334,26.042699979499478,62.0,264.44628240554994,156.158763352536,36.15107779542196,72.13644125759197,0.5905122277841434,0.13670480623350695,0.40948777221585664,1.2229643772720504,-0.26047952851982265,8
12,40.0,2.8284271247461903,6.0,161.95029755211917,0.5742694678770014,158.06142819966595,3.314599884576211,0.0035459611779483694,0.9759872663944832,0.9964540388220516,1.019332591974912,0.9912301713216838,8
13,36.666666666666664,4.714045207910317,10.0,152.4317086289379,22.067449826795315,119.79886338759052,10.565395414552071,0.14476941855000627,0.7859182611356472,0.8552305814499938,1.4733054388524691,0.8890456812894683,8
14,6.666666666666667,2.494438257849294,6.0,21.996734432744347,10.786811055655988,5.993763322887554,5.216160054200804,0.49038238328679995,0.27248423356719875,0.5096176167132,1.7803591261345293,0.26819011592937086,8
15,28.666666666666668,8.993825042154695,22.0,100.97459097643103,8.23476259602289,81.18384630646949,11.555982073938651,0.08155281953996729,0.8040027250560392,0.9184471804600327,1.302505582925562,0.9260198624102524,8
16,8.666666666666666,19.48218559493661,46.0,165.39134687625625,90.67477673699695,26.697294583088162,48.01927555617114,0.54824377725661,0.16141893205007118,0.45175622274339,1.4470812508205977,0.08531007325630602,8
17,18.666666666666668,0.9428090415820634,2.0,32.23470549472061,0.7361792304359865,28.523233163566886,2.9752931007177352,0.022838093884759016,0.884860982155969,0.977161906115241,1.239046865424454,0.8659405294232467,8
18,11.333333333333334,8.993825042154695,20.0,62.27393402998235,34.87473526710418,10.787970701628431,16.61122806124974,0.5600213927437669,0.17323412868752544,0.43997860725623306,1.4708950863829984,0.20842894866339798,8
19,22.0,13.366625103842281,32.0,95.78397945314369,25.22704200629431,48.50832815661247,22.048609290236904,0.2633743361919418,0.5064346713673776,0.7366256638080582,1.6833070592911146,0.6246457706420921,8
20,16.0,24.711670657134185,58.0,251.93847753138652,172.41515558337872,26.263202603684903,53.2601193443229,0.6843542013621132,0.10424450786963667,0.3156457986378868,1.2547941214873068,0.0036594558395621015,8
21,34.666666666666664,6.182412330330469,14.0,148.3832272583599,11.935206892502594,117.35577521336145,19.09224515249585,0.08043501353236786,0.7908965007818943,0.9195649864676322,1.4145624249006676,0.8187391181893862,8
22,11.333333333333334,23.170862929310356,56.0,162.64040369684312,89.11842436080484,10.503820739204482,63.0181585968338,0.5479476337682913,0.06458309559279803,0.45205236623170875,1.2043383173783193,-0.25719527006386034,8
23,10.666666666666666,37.24990678586398,80.0,321.5362826098358,132.5819179704491,45.757400185123046,143.19696445426365,0.41233890276491436,0.14230866829000072,0.5876610972350856,1.4268398233009354,-0.14942190489505955,8
24,15.333333333333334,26.042699979499478,62.0,234.47221966997049,114.6907063207877,28.04658103039192,91.73493231879087,0.489144114736576,0.11961579529493371,0.510855885263424,1.6853896539463205,-0.39611137210873754,8
25,4.666666666666667,28.158282775923837,68.0,322.33108817603767,226.48768044005865,7.379403169643182,88.46400456633583,0.7026554023121866,0.022893861127081232,0.2973445976878134,1.0457688827297609,-0.17663654604417525,8
26,1.3333333333333333,27.438820836342234,66.0,190.28057488714094,106.9295370868615,3.8685182940087217,79.48251950627072,0.5619571895359443,0.02033060020079934,0.4380428104640557,1.0534852307724445,-0.25949780317276533,8
27,4.0,21.228911104120876,46.0,153.90688149456045,102.68347770961294,7.480348262088874,43.74305552285863,0.667179249637659,0.04860307862422158,0.33282075036234104,1.1058327587663146,-0.13342538623035935,8
28,21.333333333333332,19.754043186705406,46.0,116.21176547929038,23.821203368227845,53.60235985069855,38.78820226036399,0.2049809954266027,0.4612472724222644,0.7950190045733974,1.4041297626412474,0.1427941915730153,8
29,11.333333333333334,6.182412330330469,14.0,49.09305518371914,0.2843157078762314,33.3661544214403,15.442585054402606,0.005791363092238753,0.679651211287938,0.9942086369077613,1.6970096556600207,0.6208927394867353,8
30,28.666666666666668,17.46106780494506,38.0,144.04949072576923,45.731896128961495,60.04741504792341,38.27017954888433,0.3174735009374139,0.41685267157408584,0.6825264990625861,1.5202836573552165,0.24677752010995482,8
31,-3.3333333333333335,33.6386021641143,82.0,353.1945968016327,239.48513949974586,9.03173062603809,104.67772667584876,0.6780543690883518,0.02557154245230611,0.3219456309116482,1.0480445276357866,-0.2700271734485759,8
