feature,coefficient,abs_coef
n_6_high,4.278320783350101,4.278320783350101
total_pips,3.685945914051562,3.685945914051562
n_singletons,2.2714748651218106,2.2714748651218106
n_5_high,1.9441264494218344,1.9441264494218344
n_voids,1.700478649973275,1.700478649973275
n_doubles,-1.3888566102341937,1.3888566102341937
has_trump_double,-1.3791058730617654,1.3791058730617654
max_suit_length,1.148084590171981,1.148084590171981
count_points,-0.678426690278273,0.678426690278273
trump_count,-0.45030649395039424,0.45030649395039424
