feature,correlation,abs_corr
n_6_high,0.19089948875123638,0.19089948875123638
total_pips,0.14909144522563159,0.14909144522563159
n_doubles,-0.13595621844279163,0.13595621844279163
n_5_high,-0.10141412957870061,0.10141412957870061
has_trump_double,-0.09512166527628457,0.09512166527628457
trump_count,-0.09022878909458858,0.09022878909458858
count_points,-0.08870003241599086,0.08870003241599086
n_voids,-0.05076888320449113,0.05076888320449113
max_suit_length,0.04957368100215024,0.04957368100215024
n_singletons,-0.00048519409407477324,0.00048519409407477324
