base_seed,decl_id,V_mean,V_min,V_max,V_spread,n_counts_held,total_count_points,likely_locks,expected_tricks,recommended_bid,conservative_bid,holds_3-2,holds_4-1,holds_5-0,holds_5-5,holds_6-4
0,0,41.333333333333336,40.0,42.0,2.0,1,0,1,6.888888888888889,42,42,False,True,False,False,False
1,1,14.0,-6.0,42.0,48.0,0,5,0,2.3333333333333335,0,0,False,False,False,False,False
2,2,14.0,-6.0,42.0,48.0,1,15,1,2.3333333333333335,0,0,False,False,True,False,False
3,3,17.333333333333332,-8.0,42.0,50.0,0,10,0,2.888888888888889,0,0,False,False,False,False,False
4,4,-4.0,-26.0,18.0,44.0,3,5,0,0.0,0,0,False,True,False,True,True
5,5,5.333333333333333,-16.0,28.0,44.0,2,0,0,0.8888888888888888,0,0,True,False,False,False,True
6,6,5.333333333333333,-28.0,40.0,68.0,2,0,0,0.8888888888888888,0,0,False,True,False,False,True
7,7,21.333333333333332,-16.0,40.0,56.0,2,5,0,3.5555555555555554,0,0,True,True,False,False,False
8,8,5.333333333333333,-6.0,26.0,32.0,2,15,2,0.8888888888888888,0,0,True,False,True,False,False
9,9,11.333333333333334,-14.0,42.0,56.0,0,0,0,1.888888888888889,0,0,False,False,False,False,False
10,0,-2.6666666666666665,-16.0,14.0,30.0,1,10,0,0.0,0,0,True,False,False,False,False
11,1,-15.333333333333334,-42.0,20.0,62.0,1,5,0,0.0,0,0,True,False,False,False,False
12,2,40.0,36.0,42.0,6.0,1,10,1,6.666666666666667,42,38,False,False,True,False,False
13,3,36.666666666666664,30.0,40.0,10.0,3,0,3,6.111111111111111,38,31,False,True,False,True,True
14,4,6.666666666666667,4.0,10.0,6.0,0,20,0,1.1111111111111112,0,0,False,False,False,False,False
15,5,28.666666666666668,18.0,40.0,22.0,2,20,2,4.777777777777778,30,0,True,False,True,False,False
16,6,8.666666666666666,-18.0,28.0,46.0,2,0,0,1.4444444444444444,0,0,False,False,False,True,True
17,7,18.666666666666668,18.0,20.0,2.0,4,10,4,3.111111111111111,0,0,False,True,True,True,True
18,8,11.333333333333334,4.0,24.0,20.0,0,15,0,1.888888888888889,0,0,False,False,False,False,False
19,9,22.0,8.0,40.0,32.0,1,15,1,3.6666666666666665,0,0,False,False,True,False,False
20,0,16.0,-18.0,40.0,58.0,2,5,0,2.6666666666666665,0,0,False,False,False,True,True
21,1,34.666666666666664,26.0,40.0,14.0,1,10,1,5.777777777777778,34,30,False,True,False,False,False
22,2,11.333333333333334,-14.0,42.0,56.0,1,5,0,1.888888888888889,0,0,False,False,False,False,True
23,3,10.666666666666666,-42.0,38.0,80.0,1,20,0,1.7777777777777777,0,0,False,False,True,False,False
24,4,15.333333333333334,-20.0,42.0,62.0,1,25,0,2.555555555555556,0,0,False,False,True,False,False
25,5,4.666666666666667,-26.0,42.0,68.0,1,15,0,0.7777777777777778,0,0,False,False,False,False,True
26,6,1.3333333333333333,-28.0,38.0,66.0,2,15,0,0.2222222222222222,0,0,False,True,False,True,False
27,7,4.0,-26.0,20.0,46.0,0,0,0,0.6666666666666666,0,0,False,False,False,False,False
28,8,21.333333333333332,-6.0,40.0,46.0,1,20,1,3.5555555555555554,0,0,False,False,True,False,False
29,9,11.333333333333334,6.0,20.0,14.0,1,15,1,1.888888888888889,0,0,False,False,True,False,False
30,0,28.666666666666668,4.0,42.0,38.0,0,10,0,4.777777777777778,30,0,False,False,False,False,False
31,1,-3.3333333333333335,-42.0,40.0,82.0,2,15,0,0.0,0,0,True,False,True,False,False
32,2,-7.333333333333333,-42.0,28.0,70.0,1,10,0,0.0,0,0,False,False,False,True,False
33,3,24.0,12.0,42.0,30.0,2,5,2,4.0,0,0,False,True,False,False,True
34,4,33.333333333333336,18.0,42.0,24.0,3,25,3,5.555555555555556,34,0,False,True,True,False,True
35,5,8.0,-8.0,38.0,46.0,1,5,1,1.3333333333333333,0,0,False,True,False,False,False
36,6,-8.666666666666666,-40.0,18.0,58.0,0,5,0,0.0,0,0,False,False,False,False,False
37,7,-1.3333333333333333,-8.0,2.0,10.0,0,10,0,0.0,0,0,False,False,False,False,False
38,8,-20.666666666666668,-40.0,6.0,46.0,0,5,0,0.0,0,0,False,False,False,False,False
