base_seed,decl_id,hand_str,V_mean,V_std,V_min,V_max,V_spread,util_lambda_0,util_lambda_05,util_lambda_1,util_lambda_2,n_doubles,count_points,trump_count,has_trump_double,n_6_high,total_pips,rank_0,rank_05,rank_1,rank_2,rank_change_0_to_1
149,9,6-4 5-4 4-4 4-3 4-0 3-3 3-0,42.0,0.0,42.0,42.0,0.0,42.0,42.0,42.0,42.0,2,10,0,False,1,47,2.0,2.0,2.0,2.0,0.0
199,9,5-4 4-4 4-3 2-1 2-0 1-1 1-0,42.0,0.0,42.0,42.0,0.0,42.0,42.0,42.0,42.0,2,0,0,False,0,32,2.0,2.0,2.0,2.0,0.0
134,4,6-4 4-4 4-3 4-1 4-0 2-2 1-1,42.0,0.0,42.0,42.0,0.0,42.0,42.0,42.0,42.0,3,15,5,True,1,40,2.0,2.0,2.0,2.0,0.0
0,0,5-2 4-4 4-0 3-1 2-2 2-0 0-0,41.333333333333336,0.9428090415820634,40.0,42.0,2.0,41.333333333333336,40.8619288125423,40.39052429175127,39.44771525016921,3,0,3,True,0,29,4.5,4.5,4.5,4.5,0.0
120,0,6-6 6-1 5-2 5-0 3-3 2-0 0-0,41.333333333333336,0.9428090415820634,40.0,42.0,2.0,41.333333333333336,40.8619288125423,40.39052429175127,39.44771525016921,3,5,3,True,2,39,4.5,4.5,4.5,4.5,0.0
80,0,5-3 5-1 5-0 4-4 2-2 2-1 1-0,39.333333333333336,0.9428090415820634,38.0,40.0,2.0,39.333333333333336,38.8619288125423,38.39052429175127,37.44771525016921,2,5,2,False,0,35,8.0,7.0,6.0,6.0,2.0
69,9,6-5 6-4 5-5 4-2 3-3 2-1 0-0,40.0,1.632993161855452,38.0,42.0,4.0,40.0,39.183503419072274,38.36700683814455,36.734013676289095,3,20,0,False,2,46,6.5,6.0,7.0,8.0,-0.5
97,7,6-6 5-5 5-1 5-0 3-3 2-1 1-1,38.666666666666664,0.9428090415820634,38.0,40.0,2.0,38.666666666666664,38.19526214587563,37.7238576250846,36.78104858350254,4,15,0,False,1,44,9.0,9.0,8.0,7.0,1.0
12,2,6-2 5-5 5-2 4-0 3-0 2-2 1-0,40.0,2.8284271247461903,36.0,42.0,6.0,40.0,38.58578643762691,37.17157287525381,34.34314575050762,2,10,3,True,1,37,6.5,8.0,9.0,10.0,-2.5
137,7,5-5 5-4 5-2 3-3 2-1 2-0 1-0,36.666666666666664,0.9428090415820634,36.0,38.0,2.0,36.666666666666664,36.19526214587563,35.7238576250846,34.78104858350254,2,10,0,False,0,38,14.0,10.0,10.0,9.0,4.0
162,2,6-4 6-2 5-3 4-2 4-1 2-1 2-0,37.333333333333336,5.2493385826745405,30.0,42.0,12.0,37.333333333333336,34.708664041996066,32.083994750658796,26.834656167984257,0,15,4,False,2,42,10.5,11.0,11.0,13.0,-0.5
13,3,6-6 5-4 5-3 4-4 4-0 2-0 1-0,36.666666666666664,4.714045207910317,30.0,40.0,10.0,36.666666666666664,34.309644062711506,31.952621458756347,27.23857625084603,2,0,1,False,1,44,14.0,12.0,12.0,12.0,2.0
125,5,6-1 6-0 5-5 5-2 5-1 4-4 2-0,36.0,4.320493798938574,30.0,40.0,10.0,36.0,33.839753100530714,31.679506201061425,27.35901240212285,2,10,3,True,2,46,17.5,15.0,13.0,11.0,4.5
107,7,6-6 5-5 5-2 4-2 3-0 1-1 1-0,36.666666666666664,4.988876515698588,30.0,42.0,12.0,36.666666666666664,34.17222840881737,31.677790150968075,26.688913635269486,3,10,0,False,1,41,14.0,13.0,14.0,14.0,0.0
65,5,6-4 5-5 5-4 5-3 3-0 2-2 1-1,37.333333333333336,6.599663291074444,28.0,42.0,14.0,37.333333333333336,34.03350168779611,30.733670042258893,24.134006751184447,3,20,3,True,1,46,10.5,14.0,15.0,21.0,-4.5
112,2,6-6 6-3 5-5 4-2 3-2 1-1 1-0,36.666666666666664,6.182412330330469,28.0,42.0,14.0,36.666666666666664,33.57546050150143,30.484254336336196,24.301842006005728,3,15,2,False,2,45,14.0,16.5,16.5,18.5,-2.5
171,1,5-1 5-0 3-1 3-0 2-1 1-0 0-0,36.666666666666664,6.182412330330469,28.0,42.0,14.0,36.666666666666664,33.57546050150143,30.484254336336196,24.301842006005728,1,5,4,False,0,22,14.0,16.5,16.5,18.5,-2.5
77,7,6-6 5-5 4-4 4-2 4-1 2-2 1-0,36.0,5.887840577551898,28.0,42.0,14.0,36.0,33.05607971122405,30.1121594224481,24.224318844896203,4,15,0,False,1,46,17.5,18.0,18.0,20.0,-0.5
183,3,6-0 5-4 5-0 4-4 4-2 2-2 2-1,35.333333333333336,5.2493385826745405,28.0,40.0,12.0,35.333333333333336,32.708664041996066,30.083994750658796,24.834656167984257,2,5,0,False,1,41,19.5,19.0,19.0,15.0,0.5
169,9,6-3 5-5 5-3 4-4 4-2 4-0 2-1,35.333333333333336,5.734883511361751,28.0,42.0,14.0,35.333333333333336,32.46589157765246,29.598449821971585,23.863566310609833,2,10,0,False,1,48,19.5,20.0,20.0,22.0,-0.5
21,1,5-4 4-4 4-1 4-0 3-2 2-1 2-0,34.666666666666664,6.182412330330469,26.0,40.0,14.0,34.666666666666664,31.57546050150143,28.484254336336196,22.301842006005728,1,10,2,False,0,36,22.0,21.0,21.0,24.0,1.0
62,2,6-6 6-2 5-5 4-2 3-2 3-0 2-0,34.0,5.656854249492381,30.0,42.0,12.0,34.0,31.17157287525381,28.34314575050762,22.68629150101524,2,15,4,False,2,46,25.0,22.0,22.0,23.0,3.0
117,7,6-6 5-5 5-4 5-0 3-3 3-2 2-1,28.0,1.632993161855452,26.0,30.0,4.0,28.0,27.183503419072274,26.367006838144547,24.734013676289095,3,20,0,False,1,50,49.0,34.0,23.0,17.0,26.0
192,2,6-2 6-1 5-5 5-3 5-0 1-0 0-0,31.333333333333332,4.988876515698588,26.0,38.0,12.0,31.333333333333332,28.83889507548404,26.344456817634743,21.355580301936158,2,15,1,False,2,39,36.5,27.0,24.0,25.0,12.5
102,2,6-6 5-5 5-0 4-4 4-0 2-0 0-0,32.666666666666664,6.79869268479038,26.0,42.0,16.0,32.666666666666664,29.267320324271473,25.867973981876283,19.069281297085904,4,15,1,False,1,41,32.0,25.5,25.5,26.5,6.5
59,9,6-6 6-3 5-3 4-3 4-0 3-0 2-0,32.666666666666664,6.79869268479038,26.0,42.0,16.0,32.666666666666664,29.267320324271473,25.867973981876283,19.069281297085904,1,0,0,False,2,45,32.0,25.5,25.5,26.5,6.5
175,5,6-6 6-4 5-5 4-3 4-0 2-2 2-0,26.666666666666668,0.9428090415820634,26.0,28.0,2.0,26.666666666666668,26.195262145875635,25.723857625084605,24.781048583502542,3,20,1,True,2,49,55.5,37.0,27.0,16.0,28.5
103,3,6-3 5-3 5-2 4-3 3-2 2-2 2-1,34.666666666666664,10.370899457402697,20.0,42.0,22.0,34.666666666666664,29.481216937965314,24.295767209263968,13.924867751861271,1,5,4,False,1,43,22.0,23.5,28.5,31.5,-6.5
96,6,6-6 6-3 6-2 6-1 5-5 5-1 3-3,34.666666666666664,10.370899457402697,20.0,42.0,22.0,34.666666666666664,29.481216937965314,24.295767209263968,13.924867751861271,3,10,4,True,4,58,22.0,23.5,28.5,31.5,-6.5
115,5,6-5 6-1 5-5 5-3 5-1 4-3 2-2,34.0,11.313708498984761,18.0,42.0,24.0,34.0,28.34314575050762,22.68629150101524,11.372583002030478,2,10,4,True,2,53,25.0,28.5,30.5,37.5,-5.5
189,9,6-3 5-4 4-4 4-3 4-0 3-1 2-2,34.0,11.313708498984761,18.0,42.0,24.0,34.0,28.34314575050762,22.68629150101524,11.372583002030478,2,0,0,False,1,45,25.0,28.5,30.5,37.5,-5.5
34,4,6-6 6-4 6-2 5-5 5-0 4-4 3-0,33.333333333333336,10.873004286866726,18.0,42.0,24.0,33.333333333333336,27.896831189899974,22.46032904646661,11.587324759599884,3,25,2,True,3,56,28.0,30.5,32.5,35.5,-4.5
82,2,6-2 5-2 4-4 4-2 4-1 3-0 0-0,33.333333333333336,10.873004286866726,18.0,42.0,24.0,33.333333333333336,27.896831189899974,22.46032904646661,11.587324759599884,2,5,3,False,1,37,28.0,30.5,32.5,35.5,-4.5
55,5,5-5 5-4 5-2 4-0 3-1 2-0 1-0,32.666666666666664,10.498677165349081,18.0,42.0,24.0,32.666666666666664,27.417328083992125,22.167989501317585,11.669312335968502,1,10,3,True,0,37,32.0,32.0,34.0,34.0,-2.0
39,9,6-1 5-5 4-4 4-3 3-3 2-0 1-1,33.333333333333336,12.256517540566824,16.0,42.0,26.0,33.333333333333336,27.205074563049923,21.07681579276651,8.820298252199688,4,10,0,False,1,42,28.0,33.0,35.0,46.0,-7.0
172,2,6-2 6-0 4-3 4-0 3-1 2-2 2-0,32.666666666666664,11.8133634311129,16.0,42.0,26.0,32.666666666666664,26.759984951110212,20.853303235553764,9.039939804440863,1,0,3,True,2,35,32.0,35.0,36.0,45.0,-4.0
184,4,6-4 5-5 5-3 5-0 4-3 4-2 3-3,23.333333333333332,2.494438257849294,20.0,26.0,6.0,23.333333333333332,22.086114204408684,20.83889507548404,18.344456817634743,2,25,3,False,1,52,66.5,48.0,37.0,28.0,29.5
181,1,6-0 5-5 5-1 5-0 4-3 4-1 1-1,32.0,11.430952132988164,16.0,42.0,26.0,32.0,26.284523933505916,20.569047867011836,9.138095734023672,2,20,3,True,1,41,35.0,36.0,38.0,44.0,-3.0
138,8,6-5 6-3 6-2 6-0 5-2 1-1 0-0,29.333333333333332,9.285592184789413,20.0,42.0,22.0,29.333333333333332,24.690537240938625,20.04774114854392,10.762148963754505,2,0,0,False,4,43,41.5,39.0,39.0,39.0,2.5
15,5,5-5 5-4 5-0 4-3 3-3 3-2 1-1,28.666666666666668,8.993825042154695,18.0,40.0,22.0,28.666666666666668,24.16975414558932,19.672841624511975,10.679016582357278,3,20,3,True,0,44,46.0,42.0,40.0,41.0,6.0
150,0,6-0 5-4 5-3 4-4 3-2 2-0 1-0,29.333333333333332,9.843215373488935,18.0,42.0,24.0,29.333333333333332,24.411725646588863,19.490117959844397,9.646902586355463,1,5,3,False,1,39,41.5,40.5,41.5,42.5,0.0
108,8,6-6 6-5 6-3 5-4 5-3 3-1 0-0,29.333333333333332,9.843215373488935,18.0,42.0,24.0,29.333333333333332,24.411725646588863,19.490117959844397,9.646902586355463,2,0,0,False,3,53,41.5,40.5,41.5,42.5,0.0
52,2,6-3 5-5 5-4 5-2 3-3 2-0 1-1,32.666666666666664,13.199326582148887,14.0,42.0,28.0,32.666666666666664,26.067003375592222,19.46734008451778,6.268013502368891,3,10,2,False,1,45,32.0,38.0,43.0,52.0,-11.0
170,0,6-5 6-1 5-5 5-2 5-0 4-4 4-2,28.0,8.640987597877148,20.0,40.0,20.0,28.0,23.679506201061425,19.35901240212285,10.718024804245704,2,15,1,False,2,54,49.0,44.0,44.0,40.0,5.0
84,4,6-5 6-4 6-1 5-5 4-3 2-0 1-1,22.0,2.8284271247461903,18.0,24.0,6.0,22.0,20.585786437626904,19.17157287525381,16.34314575050762,2,20,2,False,3,49,70.0,53.0,45.0,30.0,25.0
17,7,6-6 6-1 5-5 5-3 4-4 4-0 1-0,18.666666666666668,0.9428090415820634,18.0,20.0,2.0,18.666666666666668,18.195262145875635,17.723857625084605,16.781048583502542,3,10,0,False,2,50,78.5,59.0,46.0,29.0,32.5
158,8,6-6 6-5 5-2 5-1 4-1 3-0 2-2,28.0,10.708252269472673,14.0,40.0,26.0,28.0,22.645873865263663,17.291747730527327,6.583495461054653,2,5,0,False,2,48,49.0,45.0,47.0,51.0,2.0
167,7,6-1 5-5 5-3 3-3 3-2 2-2 2-0,26.666666666666668,9.568466729604882,18.0,40.0,22.0,26.666666666666668,21.882433301864225,17.098199937061786,7.529733207456903,3,15,0,False,1,42,55.5,49.0,48.0,47.0,7.5
163,3,6-3 6-1 4-3 4-0 3-2 3-1 2-0,27.333333333333332,10.370899457402697,20.0,42.0,22.0,27.333333333333332,22.147883604631986,16.962433875930635,6.591534418527939,0,5,4,False,2,38,51.5,47.0,49.0,50.0,2.5
110,0,6-1 4-4 3-3 3-0 2-2 2-1 2-0,20.666666666666668,3.7712361663282534,18.0,26.0,8.0,20.666666666666668,18.781048583502542,16.895430500338414,13.124194334010161,3,0,2,False,1,33,74.5,58.0,50.0,33.0,24.5
44,4,6-6 6-5 6-4 5-0 4-4 4-1 4-0,31.333333333333332,15.084944665313014,10.0,42.0,32.0,31.333333333333332,23.790861000676827,16.24838866802032,1.1634440027073047,2,20,4,True,3,55,36.5,43.0,51.0,55.0,-14.5
190,0,6-4 6-2 6-0 5-4 5-1 4-4 2-0,24.0,8.640987597877148,16.0,36.0,20.0,24.0,19.679506201061425,15.359012402122852,6.7180248042457045,1,10,2,False,3,49,63.5,56.0,52.0,48.0,11.5
50,0,6-4 5-1 4-3 3-3 3-0 2-1 0-0,30.0,15.57776192739723,8.0,42.0,34.0,30.0,22.211119036301383,14.42223807260277,-1.1555238547944597,2,10,2,True,1,35,38.0,46.0,53.0,62.0,-15.0
67,7,6-5 5-2 5-1 4-2 4-1 3-3 2-2,23.333333333333332,10.370899457402697,16.0,38.0,22.0,23.333333333333332,18.147883604631986,12.962433875930635,2.5915344185279388,2,5,0,False,1,45,66.5,60.0,54.0,53.0,12.5
123,3,5-5 4-4 4-1 3-3 3-1 3-0 2-1,29.333333333333332,16.519348924485154,6.0,42.0,36.0,29.333333333333332,21.073658871090757,12.813984408848178,-3.705364515636976,3,15,3,True,0,39,41.5,51.0,56.0,68.0,-14.5
57,7,6-6 6-3 6-1 6-0 5-5 2-1 2-0,29.333333333333332,16.519348924485154,6.0,42.0,36.0,29.333333333333332,21.073658871090757,12.813984408848178,-3.705364515636976,2,10,0,False,4,49,41.5,51.0,56.0,68.0,-14.5
130,0,5-4 5-3 5-0 3-3 3-0 2-1 1-1,29.333333333333332,16.519348924485154,6.0,42.0,36.0,29.333333333333332,21.073658871090757,12.813984408848178,-3.705364515636976,2,5,2,False,0,36,41.5,51.0,56.0,68.0,-14.5
105,5,6-3 6-2 5-5 4-4 3-2 3-1 2-1,18.0,5.656854249492381,14.0,26.0,12.0,18.0,15.17157287525381,12.34314575050762,6.686291501015239,2,15,1,True,2,47,82.0,71.0,58.0,49.0,24.0
30,0,6-5 6-0 5-0 4-3 4-1 4-0 2-2,28.666666666666668,17.46106780494506,4.0,42.0,38.0,28.666666666666668,19.936132764194138,11.205598861721608,-6.255468943223452,1,10,3,False,2,42,46.0,54.5,59.5,75.5,-13.5
159,9,5-3 5-2 4-3 4-1 3-3 3-2 1-1,28.666666666666668,17.46106780494506,4.0,42.0,38.0,28.666666666666668,19.936132764194138,11.205598861721608,-6.255468943223452,2,10,0,False,0,40,46.0,54.5,59.5,75.5,-13.5
33,3,6-6 6-2 4-4 4-1 2-0 1-1 0-0,24.0,12.96148139681572,12.0,42.0,30.0,24.0,17.51925930159214,11.03851860318428,-1.9229627936314415,4,5,0,False,2,37,63.5,61.0,61.0,64.0,2.5
180,0,6-1 5-2 5-0 4-1 3-3 3-0 2-2,24.0,13.063945294843617,8.0,40.0,32.0,24.0,17.46802735257819,10.936054705156383,-2.127890589687233,2,10,2,False,1,37,63.5,62.0,62.0,65.0,1.5
