base_seed,V_mean,V_std,V_spread,n_doubles,trump_count,has_trump_double,count_points,n_6_high,total_pips,ev_bin
0,41.333333333333336,1.154700538379251,2.0,3,3,1,0,0,29,Strong (>25)
1,14.0,24.979991993593593,48.0,1,3,0,5,3,40,Good (10-25)
2,14.0,24.979991993593593,48.0,2,3,0,15,1,36,Good (10-25)
3,17.333333333333332,25.006665778014735,50.0,1,2,0,10,3,40,Good (10-25)
4,-4.0,22.0,44.0,2,2,1,5,1,49,Weak (-10 to 10)
5,5.333333333333333,22.03028218914441,44.0,3,0,0,0,2,43,Weak (-10 to 10)
6,5.333333333333333,34.019602192461534,68.0,3,1,1,0,1,53,Weak (-10 to 10)
7,21.333333333333332,32.331615074619044,56.0,3,0,0,5,2,45,Good (10-25)
8,5.333333333333333,17.925772879665004,32.0,3,0,0,15,1,47,Weak (-10 to 10)
9,11.333333333333334,28.37839553839035,56.0,0,0,0,0,2,38,Good (10-25)
10,-2.6666666666666665,15.275252316519467,30.0,1,1,0,10,2,41,Weak (-10 to 10)
11,-15.333333333333334,31.895663237081827,62.0,1,1,0,5,2,45,Very Weak (<-10)
12,40.0,3.4641016151377544,6.0,2,3,1,10,1,37,Strong (>25)
13,36.666666666666664,5.773502691896256,10.0,2,1,0,0,1,44,Strong (>25)
14,6.666666666666667,3.0550504633038935,6.0,1,3,0,20,2,45,Weak (-10 to 10)
15,28.666666666666668,11.015141094572204,22.0,3,3,1,20,0,44,Strong (>25)
16,8.666666666666666,23.86070689089771,46.0,1,1,1,0,1,38,Weak (-10 to 10)
17,18.666666666666668,1.154700538379251,2.0,3,0,0,10,2,50,Good (10-25)
18,11.333333333333334,11.015141094572204,20.0,1,0,0,15,3,42,Good (10-25)
19,22.0,16.3707055437449,32.0,3,0,0,15,1,36,Good (10-25)
20,16.0,30.265491900843113,58.0,1,0,0,5,2,53,Good (10-25)
21,34.666666666666664,7.571877794400366,14.0,1,2,0,10,0,36,Strong (>25)
22,11.333333333333334,28.37839553839035,56.0,1,3,0,5,3,51,Good (10-25)
23,10.666666666666666,45.62163229580167,80.0,2,0,0,20,2,52,Good (10-25)
24,15.333333333333334,31.895663237081827,62.0,1,1,0,25,3,51,Good (10-25)
25,4.666666666666667,34.486712417006835,68.0,2,1,0,15,3,47,Weak (-10 to 10)
26,1.3333333333333333,33.605555096342826,66.0,2,2,0,15,2,44,Weak (-10 to 10)
27,4.0,26.0,46.0,2,0,0,0,2,38,Weak (-10 to 10)
28,21.333333333333332,24.193663082165408,46.0,1,0,0,20,3,47,Good (10-25)
29,11.333333333333334,7.571877794400365,14.0,1,0,0,15,3,42,Good (10-25)
30,28.666666666666668,21.385353243127252,38.0,1,3,0,10,2,42,Strong (>25)
31,-3.3333333333333335,41.198705481281,82.0,3,0,0,15,1,46,Weak (-10 to 10)
32,-7.333333333333333,35.00476158086688,70.0,0,1,0,10,4,59,Weak (-10 to 10)
33,24.0,15.874507866387544,30.0,4,0,0,5,2,37,Good (10-25)
34,33.333333333333336,13.316656236958787,24.0,3,2,1,25,3,56,Strong (>25)
35,8.0,26.0,46.0,2,1,0,5,1,30,Weak (-10 to 10)
36,-8.666666666666666,29.280255007997,58.0,0,3,0,5,3,43,Weak (-10 to 10)
37,-1.3333333333333333,5.773502691896257,10.0,1,0,0,10,1,39,Weak (-10 to 10)
38,-20.666666666666668,23.860706890897706,46.0,1,0,0,5,2,35,Very Weak (<-10)
39,33.333333333333336,15.01110699893027,26.0,4,0,0,10,1,42,Strong (>25)
40,-23.333333333333332,27.15388247255507,48.0,1,1,0,0,3,50,Very Weak (<-10)
41,-20.666666666666668,22.479620400116488,44.0,1,1,0,0,2,40,Very Weak (<-10)
42,19.333333333333332,23.00724523564986,46.0,2,1,1,0,2,43,Good (10-25)
43,7.333333333333333,29.143323992525858,58.0,2,2,0,10,3,54,Weak (-10 to 10)
44,31.333333333333332,18.475208614068027,32.0,2,4,1,20,3,55,Strong (>25)
45,8.666666666666666,31.262330900515614,62.0,2,2,0,0,1,42,Weak (-10 to 10)
46,8.666666666666666,6.429100507328637,12.0,2,1,0,5,1,38,Weak (-10 to 10)
47,25.333333333333332,25.403411844343534,44.0,2,0,0,0,3,43,Strong (>25)
48,8.0,15.874507866387544,30.0,3,0,0,15,1,41,Weak (-10 to 10)
49,26.666666666666668,26.558112382722783,46.0,2,0,0,5,3,44,Strong (>25)
50,30.0,19.078784028338912,34.0,2,2,1,10,1,35,Strong (>25)
51,17.333333333333332,21.007935008784976,42.0,1,1,1,10,2,44,Good (10-25)
