base_seed,n_pairwise_comparisons,n_3way_common,pairwise_consistent,pairwise_varied,consistency_rate,n_consistent_3way,n_varied_3way,mean_action_entropy,p2_trump_std,p2_doubles_std,p2_pips_std,p2_count_std
7,1633950,198185,939540,694410,0.5750114752593408,100278,97907,0.32365029866535755,0.0,0.9428090415820634,2.8674417556808756,2.357022603955158
19,1940707,258311,1140802,799905,0.5878280441096981,112926,145385,0.3739126355776715,0.0,0.4714045207910317,3.091206165165235,4.08248290463863
21,1322289,159844,771521,550768,0.5834738094319775,76297,83547,0.3372396313700402,0.4714045207910317,0.816496580927726,4.189935029992179,6.236095644623236
26,1830111,239709,1104639,725472,0.6035912575794583,116329,123380,0.33298349360602114,0.4714045207910317,0.816496580927726,3.7416573867739413,4.714045207910316
38,995489,106609,572839,422650,0.5754347863210945,51884,54725,0.3313545173916673,0.0,0.9428090415820634,3.7712361663282534,9.428090415820632
39,1305335,165772,798239,507096,0.6115204142997774,79810,85962,0.3346256515900757,0.0,0.9428090415820634,2.494438257849294,6.236095644623235
45,1635696,212634,913666,722030,0.5585793448171298,90590,122044,0.3767165445526779,0.816496580927726,0.0,4.189935029992179,2.357022603955158
50,1155921,104651,668499,487422,0.5783258544485307,49663,54988,0.3396615247392263,0.816496580927726,0.816496580927726,0.816496580927726,8.16496580927726
62,1220637,130792,735266,485371,0.6023625369376809,62012,68780,0.3636086175640046,0.4714045207910317,0.0,2.6246692913372702,0.0
69,776762,76797,436635,340127,0.5621219884597857,34679,42118,0.35599900349060704,0.0,0.4714045207910317,2.160246899469287,2.3570226039551585
78,579217,59768,364815,214402,0.6298416655588492,33528,26240,0.2843357411544604,0.0,1.247219128924647,1.8856180831641267,2.357022603955158
90,1253615,137884,690733,562882,0.55099292845092,55341,82543,0.39355067255284054,0.4714045207910317,1.247219128924647,3.265986323710904,7.0710678118654755
93,1221665,125100,674453,547212,0.5520768786860555,53917,71183,0.382627519866077,0.816496580927726,1.247219128924647,2.357022603955158,2.357022603955158
100,1234550,178065,797649,436901,0.6461050585233485,97469,80596,0.29953648758948037,0.4714045207910317,0.4714045207910317,3.39934634239519,4.714045207910316
122,1172662,130494,748302,424360,0.6381224939496632,68541,61953,0.3082098087473614,0.4714045207910317,0.9428090415820634,2.8674417556808756,6.236095644623235
125,1662483,215100,867050,795433,0.5215391676185561,85262,129838,0.39739267031405084,0.9428090415820634,1.247219128924647,2.8674417556808756,4.714045207910316
136,1546015,197313,911624,634391,0.5896605142899648,88394,108919,0.36254818414283135,0.4714045207910317,0.0,3.091206165165235,0.0
139,1042900,131081,638068,404832,0.6118208840732573,62902,68179,0.34137376114195944,0.0,1.247219128924647,4.189935029992179,2.357022603955158
141,401021,41207,247553,153468,0.6173068243308953,20803,20404,0.31813598495325673,0.816496580927726,0.4714045207910317,3.559026084010437,2.3570226039551585
145,1622951,217058,824206,798745,0.5078440445829849,76854,140204,0.4314356276271582,0.816496580927726,0.9428090415820634,3.265986323710904,4.714045207910316
156,2143920,230855,1245472,898448,0.5809321243329975,88643,142212,0.40605912684167184,0.9428090415820634,0.4714045207910317,2.6246692913372702,0.0
174,1066906,112543,559104,507802,0.5240424179824652,42492,70051,0.40951426413861614,0.816496580927726,0.4714045207910317,3.559026084010437,9.428090415820632
180,961309,104527,514461,446848,0.5351671522892223,45741,58786,0.3664637044192074,0.4714045207910317,0.4714045207910317,4.546060565661952,7.0710678118654755
