comparison,r,p_value,ci_low,ci_high,ci_width,r_squared,magnitude,significant,n
E[V] vs σ(V),-0.3808813410944754,2.638689715928275e-08,-0.4935417055698558,-0.2556498518699713,0.23789185369988453,0.14507059599392613,medium,True,200
E[V] vs V_spread,-0.39793558969208287,5.37355399130403e-09,-0.5085969723173326,-0.2743409340761445,0.23425603824118807,0.15835273354358573,medium,True,200
n_doubles vs E[V],0.3953004007890242,6.9125000706647384e-09,0.27144671190016595,0.5062750740055348,0.2348283621053689,0.15626240686396314,medium,True,200
trump_count vs E[V],0.22876920600346973,0.0011207180101299255,0.09297932402794444,0.3562044101133387,0.26322508608539424,0.05233534961545797,small,True,200
count_points vs E[V],0.19677121271101647,0.005227365167867569,0.05965889964645825,0.32659607734249513,0.26693717769603686,0.03871891015176409,small,True,200
n_6_high vs E[V],-0.16053908265439457,0.023153989337909846,-0.29275936452119444,-0.02229464396822424,0.2704647205529702,0.02577279705951453,small,True,200
total_pips vs E[V],0.03535229347687586,0.6192041641204952,-0.10389832359316736,0.17324358130479695,0.2771419048979643,0.0012497846540751594,negligible,False,200
has_trump_double vs E[V],0.24201197357236748,0.0005552507767004617,0.10685896026948165,0.36838377170578174,0.2615248114363001,0.0585697953523923,small,True,200
n_voids vs E[V],0.2003431159440398,0.004449293515782654,0.06336333580295384,0.32991390775232576,0.26655057194937193,0.04013736410616698,small,True,200
n_singletons vs E[V],0.0007618796758005579,0.9914571562967964,-0.13799372201978705,0.13948815043872692,0.27748187245851397,5.804606403979632e-07,negligible,False,200
n_5_high vs E[V],0.07797772479628638,0.2724091689540562,-0.06142786054591803,0.21439921733075906,0.2758270778766771,0.006080525564405376,negligible,False,200
max_suit_length vs E[V],-0.0836214985521229,0.23910088288046583,-0.2198123103373696,0.05576650468035888,0.27557881501772846,0.006992555020102693,negligible,False,200
n_6_high vs σ(V),0.19089948875123627,0.006774067021249366,0.05357750531714647,0.3211350529781246,0.26755754766097817,0.036442614805483386,small,True,200
total_pips vs σ(V),0.14909144522563159,0.03511357518630487,0.010569051891995869,0.2819992776124666,0.27143022572047076,0.022228259039467502,small,True,200
n_doubles vs σ(V),-0.13595621844279188,0.05491070659549269,-0.2696116293576939,0.002838335450777196,0.2724499648084711,0.018484093333264142,small,False,200
trump_count vs σ(V),-0.09022878909458858,0.20386282825619564,-0.2261388994647018,0.0491272219945049,0.2752661214592067,0.008141234381475746,negligible,False,200
