Comparison,r,p_raw,p_adj_BH,Magnitude,Sig_raw,Sig_BH
E[V] vs V_spread,-0.3979355896920828,5.3735539913040305e-09,5.5300000565317894e-08,medium,True,True
n_doubles vs E[V],0.3953004007890242,6.912500070664737e-09,5.5300000565317894e-08,medium,True,True
E[V] vs σ(V),-0.3808813410944754,2.6386897159282753e-08,1.4073011818284135e-07,medium,True,True
has_trump_double vs E[V],0.2420119735723674,0.0005552507767004,0.0022210031068016,small,True,True
trump_count vs E[V],0.2287692060034697,0.0011207180101299,0.00358629763241568,small,True,True
n_voids vs E[V],0.2003431159440398,0.0044492935157826,0.0118647827087536,small,True,True
count_points vs E[V],0.1967712127110164,0.0052273651678675,0.01194826324084,small,True,True
n_6_high vs σ(V),0.1908994887512362,0.0067740670212493,0.0135481340424986,small,True,True
n_6_high vs E[V],-0.1605390826543945,0.0231539893379098,0.041162647711839646,small,True,True
total_pips vs σ(V),0.1490914452256315,0.0351135751863048,0.05618172029808768,small,True,False
n_doubles vs σ(V),-0.1359562184427918,0.0549107065954926,0.07987011868435288,small,False,False
trump_count vs σ(V),-0.0902287890945885,0.2038628282561956,0.2718171043415941,negligible,False,False
max_suit_length vs E[V],-0.0836214985521229,0.2391008828804658,0.29427800969903484,negligible,False,False
n_5_high vs E[V],0.0779777247962863,0.2724091689540562,0.3113247645189214,negligible,False,False
total_pips vs E[V],0.0353522934768758,0.6192041641204952,0.6604844417285282,negligible,False,False
n_singletons vs E[V],0.0007618796758005,0.9914571562967964,0.9914571562967964,negligible,False,False
