Feature,Main Effect,Total Interactions,Main/Total Ratio
n_doubles,4.918400043227269,2.2719659890431005,0.6840263793461258
trump_count,3.943254755944573,2.1825936678136753,0.6437075296625379
count_points,1.9158246033393191,1.4068575814096822,0.5765897840404024
n_singletons,1.749667114462888,2.296861022509633,0.43238723548625346
total_pips,1.4107208636052615,1.6550691979853558,0.4601492063267177
n_6_high,1.1957577961404346,1.3047982939288356,0.47819675027058073
has_trump_double,1.113941960124496,1.1215370726347298,0.4983012337850337
max_suit_length,0.7151629734801688,1.0267745635680612,0.4105560379002084
n_5_high,0.2152481268221302,0.6823627935949383,0.2398011453805806
n_voids,0.20768573657144646,0.2590536554750745,0.44497151967568654
