Feature 1,Feature 2,Mean |Interaction|
n_doubles,n_singletons,0.7306966180846224
trump_count,total_pips,0.5432086757293136
max_suit_length,n_singletons,0.46964613198971883
trump_count,has_trump_double,0.40081434427306306
n_doubles,trump_count,0.3742520155886176
n_doubles,max_suit_length,0.2954509152897468
count_points,n_singletons,0.2888626964839263
n_doubles,count_points,0.2805032162040887
trump_count,count_points,0.27381027486037207
n_6_high,n_singletons,0.26542025668287417
n_5_high,total_pips,0.2171299443657204
n_doubles,n_6_high,0.21646780573452884
n_doubles,total_pips,0.2124510646320947
trump_count,n_singletons,0.2092733664493354
trump_count,n_6_high,0.20675495179327766
count_points,total_pips,0.18539882296247157
n_6_high,total_pips,0.18047933773738367
has_trump_double,n_5_high,0.1692628563826057
n_6_high,count_points,0.15122574908940248
n_doubles,has_trump_double,0.1494167429692067
has_trump_double,n_singletons,0.1433508555148152
has_trump_double,n_6_high,0.142476337307765
n_6_high,n_5_high,0.12378339899699448
trump_count,n_5_high,0.1099252374294824
n_voids,count_points,0.10334718868336834
total_pips,n_singletons,0.09998098855334688
max_suit_length,total_pips,0.0973095314971145
n_voids,total_pips,0.07029898736957141
max_suit_length,count_points,0.06545396767915854
trump_count,max_suit_length,0.0633093100512539
has_trump_double,count_points,0.05060224194054459
has_trump_double,total_pips,0.048811845138339006
n_voids,n_singletons,0.045926995013233565
n_5_high,n_singletons,0.043703113737760396
n_6_high,max_suit_length,0.01748416522120658
has_trump_double,n_voids,0.015927577114092654
n_voids,max_suit_length,0.014072983894712898
n_5_high,count_points,0.007653423506349498
n_doubles,n_5_high,0.0064655016848174695
n_doubles,n_voids,0.006262108855376243
max_suit_length,n_5_high,0.003173285950851346
n_voids,n_5_high,0.0012660315403567038
trump_count,n_voids,0.0012454916389598122
has_trump_double,max_suit_length,0.0008742719942979847
n_voids,n_6_high,0.0007062913654028784
