domino_id,high_pip,low_pip,is_double,count_pts,mean_abs_shap,n_appearances,label
24,6,3,False,0,0.33904518292176283,100,6-3
9,3,3,True,0,0.31346887959239866,100,3-3
20,5,5,True,10,0.24440107132426514,100,5-5
18,5,3,False,0,0.23016572039398508,100,5-3
25,6,4,False,10,0.20693887375261258,100,6-4
8,3,2,False,5,0.2047427933942287,100,3-2
13,4,3,False,0,0.20250073672642596,100,4-3
27,6,6,True,0,0.18191093313956788,100,6-6
15,5,0,False,5,0.1735504153518254,100,5-0
11,4,1,False,5,0.16755990082140873,100,4-1
14,4,4,True,0,0.1615625262745514,100,4-4
7,3,1,False,0,0.1603419471773523,100,3-1
6,3,0,False,0,0.15898892877650903,100,3-0
26,6,5,False,0,0.14653423183645342,100,6-5
16,5,1,False,0,0.13973946975102913,100,5-1
19,5,4,False,0,0.1390257583185804,100,5-4
12,4,2,False,0,0.1331254262472393,100,4-2
17,5,2,False,0,0.1325141146502319,100,5-2
10,4,0,False,0,0.12741281585077624,100,4-0
21,6,0,False,0,0.12278297674623521,100,6-0
23,6,2,False,0,0.12050102938438152,100,6-2
22,6,1,False,0,0.11690382299990748,100,6-1
5,2,2,True,0,0.1097257693328865,100,2-2
2,1,1,True,0,0.10316243181467787,100,1-1
4,2,1,False,0,0.10190785100059296,100,2-1
3,2,0,False,0,0.08879540308544252,100,2-0
1,1,0,False,0,0.08147171431816298,100,1-0
0,0,0,True,0,0.06807948196289404,100,0-0
