token_idx,token_label,mean_abs_shap,player
0,ctx,0.0,-1
1,P0_0,0.10219838857219284,0
2,P0_1,0.12667690919498595,0
3,P0_2,0.16085640084892444,0
4,P0_3,0.1683000496193787,0
5,P0_4,0.1598965871004264,0
6,P0_5,0.17501329175906954,0
7,P0_6,0.18996264463418275,0
8,P1_0,0.0787899920648853,1
9,P1_1,0.1348068474971907,1
10,P1_2,0.1594770925109215,1
11,P1_3,0.16764785732999776,1
12,P1_4,0.16973591958898154,1
13,P1_5,0.16585346781032662,1
14,P1_6,0.1838372669011351,1
15,P2_0,0.0902920241181466,2
16,P2_1,0.12521971704105134,2
17,P2_2,0.17110673348439245,2
18,P2_3,0.17583187709046333,2
19,P2_4,0.15532033991459687,2
20,P2_5,0.16253517643611573,2
21,P2_6,0.20640428439109518,2
22,P3_0,0.08505667768694422,3
23,P3_1,0.15740101158181158,3
24,P3_2,0.17927994051708013,3
25,P3_3,0.1915145556355004,3
26,P3_4,0.19965423896962572,3
27,P3_5,0.19551834729454445,3
28,P3_6,0.2386725673524181,3
29,trick0,0.0,-1
30,trick1,0.0,-1
31,trick2,0.0,-1
