base_seed,V_mean,V_std,n_doubles,trump_count,umap1,umap2
0,41.333333333333336,0.9428090415820634,3,3,9.588851,7.8951683
1,14.0,20.396078054371134,1,3,10.428614,4.27745
2,14.0,20.396078054371134,2,3,6.599446,4.1064353
3,17.333333333333332,20.41785710815141,1,2,10.2376585,4.245377
4,-4.0,17.962924780409974,2,2,10.376539,7.545305
5,5.333333333333333,17.98765008430939,3,0,8.858717,3.4836173
6,5.333333333333333,27.776888874666213,3,1,10.461994,7.5743656
7,21.33333333333333,26.398653164297773,3,0,8.672775,3.9671123
8,5.333333333333333,14.636332266733431,3,0,7.83844,4.462395
9,11.333333333333334,23.170862929310356,0,0,4.3804455,4.658542
10,-2.6666666666666665,12.472191289246473,1,1,9.793038,4.1540093
11,-15.333333333333334,26.04269997949948,1,1,4.6554255,4.647019
12,40.0,2.8284271247461903,2,3,10.168596,7.91803
13,36.66666666666666,4.714045207910317,2,1,5.5628095,5.233141
14,6.666666666666667,2.494438257849294,1,3,6.7746487,6.7139325
15,28.666666666666668,8.993825042154695,3,3,9.935373,7.42602
16,8.666666666666666,19.48218559493661,1,1,10.574266,8.107663
17,18.666666666666668,0.9428090415820634,3,0,8.027522,4.667099
18,11.333333333333334,8.993825042154695,1,0,9.166,4.6206737
19,22.0,13.36662510384228,3,0,6.9553647,4.008724
20,16.0,24.711670657134185,1,0,7.8131638,4.9845066
21,34.666666666666664,6.182412330330469,1,2,7.539787,3.1395102
22,11.333333333333334,23.17086292931036,1,3,9.959059,5.4997215
23,10.666666666666666,37.24990678586398,2,0,8.330619,5.14409
24,15.333333333333334,26.04269997949948,1,1,8.674722,5.401724
25,4.666666666666667,28.15828277592384,2,1,8.885832,4.73029
26,1.3333333333333333,27.438820836342234,2,2,9.26361,5.8840194
27,4.0,21.22891110412088,2,0,8.873145,3.6118095
28,21.33333333333333,19.75404318670541,1,0,7.4498262,6.374286
29,11.333333333333334,6.182412330330469,1,0,9.350291,4.8278246
30,28.666666666666668,17.46106780494506,1,3,6.560014,6.5175166
31,-3.333333333333333,33.6386021641143,3,0,7.810009,3.8188562
32,-7.333333333333333,28.58126814696802,0,1,8.501668,5.3049183
33,24.0,12.96148139681572,4,0,9.207709,3.4815478
34,33.333333333333336,10.873004286866726,3,2,10.283038,6.7074275
35,8.0,21.22891110412088,2,1,4.6987143,5.1427574
36,-8.666666666666666,23.90722810272148,0,3,10.091749,4.999832
37,-1.3333333333333333,4.714045207910317,1,0,5.1301503,6.6599607
38,-20.666666666666668,19.48218559493661,1,0,4.7989435,6.23199
39,33.333333333333336,12.256517540566824,4,0,7.1113696,5.1998305
40,-23.33333333333333,22.17105219775452,1,1,5.568573,6.0294642
41,-20.666666666666668,18.354533197248276,1,1,4.495087,4.6262074
42,19.33333333333333,18.785337071473823,2,1,10.676028,7.991866
43,7.333333333333333,23.79542439676633,2,2,7.0374327,6.2494407
44,31.33333333333333,15.084944665313014,2,4,10.046882,6.347043
45,8.666666666666666,25.5255862921022,2,2,5.099163,4.8887587
46,8.666666666666666,5.2493385826745405,2,1,8.334118,3.2869072
47,25.33333333333333,20.741798914805397,2,0,9.157044,3.5436928
48,8.0,12.96148139681572,3,0,7.8743854,4.4023156
49,26.666666666666668,21.684607956387456,2,0,5.224086,5.8258257
50,30.0,15.57776192739723,2,2,10.32143,8.035935
51,17.333333333333332,17.15290710702481,1,1,10.616102,7.8105
52,32.666666666666664,13.199326582148888,3,2,5.955654,5.0710497
53,6.666666666666667,23.79542439676633,1,3,10.022332,8.330027
54,-20.0,5.656854249492381,2,2,6.057066,5.954179
55,32.666666666666664,10.49867716534908,1,3,10.011554,7.0580907
56,-7.333333333333333,26.14489540150344,1,1,4.644428,4.8006682
57,29.33333333333333,16.519348924485154,2,0,8.839528,4.718711
58,-10.0,18.83259585576738,2,0,6.950728,3.6114368
59,32.666666666666664,6.79869268479038,1,0,9.046897,3.8046365
60,18.0,15.57776192739723,0,1,8.753741,5.0126843
61,14.666666666666666,28.110891523077356,1,2,6.941454,6.479478
62,34.0,5.656854249492381,2,4,9.6595745,6.213414
63,11.333333333333334,23.79542439676633,2,2,9.491443,5.463508
64,-28.0,1.632993161855452,3,1,8.322467,4.4673
65,37.333333333333336,6.599663291074444,3,3,10.074789,7.5653644
66,2.6666666666666665,14.079141387961918,1,3,9.950603,5.446021
67,23.33333333333333,10.370899457402697,2,0,7.998721,4.2931104
68,9.333333333333334,9.568466729604882,1,0,4.9170604,6.567913
69,40.0,1.632993161855452,3,0,7.2282076,5.4937515
70,-4.666666666666667,15.084944665313014,3,1,9.889434,7.8125086
71,9.333333333333334,23.11324776447962,1,1,5.432458,6.6984015
72,16.666666666666668,33.038697848970315,1,2,10.093024,4.3414083
73,1.3333333333333333,23.90722810272148,2,1,8.034449,5.8200045
74,-29.33333333333333,9.843215373488936,0,1,5.4252067,6.17776
75,18.0,16.97056274847714,2,2,10.636307,7.7573996
76,16.666666666666668,13.299958228840003,2,3,10.652799,7.4642415
77,36.0,5.887840577551898,4,0,7.694776,4.355642
78,6.666666666666667,14.267289706021796,2,0,5.7958336,5.0137696
79,10.666666666666666,5.2493385826745405,1,0,5.0984764,6.219847
80,39.333333333333336,0.9428090415820634,2,2,6.849998,3.8433883
81,13.333333333333334,20.67741655902776,2,2,7.8274326,3.490139
82,33.333333333333336,10.873004286866726,2,3,6.109393,5.828458
83,-14.666666666666666,23.79542439676633,0,1,5.35862,6.4141765
84,22.0,2.8284271247461903,2,2,7.327342,6.4303894
85,-10.0,23.03620339089466,3,0,8.683016,3.0871341
86,0.6666666666666666,31.93048003954146,1,1,5.2417316,6.7855763
87,3.333333333333333,31.084115271666047,4,0,7.47487,4.3684444
88,2.6666666666666665,0.9428090415820634,0,0,5.3722186,5.08506
89,27.33333333333333,16.67999467092907,1,0,5.574123,5.6763544
90,-20.666666666666668,12.684198393626966,0,2,4.571643,4.7449613
91,20.666666666666668,18.354533197248276,2,3,6.3855186,6.0651555
92,-8.666666666666666,28.5345794120436,1,1,4.5815077,5.1938124
93,8.0,4.320493798938574,1,2,6.905063,4.2679777
94,-0.6666666666666666,30.5650490302604,2,1,4.9618645,4.942755
95,-10.0,33.0252428706689,2,1,4.926762,4.745724
96,34.666666666666664,10.370899457402697,3,4,10.134336,6.4775195
97,38.66666666666666,0.9428090415820634,4,0,7.189602,4.5001664
98,7.333333333333333,16.519348924485154,0,0,9.488682,4.083114
99,9.333333333333334,13.59738536958076,2,0,6.9351554,3.5006707
100,22.666666666666668,14.817407180595248,0,4,6.4419565,6.9019012
101,18.0,16.97056274847714,2,0,9.1596985,5.122303
102,32.666666666666664,6.79869268479038,4,1,7.591752,3.6909344
103,34.666666666666664,10.370899457402697,1,4,6.536822,6.4121604
104,22.0,14.966629547095764,2,2,9.323743,5.7816057
105,18.0,5.656854249492381,2,1,10.608635,7.054963
106,4.0,33.34666400106613,2,2,8.352161,5.7824893
107,36.66666666666666,4.988876515698588,3,0,7.183343,5.139602
108,29.33333333333333,9.843215373488936,2,0,6.330369,5.5058255
109,24.666666666666668,24.51303508113365,2,0,9.333583,3.6039588
110,20.666666666666668,3.771236166328253,3,2,8.701382,3.1704094
111,26.666666666666668,21.684607956387456,4,2,9.478253,8.056725
112,36.66666666666666,6.182412330330469,3,2,7.1172347,5.8210273
113,11.333333333333334,14.079141387961917,1,1,5.0849214,6.4617977
114,24.666666666666668,15.69146972791976,2,2,6.916081,6.3913198
115,34.0,11.31370849898476,2,4,10.227286,6.621508
116,12.666666666666666,21.24983660067897,3,2,9.186351,5.972464
117,28.0,1.632993161855452,3,0,6.296512,4.9249897
118,-26.0,19.79898987322333,0,0,9.642456,3.595807
119,12.0,29.97776954122282,1,0,7.103421,3.4204519
120,41.333333333333336,0.9428090415820634,3,3,10.258285,7.1742425
121,-0.6666666666666666,6.182412330330469,0,2,10.083378,4.1538267
122,14.666666666666666,23.79542439676633,2,1,8.673352,3.3862116
123,29.33333333333333,16.519348924485154,3,3,9.698102,7.7242084
124,-29.33333333333333,16.519348924485154,2,1,5.5262384,4.8960114
125,36.0,4.320493798938574,2,3,10.325723,6.90626
126,0.6666666666666666,14.079141387961918,2,0,8.028849,2.9735558
127,-14.666666666666666,29.31817790306136,1,0,4.9510207,6.0575857
128,-8.0,3.265986323710904,1,0,9.478353,3.6901991
129,16.0,13.36662510384228,2,0,9.191346,3.4148984
130,29.33333333333333,16.519348924485154,2,2,6.9909525,4.0232587
131,2.0,5.887840577551898,1,2,6.216627,6.82682
132,-6.666666666666667,34.42221504913489,0,1,8.279085,5.5870075
133,11.333333333333334,29.227080289043965,2,2,9.460528,5.88068
134,42.0,0.0,3,5,9.553087,8.002244
135,4.666666666666667,16.110727964792762,1,2,7.0985756,3.062628
136,8.666666666666666,6.599663291074444,2,2,7.1673417,5.9661903
137,36.66666666666666,0.9428090415820634,2,0,6.703831,3.6899219
138,29.33333333333333,9.285592184789412,2,0,9.045908,4.0963964
139,15.333333333333334,22.939534045447004,1,0,4.758181,6.3691444
140,26.666666666666668,20.28683207293725,3,3,9.145578,5.7373204
141,16.666666666666668,19.618585292749547,2,2,7.1133275,6.4631147
142,4.666666666666667,17.98765008430939,1,0,8.488025,3.801269
143,17.333333333333332,10.624918300339486,1,1,7.149071,6.6808805
144,5.333333333333333,8.219218670625303,2,3,9.75481,5.8985415
145,1.3333333333333333,29.044027881055957,0,3,5.935824,6.552014
146,18.0,14.966629547095764,2,1,6.740584,3.8081093
147,11.333333333333334,13.097921802925669,2,0,8.909904,4.173675
148,0.0,10.198039027185567,2,0,5.319846,5.918449
149,42.0,0.0,2,0,7.6938715,3.4288657
150,29.33333333333333,9.843215373488936,1,3,6.054354,6.6817255
151,14.666666666666666,15.173075568988056,1,1,6.714744,3.6746366
152,15.333333333333334,37.712361663282536,2,2,10.78497,7.7860026
153,14.0,35.364765892999586,2,1,7.3051114,6.554949
154,8.666666666666666,4.109609335312651,3,0,7.8129416,3.2698421
155,13.333333333333334,20.67741655902776,2,2,8.4890995,4.105371
156,1.3333333333333333,32.71425105702746,2,1,10.365366,7.5295863
157,19.33333333333333,18.785337071473823,2,0,7.8673406,5.1717587
158,28.0,10.708252269472672,2,0,5.7045674,5.5830874
159,28.666666666666668,17.46106780494506,2,0,7.085561,3.2939956
160,4.666666666666667,9.843215373488936,3,1,8.028854,3.7675512
161,4.666666666666667,10.624918300339486,1,2,10.525659,8.181179
162,37.333333333333336,5.2493385826745405,0,4,6.5750237,6.82272
163,27.33333333333333,10.370899457402697,0,4,10.3003235,4.107857
164,-20.666666666666668,5.2493385826745405,0,2,10.072523,4.3605213
165,10.666666666666666,4.988876515698588,2,1,10.358323,7.7643557
166,3.333333333333333,4.109609335312651,1,3,10.202109,8.323417
167,26.666666666666668,9.568466729604882,3,0,7.4795833,4.367408
168,-5.333333333333333,9.843215373488936,2,0,9.085773,3.168203
169,35.333333333333336,5.734883511361751,2,0,5.824716,5.2373347
170,28.0,8.640987597877148,2,1,8.368766,5.6667185
171,36.66666666666666,6.182412330330469,1,4,7.182499,3.1122174
172,32.666666666666664,11.8133634311129,1,3,10.442138,4.581241
173,6.0,25.66450207322688,2,3,9.451992,5.6330447
174,-24.0,9.93310961716756,0,1,4.4756536,4.5054226
175,26.666666666666668,0.9428090415820634,3,1,10.455147,7.0404577
176,-12.0,21.22891110412088,1,2,5.805902,6.669227
177,10.0,27.27636339397171,2,0,5.1986427,5.9748955
178,16.666666666666668,17.98765008430939,1,0,5.1202927,6.269815
179,-2.0,20.06655592438988,1,0,8.906026,4.826994
180,24.0,13.063945294843617,2,2,5.864668,6.715729
181,32.0,11.430952132988164,2,3,10.182672,7.0837173
182,24.0,15.57776192739723,0,3,10.460182,4.135878
183,35.333333333333336,5.2493385826745405,2,0,7.780686,3.9520185
