domino,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0-0,0.3198116,-0.0034544289,-0.28988618,0.0327245,0.19946817,0.048787244,-0.06757348,-0.66574776,-0.47879148,-0.33724383,0.06784679,0.20435607,-0.1987783,0.27244386,0.041211702,0.5069501,-0.18877265,0.56455374,-0.14021057,0.033122655,0.45612305,-0.28684774,0.106985085,-0.06538215,-0.0165528,-0.6614521,-0.085008465,-0.07534257,0.043941066,0.56078506,-0.48840904,-0.26181602
1-0,0.24576959,-0.08977737,0.11850796,-0.22081318,-0.78372926,-0.03715296,0.45012018,0.020904148,0.00046385897,-0.048064437,0.32356736,-0.07800358,-0.30406228,-0.57314634,0.22808698,-0.04067232,-0.013907158,0.46628648,-0.26955456,0.5376053,0.048408255,-0.2772231,0.032182653,-0.76760304,-0.052732866,-0.19060175,0.0642464,0.5157098,0.13454235,-0.19119044,0.13316192,-0.16158958
1-1,-0.27586824,0.3530942,0.04352844,-0.010547529,0.6674243,-0.3538802,0.6857435,-0.32466334,-0.016610917,0.33165509,-0.13136597,0.36092377,-0.17394689,-0.035389364,-0.1304863,0.27652112,0.21252768,0.42953646,-0.21958007,0.18385392,0.093832426,0.5743046,-0.095670864,-0.0141704455,0.5360638,0.081506506,-0.06032655,0.58755386,0.112506635,-0.22506352,0.2718235,-0.15401284
2-0,0.14162716,0.3333508,0.38228446,0.34894067,0.17177075,-0.46116596,-0.6204726,0.27579919,0.046824075,0.21855447,-0.0067960117,-0.061294496,0.071246214,-0.15679394,0.02245024,-0.5670982,0.28837177,0.6259363,0.28015876,0.08715125,0.2229166,0.08993683,0.2497929,-0.010811896,0.20061207,-0.5700211,0.16787061,0.4090892,-0.57558495,0.22755662,0.036744405,-0.19616382
2-1,-0.0045783324,0.10679258,0.50801075,-0.17436211,0.19978957,-0.1554356,-0.0036548318,0.17483547,-0.59775895,-0.29541007,-0.020571861,-0.597633,-0.19010288,0.34449765,-0.1083156,0.1941722,0.50879616,-0.10213154,-0.43068016,-0.022343518,0.73695993,-0.05897142,-0.14072518,-0.37566563,-0.40429375,0.0055048764,-0.17728318,0.2003253,-0.2323841,-0.26880097,0.04368506,0.50168437
2-2,-0.115021855,-0.3375003,0.6314293,0.6236348,0.03590766,-0.015576801,0.36659095,-0.30732986,0.21237853,-0.09026445,-0.38996193,-0.43019706,0.483758,0.08170329,0.09331898,0.28354225,-0.16408774,-0.02005145,0.105625436,0.5258531,-0.046306673,0.401259,0.19532698,-0.14123559,-0.052045282,-0.66883993,-0.08707828,-0.042887203,0.02346285,-0.41511652,-0.4317602,-0.03306831
3-0,0.17261985,-0.44432366,0.4526454,0.23408788,0.07683824,-0.2035056,-0.07366949,-0.42469996,0.057152923,0.021239545,0.26806113,-0.11804547,-0.14732505,-0.42774436,-0.30855015,0.2015041,0.28453788,-0.59989136,-0.45852378,-0.34758326,-0.30916604,-0.15556104,-0.059489623,0.05291835,0.2730346,-0.535161,-0.40527907,0.45850587,-0.049353145,0.47840962,0.319346,-0.05945033
3-1,0.37664786,-0.28023052,-0.032649253,0.060790747,0.2840948,-0.45944467,-0.07046482,0.42402688,0.60598797,-0.61252487,0.0629805,-0.019104544,0.011168089,0.3177296,-0.00900052,-0.010628333,0.0623343,0.5082793,-0.96876717,-0.11461339,-0.3117552,0.18441972,-0.072693914,0.020243542,-0.22158208,-0.01934383,0.25842336,0.1988112,0.102860965,-0.12453349,-0.19426048,-0.3052875
3-2,0.32862902,-0.13138974,0.58475083,-0.4733623,0.1633663,-0.0040551084,-0.34412012,0.17262676,0.19124427,0.40248725,0.43449488,-0.43035755,-0.15494215,0.50004077,0.34721002,0.3415957,-0.08128911,0.15609178,0.3294898,0.3440353,0.0741413,0.10421194,-0.39350462,0.21131039,-0.035552,-0.05782256,-0.40134862,0.30733222,0.47165653,0.09888504,-0.040486496,-0.4700802
3-3,-0.024146004,-0.38495642,0.009697742,-0.32103083,0.547469,-0.039042085,0.3498301,0.1190409,-0.030180454,0.2794742,0.43068126,-0.01844996,-0.085338406,-0.39520454,0.27256915,-0.4159337,0.4757189,0.25428638,0.13535748,-0.41379791,0.0027502151,0.038469195,-0.45979807,-0.18637335,0.02595821,-0.6671257,-0.06153539,-0.22888811,0.17570856,-0.2918368,-0.67969763,0.21259724
