,0-0,1-0,1-1,2-0,2-1,2-2,3-0,3-1,3-2,3-3,4-0,4-1,4-2,4-3,4-4,5-0,5-1,5-2,5-3,5-4,5-5,6-0,6-1,6-2,6-3,6-4,6-5,6-6
0-0,1.0,0.05798613,0.030149313,0.060458694,0.06500143,0.072912626,0.06882167,0.055247173,0.06805924,0.061745822,0.110674575,0.06585896,0.052193437,0.07841718,0.08398693,0.109692045,0.092853226,0.0836906,0.10707229,0.09960477,0.07016833,0.10295097,0.08706221,0.09206966,0.1053757,0.07727805,0.077147394,0.11092497
1-0,0.05798613,1.0,0.07154371,0.052605856,0.08258165,0.05583113,0.05911718,0.08853601,0.062704876,0.06892565,0.051003277,0.077078834,0.06188445,0.06924733,0.09891173,0.08364205,0.06815285,0.0743049,0.0991402,0.06563213,0.06608443,0.07364723,0.08728411,0.08902256,0.04606904,0.10007415,0.13326445,0.0940612
1-1,0.030149313,0.07154371,0.99999994,0.09023658,0.021819266,0.08622713,0.061410036,0.07464681,0.032682724,0.07278845,0.05134671,0.06870178,0.09462333,0.086115636,0.08725113,0.044987895,0.078529194,0.0808066,0.09535021,0.117397025,0.07637081,0.09320223,0.091448806,0.07511235,0.07983201,0.11223678,0.07899018,0.101041265
2-0,0.060458694,0.052605856,0.09023658,0.9999998,0.038012233,0.070834756,0.064924896,0.08831602,0.07762113,0.08769653,0.07551477,0.08281213,0.091443695,0.05660254,0.06836101,0.086585924,0.08316661,0.10572958,0.107910186,0.0789257,0.10584637,0.102509364,0.07392797,0.079934075,0.055031482,0.075523645,0.06651721,0.068822354
2-1,0.06500143,0.08258165,0.021819266,0.038012233,0.99999994,0.06281142,0.060379226,0.053760953,0.08384183,0.071684465,0.05113906,0.088302344,0.06633477,0.09051366,0.079478145,0.103091866,0.067805566,0.08054752,0.06790933,0.062268548,0.1157153,0.0794748,0.091601245,0.061353397,0.07159551,0.09681642,0.08420086,0.05759316
2-2,0.072912626,0.05583113,0.08622713,0.070834756,0.06281142,1.0,0.07587545,0.048112936,0.07716529,0.07140143,0.06667421,0.10907771,0.06860945,0.05691114,0.085076295,0.096528575,0.06289945,0.09002649,0.10257735,0.096301734,0.0887027,0.06531462,0.07388677,0.08308196,0.09150989,0.0840836,0.07121601,0.06500801
3-0,0.06882167,0.05911718,0.061410036,0.064924896,0.060379226,0.07587545,1.0,0.041356206,0.052300595,0.05891103,0.07775706,0.057603337,0.08500166,0.0806421,0.09520649,0.071050584,0.069854215,0.059792273,0.07074282,0.09325011,0.072613515,0.09930251,0.08981588,0.09113909,0.078142464,0.04461233,0.10315231,0.07729081
3-1,0.055247173,0.08853601,0.07464681,0.08831602,0.053760953,0.048112936,0.041356206,1.0,0.066870816,0.052886285,0.056410838,0.072074935,0.09310541,0.10247859,0.070523195,0.05385687,0.045473788,0.06793429,0.10410374,0.062560946,0.058914583,0.084015705,0.067146294,0.0897125,0.11554513,0.08551752,0.069563195,0.081373736
3-2,0.06805924,0.062704876,0.032682724,0.07762113,0.08384183,0.07716529,0.052300595,0.066870816,0.99999994,0.08891353,0.07876284,0.07295409,0.036436707,0.050628703,0.04509475,0.08259523,0.112595804,0.06382791,0.08926194,0.09950595,0.09539303,0.06648445,0.053090308,0.07439375,0.0602226,0.0678643,0.061676543,0.074932575
3-3,0.061745822,0.06892565,0.07278845,0.08769653,0.071684465,0.07140143,0.05891103,0.052886285,0.08891353,1.0000001,0.05123531,0.0739277,0.048151437,0.069961384,0.083144434,0.08349838,0.09279764,0.048078787,0.07806967,0.054583363,0.09760513,0.11442822,0.06682565,0.08870001,0.07288586,0.07498584,0.09635996,0.08681562
