name,umap1,umap2,category,total,is_double,has_blank,has_six
0-0,3.2718275,12.166041,Double,0,True,True,False
1-0,5.738448,8.96342,Blank-suit,1,False,True,False
1-1,4.498009,8.070132,Double,2,True,False,False
2-0,2.9198694,10.70367,Blank-suit,2,False,True,False
2-1,3.2419388,9.189792,Other,3,False,False,False
2-2,4.0702257,11.467888,Double,4,True,False,False
3-0,5.1032763,9.58834,Blank-suit,3,False,True,False
3-1,4.8958254,12.979979,Other,4,False,False,False
3-2,4.8432837,11.486798,Count,5,False,False,False
3-3,3.9670002,9.932614,Double,6,True,False,False
4-0,2.5845575,11.578786,Blank-suit,4,False,True,False
4-1,5.118587,10.44113,Count,5,False,False,False
4-2,6.190174,10.638586,Other,6,False,False,False
4-3,5.7896214,12.267334,Other,7,False,False,False
4-4,5.228076,8.801566,Double,8,True,False,False
5-0,3.8400235,12.3191395,Count,5,False,True,False
5-1,5.017582,11.869344,Other,6,False,False,False
5-2,2.376355,10.98368,Other,7,False,False,False
5-3,3.4059885,11.356222,Other,8,False,False,False
5-4,4.345754,11.001012,Other,9,False,False,False
5-5,2.8722067,9.884556,Double,10,True,False,False
6-0,3.6364436,10.300977,Six-suit,6,False,True,True
6-1,3.7161007,8.443571,Six-suit,7,False,False,True
6-2,6.151346,11.551965,Six-suit,8,False,False,True
6-3,4.1914186,12.953181,Six-suit,9,False,False,True
6-4,4.3964844,8.593905,Count,10,False,False,True
6-5,5.676896,9.859431,Six-suit,11,False,False,True
6-6,5.1729226,7.9569373,Double,12,True,False,True
