,0-0,1-0,1-1,2-0,2-1,2-2,3-0,3-1,3-2,3-3,4-0,4-1,4-2,4-3,4-4,5-0,5-1,5-2,5-3,5-4,5-5,6-0,6-1,6-2,6-3,6-4,6-5,6-6
0-0,0.0,3.0349358004872613,-3.3845170870507353,2.561205767044431,-1.5319688751775296,-5.680988162447214,6.600940017304989,8.826364489211473,-10.269470221048396,1.9367638088249883,-1.2738562564131115,-1.2071368804270772,2.4333686918389272,-8.95650506481439,-3.387584510032319,0.10144863173766794,-3.433446669255609,0.6558905012877361,3.0695483017027527,-1.8584115014072538,-6.841897692199378,-0.7077080676588814,-3.684800790174947,5.008830169487377,-0.7920849480883927,-4.968362784255879,3.5897530061179825,3.0058061069536883
1-0,3.0349358004872613,0.0,3.529400639688495,0.7377497564099222,-2.3857279161150675,3.047744379106831,-3.4916782036681973,-0.33908286341437766,2.1444475056908363,5.850681535564217,7.655934486199136,1.2623364018677101,1.5417308630226039,-3.5611058565936773,-4.05486336448967,-3.6614013182907854,0.9249155019280675,1.1809193391380823,0.18346602844198223,5.122172891998645,-1.189417873956888,-2.6506279477572563,1.9328206402679893,-2.8550298815511654,0.8043724611905194,-0.27666727973887006,-5.051884822698341,3.280834944804031
1-1,-3.3845170870507353,3.529400639688495,0.0,-6.493779943204881,-5.2582832567555124,-5.488110624833277,1.9049286660300382,-0.3696468620634832,1.2345184276766474,4.57408579088337,-2.481772369592827,2.741296212742416,7.165928769135403,0.7178539542810256,0.5830708053593945,-1.0996132245877988,0.20387531280277038,-0.762343072209438,-3.1820186051277553,2.3515600533007,-0.33790904347432615,3.9018361366217205,-3.6400714007091555,1.512818818212427,-0.805556616823667,1.2330617619050699,-0.8152530541516798,-2.6624274665434875
2-0,2.561205767044431,0.7377497564099222,-6.493779943204881,0.0,-1.9347826248825744,-0.7275729559233071,-5.982681813208137,2.823550739506425,1.8215111230416507,-2.2152340900642074,3.3250615956134446,-0.6685364887179794,-1.3876268760479338,0.9413545861539632,-1.3012717000225713,-10.998334814937078,-0.14669812939836469,1.4214750199809636,0.7435022287653812,-2.71981110969816,-3.9196715694961313,4.212638355796248,0.6852810830156315,0.32798611675203126,-0.3360242389189807,2.170237607453217,-5.9065672370935545,0.005517609773900034
2-1,-1.5319688751775296,-2.3857279161150675,-5.2582832567555124,-1.9347826248825744,0.0,-1.1547543321519917,-2.0061594857331198,-0.20295723604886362,-2.7543475018642862,3.5074420835646514,-1.2746065531020196,3.69516532593652,3.1066110691426996,-3.737678641926573,1.2343758159893987,4.078187512537934,6.803898272150727,9.059902109360737,2.589721525937369,7.3233778844435236,-4.479552750793047,-0.2331836390730606,0.6451367438239792,-1.3948505301319276,-0.7012601532022078,-0.5310178428495433,-0.5451964247700563,-4.2401822849733115
2-2,-5.680988162447214,3.047744379106831,-5.488110624833277,-0.7275729559233071,-1.1547543321519917,0.0,3.5315345137104757,7.907956136614105,-4.417508203275389,-11.85571861784645,2.221756555010689,4.644825137345931,1.1908862651674923,-3.6897282322265674,-2.957844714481535,-6.527397431297409,-2.1532018231997725,0.011892923101150643,1.8377496357150775,-3.2064494836342465,-6.056602341093043,11.966476172336352,-2.5462290857922536,1.4830144094826085,-3.2434418336342894,-1.3775118775939816,1.095683277859246,-8.366305949347378
3-0,6.600940017304989,-3.4916782036681973,1.9049286660300382,-5.982681813208137,-2.0061594857331198,3.5315345137104757,0.0,-2.106411979929982,-4.757802245745402,1.7817651174613154,5.269557750635915,2.0681674585122796,4.678370000475255,-2.5593152039895077,-6.931472090284878,2.478436472360521,-1.4944282666021902,4.963854772887027,0.4542321500216211,1.1987110193502843,-0.6208280074946728,-3.7952464415622367,1.891681999942863,9.229899854192084,-1.986766179134607,9.032194079936009,2.266500346500342,2.0806053953879946
3-1,8.826364489211473,-0.33908286341437766,-0.3696468620634832,2.823550739506425,-0.20295723604886362,7.907956136614105,-2.106411979929982,0.0,5.875029633568481,-3.0563024741242693,0.4949822225423919,-4.903377766550937,-3.073983305396043,4.6747672765749755,-3.9996984120291916,6.333490573896631,-4.0296875553794695,6.019967075481336,6.695529637801114,5.434236501357773,-4.74924968943435,3.5571621573283703,0.009963614706485657,-1.9842361134618778,3.271991626105205,-7.532857638633704,6.525258151740154,-2.8515458902812814
3-2,-10.269470221048396,2.1444475056908363,1.2345184276766474,1.8215111230416507,-2.7543475018642862,-4.417508203275389,-4.757802245745402,5.875029633568481,0.0,0.20302154577459675,3.666102779237791,10.167454189855858,1.607959762121867,-3.0132530258704833,-3.6950447218006577,-3.3655187395378423,-0.5421889323060025,-2.6472962062071,2.13302826087458,9.43941189210801,-2.0756399552497697,3.5462947673299405,-0.6176171272994146,4.946384202733283,1.3729823126707341,-0.07710504730627044,3.434473946530792,1.6470638439032967
3-3,1.9367638088249883,5.850681535564217,4.57408579088337,-2.2152340900642074,3.5074420835646514,-11.85571861784645,1.7817651174613154,-3.0563024741242693,0.20302154577459675,0.0,-8.013666076891708,-6.14146329542227,-3.311732133930674,-7.262452451430553,-4.095648298764882,-0.444998995378743,-2.863732680210397,3.7589378236662867,-2.4162932648075905,10.39648767282314,-4.360418997271815,-9.887994078613668,3.7956876096446805,-7.032566952578518,-0.24618048285270788,-0.9819821285439971,0.33565747135367197,-4.674479904001096
