pair,d1,d2,synergy,observed,count
4-0 + 5-3,10,18,14.611181908049543,24.222222222222218,6
2-2 + 6-0,5,21,11.966476172336352,20.583333333333336,8
5-1 + 6-0,16,21,10.408462109972401,13.333333333333332,10
5-0 + 5-1,15,16,10.407012748762885,29.0,6
3-3 + 5-4,9,19,10.39648767282314,26.07407407407407,9
3-2 + 4-1,8,11,10.167454189855858,18.222222222222218,9
3-2 + 5-4,8,19,9.43941189210801,16.545454545454547,11
5-0 + 6-0,15,21,9.349418017026283,19.800000000000004,10
3-0 + 6-2,6,23,9.229899854192084,16.82051282051282,13
2-1 + 5-2,4,17,9.059902109360737,23.666666666666664,4
3-0 + 6-4,6,25,9.032194079936009,24.26666666666667,10
4-2 + 5-5,12,20,9.032113487552078,24.97435897435897,13
0-0 + 3-1,0,7,8.826364489211473,21.333333333333336,10
6-3 + 6-6,24,27,8.549052291466474,26.38095238095238,7
2-2 + 3-1,5,7,7.907956136614105,21.407407407407405,9
1-0 + 4-0,1,10,7.655934486199136,20.666666666666668,9
4-3 + 5-3,13,18,7.416363787478957,21.8,10
2-1 + 5-4,4,19,7.3233778844435236,17.5,12
1-1 + 4-2,2,12,7.165928769135403,14.761904761904761,7
4-1 + 4-2,11,12,7.114737547187632,12.577777777777778,15
2-1 + 5-1,4,16,6.803898272150727,19.333333333333336,10
3-1 + 5-3,7,18,6.695529637801114,12.777777777777777,6
0-0 + 3-0,0,6,6.600940017304989,21.666666666666664,8
3-1 + 6-5,7,26,6.525258151740154,10.166666666666666,12
5-1 + 6-1,16,22,6.3572953133822665,18.083333333333336,8
3-1 + 5-0,7,15,6.333490573896631,21.666666666666668,6
6-1 + 6-5,22,26,6.273352131612995,13.83333333333333,12
4-2 + 6-5,12,26,6.173929021034279,8.875,16
3-1 + 5-2,7,17,6.019967075481336,15.904761904761902,7
3-1 + 3-2,7,8,5.875029633568481,12.07407407407407,9
6-0 + 6-3,21,24,5.863676644992429,8.909090909090908,11
1-0 + 3-3,1,9,5.850681535564217,25.555555555555554,3
6-1 + 6-2,22,23,5.438461041014143,14.388888888888891,12
3-1 + 5-4,7,19,5.434236501357773,10.888888888888888,9
6-0 + 6-1,21,22,5.325458157403233,8.909090909090908,11
3-0 + 4-0,6,10,5.269557750635915,15.904761904761907,7
4-3 + 6-2,13,23,5.250090099708027,18.583333333333332,8
