domino,with_mean,without_mean,n_with,n_without,effect
4-4,19.87654320987654,11.662100456621003,54,146,8.214442753255538
5-5,19.056410256410253,11.387654320987652,65,135,7.668755935422601
5-0,18.71428571428571,12.594936708860759,42,158,6.119349005424953
3-3,18.26984126984127,12.71308016877637,42,158,5.5567611010648985
6-6,17.91304347826087,12.675324675324674,46,154,5.237718802936197
2-2,17.1156462585034,12.830022075055187,49,151,4.285624183448213
4-3,16.58823529411765,12.953020134228186,51,149,3.635215159889462
6-4,16.562962962962967,13.101075268817203,45,155,3.461887694145764
0-0,16.465116279069772,13.171974522292993,43,157,3.2931417567767785
2-0,15.976608187134502,13.044289044289044,57,143,2.932319142845458
5-2,14.399999999999997,13.729032258064516,45,155,0.6709677419354811
1-0,14.085106382978724,13.816993464052288,47,153,0.26811291892643574
2-1,13.921568627450979,13.865771812080533,51,149,0.055796815370445785
1-1,13.361702127659575,14.03921568627451,47,153,-0.677513558614935
6-1,13.304347826086959,14.051948051948052,46,154,-0.7476002258610936
4-0,13.044025157232705,14.18140589569161,53,147,-1.137380738458905
6-3,12.902777777777779,14.188596491228068,48,152,-1.2858187134502899
5-1,12.797101449275363,14.203463203463201,46,154,-1.406361754187838
3-0,12.320512820512821,14.427927927927925,52,148,-2.107415107415104
4-1,11.842424242424244,14.65287356321839,55,145,-2.810449320794147
3-2,11.633986928104576,14.64876957494407,51,149,-3.0147826468394943
5-3,11.5,14.631578947368421,48,152,-3.1315789473684212
5-4,11.1358024691358,14.89497716894977,54,146,-3.75917469981397
6-2,10.827160493827163,15.009132420091323,54,146,-4.1819719262641595
3-1,10.21705426356589,14.883227176220807,43,157,-4.6661729126549165
6-5,9.756410256410255,15.328828828828827,52,148,-5.572418572418572
4-2,9.871345029239768,15.477855477855476,57,143,-5.606510448615708
6-0,7.052631578947368,16.6013986013986,57,143,-9.548767022451232
