domino,d_id,winners_with,losers_with,freq_winners,freq_losers,odds_ratio,log2_enrichment,p_value,p_adjusted,significant,neg_log10_p
5-5,20,25,9,0.5,0.17647058823529413,4.666666666666667,1.502500340529183,0.0007262865290196571,0.016519131905726566,True,3.1388920109490055
4-4,14,20,8,0.4,0.1568627450980392,3.5833333333333335,1.3504972470841334,0.007819057465763547,0.07297786968045977,False,2.1068455950332883
3-3,9,14,6,0.28,0.11764705882352941,2.9166666666666665,1.2509615735332191,0.04843761569391458,0.2712506478859216,False,1.314817242830003
6-6,27,16,8,0.32,0.1568627450980392,2.5294117647058822,1.0285691521967708,0.06428532046795164,0.2859197660575879,False,1.1918881867585476
5-0,15,15,8,0.3,0.1568627450980392,2.3035714285714284,0.9354597478052893,0.10109530402030087,0.35383356407105304,False,0.9952690173608952
4-3,13,14,9,0.28,0.17647058823529413,1.8148148148148149,0.6659990728120626,0.24288190733305345,0.6182448550295906,False,0.6146048352898517
2-2,5,13,9,0.26,0.17647058823529413,1.6396396396396395,0.5590838688955507,0.34347375427791177,0.7269025523979082,False,0.4641064429064832
2-0,3,17,12,0.34,0.23529411764705882,1.6742424242424243,0.5310694927259542,0.2771680225943469,0.6467253860534762,False,0.5572568765562989
5-2,17,14,11,0.28,0.21568627450980393,1.4141414141414141,0.3764924556170779,0.49598857109796746,0.8169223523966523,False,0.3045283306998686
2-1,4,16,14,0.32,0.27450980392156865,1.2436974789915967,0.22121423013916677,0.667192547099352,0.8895900627991361,False,0.17574881364685196
0-0,0,10,9,0.2,0.17647058823529413,1.1666666666666667,0.18057224564182084,0.8036042018001073,0.9452529974278426,False,0.09495780112509516
1-0,1,12,12,0.24,0.23529411764705882,1.0263157894736843,0.02856915219677092,1.0,1.0,False,-0.0
4-0,10,14,14,0.28,0.27450980392156865,1.0277777777777777,0.02856915219677092,1.0,1.0,False,-0.0
1-1,2,13,13,0.26,0.2549019607843137,1.027027027027027,0.02856915219677092,1.0,1.0,False,-0.0
6-4,25,8,8,0.16,0.1568627450980392,1.0238095238095237,0.02856915219677092,1.0,1.0,False,-0.0
6-3,24,10,12,0.2,0.23529411764705882,0.8125,-0.23446525363702278,0.8102168549381508,0.9452529974278426,False,0.09139872643200088
3-0,6,13,16,0.26,0.3137254901960784,0.768581081081081,-0.27099112966213695,0.6610992981796364,0.8895900627991361,False,0.17973330388407094
6-1,22,8,10,0.16,0.19607843137254902,0.780952380952381,-0.2933589426905914,0.7957286810702868,0.9452529974278426,False,0.0992349880416266
5-4,19,15,19,0.3,0.37254901960784315,0.7218045112781954,-0.31246776563829615,0.528955353215941,0.8228194383359082,False,0.27658098329607017
5-1,16,9,12,0.18,0.23529411764705882,0.7134146341463414,-0.3864683470820729,0.625062567072932,0.8895900627991361,False,0.20407650877667807
5-3,18,13,18,0.26,0.35294117647058826,0.6441441441441441,-0.44091613110444927,0.3894120816417366,0.7269025523979082,False,0.40959057847355557
4-1,11,11,16,0.22,0.3137254901960784,0.6169871794871795,-0.5119992291659318,0.36955858554288123,0.7269025523979082,False,0.43231670378840675
3-1,7,7,11,0.14,0.21568627450980393,0.5919661733615222,-0.6235075443829221,0.4365911994171172,0.7640345989799552,False,0.3599250228254703
3-2,8,8,15,0.16,0.29411764705882354,0.45714285714285713,-0.8783214434117476,0.15426528026258307,0.43194278473523257,False,0.811731807488884
6-5,26,8,15,0.16,0.29411764705882354,0.45714285714285713,-0.8783214434117476,0.15426528026258307,0.43194278473523257,False,0.811731807488884
6-2,23,9,18,0.18,0.35294117647058826,0.4024390243902439,-0.9714308478032294,0.07147994151439697,0.2859197660575879,False,1.1458158115103365
4-2,12,10,21,0.2,0.4117647058823529,0.35714285714285715,-1.0418201756946268,0.03046739597229496,0.21327177180606474,False,1.5161646630464733
6-0,21,8,24,0.16,0.47058823529411764,0.21428571428571427,-1.5563933485243853,0.0011799379932661833,0.016519131905726566,True,2.9281408146344683
